Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos
2018-05-04,2.5,29.2,82.2,35.9,1010.0,0.0,18354,12.0,2018,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.854322169749827,-0.5197438121555155,9.0,4.0,4.0,14.0,9.0,5.666666666666667,2.8867513459481096,9.428571428571429,4.466808810815717,10.571428571428571,3.6734868305882697,0.10452846326765373,-0.9945218953682733
2018-05-05,3.2,30.0,79.4,37.5,1010.5,0.0,19306,8.0,2018,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.8452490573530633,-0.5343725582809786,12.0,9.0,4.0,12.0,11.0,8.333333333333334,4.041451884327369,9.142857142857142,4.180453381654967,10.785714285714286,3.6622517543292776,-0.0348994967025009,-0.9993908270190958
2018-05-06,3.5,29.6,82.6,37.0,1009.8,15.2,18977,4.0,2018,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.8359254794186372,-0.548842958284719,8.0,12.0,9.0,15.0,9.0,9.666666666666666,2.0816659994661135,8.571428571428571,3.994043183589898,10.571428571428571,3.7357788954974187,-0.15643446504023073,-0.9876883405951378
2018-05-07,2.9,29.4,85.5,37.2,1007.8,0.4,18571,11.0,2018,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.8263541987239096,-0.5631507242749186,4.0,8.0,12.0,8.0,13.0,8.0,3.9999999999999885,7.0,3.1091263510296017,10.214285714285714,4.117104498376183,-0.08715574274765794,-0.9961946980917455
2018-05-08,2.6,29.9,83.9,38.5,1007.4,0.0,18901,19.0,2018,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.8165380514459161,-0.5772916165517272,11.0,4.0,8.0,4.0,11.0,7.666666666666667,3.511884584284233,7.428571428571429,3.4572215654165017,10.071428571428571,4.047112659553825,0.2249510543438652,-0.9743700647852351
2018-05-09,3.4,30.5,83.7,40.3,1008.5,0.0,19742,13.0,2018,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.8064799463209448,-0.5912614448635781,19.0,11.0,4.0,4.0,16.0,11.333333333333334,7.5055534994651305,9.571428571428571,5.191568255583366,10.642857142857142,4.700362389583015,0.12186934340514755,-0.992546151641322
2018-05-10,3.1,30.2,79.8,38.3,1007.0,0.0,19838,10.0,2018,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.7961828637826158,-0.6050560696488488,13.0,19.0,11.0,9.0,13.0,14.333333333333334,4.163331998932261,10.857142857142858,4.670066788550649,10.428571428571429,4.501525992786915,0.6427876096865395,-0.7660444431189779
2018-05-11,2.2,27.9,85.4,32.8,1007.3,0.6,16028,14.0,2018,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.7856498550787147,-0.6186714032625031,10.0,13.0,19.0,12.0,14.0,14.0,4.582575694955835,11.0,4.618802153517002,10.214285714285714,4.440695916157756,0.838670567945424,0.5446390350150271
2018-05-12,2.5,30.0,78.3,37.3,1006.9,0.0,16961,21.0,2018,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.7748840413670407,-0.6321034111873487,14.0,10.0,13.0,8.0,12.0,12.333333333333334,2.0816659994661215,11.285714285714286,4.750939756661679,10.214285714285714,4.440695916157756,-0.19080899537654472,-0.981627183447664
2018-05-13,2.2,29.8,79.5,36.9,1007.1,0.2,17802,22.0,2018,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.7638886127905428,-0.6453481132295501,21.0,14.0,10.0,4.0,15.0,15.0,5.567764362830019,13.142857142857142,5.698788509515897,10.857142857142858,5.2894254865743155,0.06975647374412552,-0.9975640502598242
