"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"17/05/17", "0", "0.0", "29.3", "73.4", "34.2", "0.0", "0.0", ""
"17/05/18", "0", "0.0", "22.7", "50.9", "25.0", "0.0", "0.0", ""
"17/05/19", "0", "0.0", "23.2", "50.3", "25.1", "0.0", "0.0", ""
"18/07/26", "0", "0.0", "24.7", "51.1", "25.7", "1003.1", "1.6", ""
"19/12/21", "44", "0.0", "25.3", "6.1", "24.5", "993.0", "0.0", ""
"19/12/22", "0", "0.0", "25.5", "6.7", "24.6", "995.0", "0.0", ""
"19/12/23", "254", "0.0", "25.3", "0.0", "24.1", "996.3", "0.0", ""
"19/12/25", "124", "1.4", "26.6", "0.0", "25.3", "990.5", "0.0", ""
"19/12/28", "38", "4.1", "22.6", "59.1", "24.7", "994.1", "0.8", ""
"20/01/02", "50", "5.5", "25.2", "57.9", "26.1", "997.7", "0.0", ""
"20/01/07", "55", "3.7", "25.4", "55.0", "26.3", "993.4", "0.4", ""
"20/01/08", "58", "3.6", "26.2", "55.8", "27.0", "992.8", "0.0", ""
"20/01/16", "70", "2.8", "25.2", "54.5", "26.1", "992.7", "0.0", ""
"20/01/31", "61", "3.6", "21.5", "46.0", "25.0", "994.5", "0.0", ""
"20/02/12", "162", "2.3", "27.8", "47.9", "28.1", "992.2", "0.0", ""
"20/02/26", "52", "4.0", "26.1", "41.6", "26.3", "992.9", "0.0", ""
"20/03/12", "165", "2.6", "30.3", "43.8", "30.5", "991.1", "0.0", ""
"20/03/14", "73", "5.3", "30.9", "40.4", "30.8", "991.0", "0.0", ""
"20/03/28", "188", "2.4", "31.2", "45.3", "32.0", "987.5", "0.0", ""
"20/04/02", "85", "3.0", "26.6", "77.9", "28.8", "990.2", "21.0", ""
"20/04/04", "63", "3.7", "30.2", "51.3", "31.5", "991.0", "0.0", ""
"20/04/05", "65", "4.2", "29.1", "50.2", "29.8", "991.3", "0.0", ""
"20/04/09", "50", "3.5", "25.3", "74.3", "26.3", "992.1", "1.4", ""
"20/04/17", "174", "3.5", "28.0", "56.0", "29.1", "991.3", "0.0", ""
"20/04/22", "172", "4.7", "31.5", "54.0", "34.3", "989.3", "61.4", ""
"20/04/23", "57", "4.1", "28.6", "55.1", "29.8", "990.7", "0.0", ""
"20/04/26", "53", "6.1", "26.3", "44.9", "26.6", "993.1", "0.0", ""
"20/05/02", "198", "1.5", "31.3", "49.1", "32.9", "987.0", "0.0", ""
"20/05/06", "169", "3.0", "30.8", "53.7", "33.1", "987.1", "0.0", ""
"20/05/07", "204", "2.8", "32.5", "47.5", "34.7", "986.2", "0.0", ""
"20/05/14", "221", "2.6", "30.3", "68.5", "35.3", "987.6", "0.0", ""
"20/05/18", "219", "2.0", "29.0", "78.0", "34.3", "985.4", "0.0", ""
"20/05/26", "180", "3.3", "28.5", "80.0", "33.5", "989.7", "0.0", ""
"20/05/29", "155", "2.9", "27.8", "83.7", "32.1", "990.0", "0.2", ""
"20/06/10", "194", "3.0", "30.1", "64.5", "34.0", "987.3", "0.0", ""
"20/06/12", "199", "2.1", "27.6", "85.1", "31.9", "983.8", "6.2", ""
"20/06/22", "194", "2.8", "30.0", "73.3", "35.9", "986.4", "0.0", ""
"20/06/25", "196", "2.9", "30.6", "68.6", "36.1", "985.8", "0.0", ""
"20/06/26", "188", "2.2", "27.6", "82.8", "31.5", "986.8", "5.6", ""
"20/07/12", "186", "2.6", "28.1", "81.4", "32.5", "986.0", "1.4", ""
"20/08/04", "171", "3.1", "27.0", "90.4", "30.9", "984.0", "10.8", ""
"20/08/05", "204", "2.7", "27.5", "88.1", "31.9", "985.9", "0.0", ""
"20/08/20", "156", "2.1", "24.5", "99.4", "23.9", "988.1", "4.4", ""
"20/08/27", "165", "2.7", "26.0", "93.2", "28.2", "984.3", "2.8", ""
"20/09/01", "237", "1.5", "28.4", "83.7", "33.7", "987.3", "0.0", ""
"20/09/17", "269", "1.9", "28.1", "88.5", "33.9", "983.3", "15.2", ""
"20/09/26", "214", "1.5", "26.2", "91.0", "28.5", "987.2", "0.8", ""
"20/10/08", "39", "4.2", "24.3", "93.6", "23.9", "987.4", "4.4", ""
"20/10/16", "36", "4.1", "24.8", "93.5", "25.1", "984.8", "7.6", ""
"20/10/18", "24", "2.5", "21.8", "98.4", "18.3", "987.3", "235.1", ""
"20/10/19", "27", "2.7", "22.3", "93.7", "20.0", "989.3", "0.0", ""
"20/10/20", "39", "4.4", "23.3", "82.5", "23.3", "990.5", "0.0", ""
"20/10/22", "48", "2.3", "19.7", "84.5", "19.9", "991.2", "0.0", ""
"20/11/04", "43", "4.1", "23.9", "78.6", "24.3", "992.9", "0.0", ""
"20/11/12", "51", "6.3", "23.0", "69.8", "24.1", "994.3", "0.0", ""
"20/11/17", "51", "2.5", "25.9", "80.9", "27.5", "990.3", "0.0", ""
"20/11/19", "53", "2.2", "26.4", "79.0", "28.4", "989.0", "0.0", ""
"20/12/01", "44", "5.9", "23.1", "71.2", "24.1", "994.7", "0.0", ""
"20/12/14", "51", "3.6", "25.9", "77.6", "27.3", "991.0", "0.0", ""
"21/01/15", "57", "2.8", "22.0", "68.9", "23.7", "990.4", "0.0", ""
"21/01/21", "54", "3.0", "22.3", "71.6", "23.5", "991.1", "0.0", ""
"21/01/22", "52", "3.8", "22.4", "72.0", "23.5", "990.9", "0.0", ""
"21/01/23", "62", "3.2", "22.8", "63.8", "24.4", "990.9", "0.0", ""
"21/01/24", "92", "1.9", "23.4", "68.7", "24.5", "990.9", "0.0", ""
"21/01/25", "56", "3.6", "25.7", "61.2", "26.6", "990.8", "0.0", ""
"21/01/29", "43", "5.4", "21.2", "69.7", "23.3", "994.9", "15.6", ""
"21/08/04", "224", "4.0", "28.1", "82.7", "32.7", "985.1", "8.8", ""
"21/08/11", "167", "3.3", "27.0", "88.6", "30.6", "988.2", "20.4", ""
"21/08/17", "228", "1.0", "28.5", "85.5", "34.5", "989.6", "0.0", ""
"21/08/22", "197", "2.2", "29.2", "80.0", "35.3", "986.6", "0.0", ""
"21/08/23", "184", "2.4", "26.7", "86.6", "29.7", "986.2", "7.0", ""
"21/09/14", "122", "1.4", "27.3", "90.7", "31.7", "987.6", "0.0", ""
"21/09/24", "230", "4.6", "24.2", "99.1", "23.3", "985.0", "97.6", ""
"21/09/30", "275", "0.8", "28.6", "84.9", "34.7", "988.1", "0.0", ""
"21/10/13", "20", "0.9", "25.3", "86.8", "26.4", "982.9", "18.0", ""
"21/11/02", "53", "3.2", "26.4", "79.8", "28.5", "987.9", "0.0", ""
"21/11/03", "53", "2.9", "26.3", "81.2", "28.2", "991.0", "15.4", ""
"21/11/04", "55", "1.0", "26.5", "85.4", "29.0", "990.5", "0.0", ""
"21/11/09", "42", "5.3", "22.3", "75.1", "23.1", "993.4", "0.0", ""
"21/12/15", "19", "2.1", "23.7", "77.6", "24.1", "991.0", "0.0", ""
"21/12/16", "42", "3.0", "25.3", "73.5", "26.4", "991.4", "0.0", ""
"22/01/12", "55", "3.1", "23.0", "70.2", "24.1", "994.6", "0.0", ""
"22/02/09", "64", "2.9", "26.4", "70.7", "27.9", "990.9", "0.0", ""
"22/03/06", "155", "0.0", "29.1", "70.7", "33.0", "988.9", "0.0", ""
"22/03/08", "42", "3.6", "25.1", "64.2", "26.1", "990.8", "1.8", ""
"22/05/29", "153", "3.0", "28.4", "82.6", "33.5", "983.9", "0.0", ""
"22/06/04", "198", "2.6", "26.4", "89.8", "29.2", "987.4", "23.0", ""
"22/06/15", "54", "1.5", "25.4", "92.9", "26.6", "989.0", "25.4", ""
"22/09/23", "0", "2.1", "24.6", "96.6", "24.5", "987.9", "40.2", ""
"22/09/24", "0", "2.1", "25.2", "94.5", "26.0", "986.8", "22.2", ""
"22/09/27", "", "", "25.4", "93.7", "26.4", "987.5", "0.0", ""
"22/09/28", "0", "6.0", "23.5", "99.8", "21.4", "977.2", "125.8", ""
"22/09/29", "0", "4.1", "24.5", "97.1", "24.2", "982.7", "8.3", ""
"22/09/30", "0", "3.3", "25.8", "93.3", "27.6", "986.6", "13.8", ""
"22/10/01", "0", "2.1", "26.7", "89.8", "29.8", "987.9", "1.2", ""
"22/10/02", "0", "2.1", "25.5", "92.3", "26.9", "988.5", "47.7", ""
"22/10/03", "0", "2.1", "26.3", "88.7", "28.7", "989.7", "9.8", ""
"22/10/04", "0", "2.9", "26.7", "83.9", "29.4", "990.3", "0.4", ""
"22/10/05", "0", "2.5", "27.8", "80.0", "31.7", "990.5", "0.0", ""
"22/10/06", "0", "1.4", "26.0", "92.2", "28.2", "990.8", "4.5", ""
"22/10/07", "0", "2.6", "27.5", "78.9", "30.8", "990.2", "0.0", ""
"22/10/08", "0", "2.3", "27.0", "82.5", "29.9", "990.8", "0.0", ""
"22/10/09", "0", "3.7", "27.0", "81.2", "29.8", "991.8", "0.0", ""
"22/10/10", "0", "3.8", "24.3", "80.1", "24.7", "993.4", "0.0", ""
"22/10/11", "0", "3.1", "24.3", "74.5", "25.0", "992.9", "0.0", ""
"22/10/12", "0", "3.1", "25.0", "70.6", "26.0", "991.4", "0.0", ""
"22/10/13", "0", "3.2", "24.3", "72.7", "25.1", "990.0", "0.0", ""
"22/10/14", "0", "3.2", "21.5", "80.7", "21.7", "988.4", "29.6", ""
"22/10/15", "0", "2.8", "20.8", "90.6", "18.9", "988.5", "5.4", ""
"22/10/16", "0", "2.5", "23.7", "78.2", "24.1", "991.3", "0.0", ""
"22/10/17", "0", "2.8", "24.0", "72.6", "24.8", "990.7", "0.0", ""
"22/10/18", "0", "3.6", "23.9", "73.6", "24.7", "990.3", "0.0", ""
"22/10/19", "0", "4.1", "23.1", "73.9", "23.8", "990.7", "0.0", ""
"22/10/20", "0", "2.5", "23.8", "77.4", "24.3", "991.8", "0.0", ""
"22/10/21", "0", "2.6", "25.9", "77.0", "27.3", "992.4", "0.0", ""
"22/10/22", "0", "3.9", "25.2", "76.4", "26.3", "992.7", "0.0", ""
"22/10/23", "0", "3.0", "25.7", "70.6", "26.8", "991.7", "0.0", ""
"22/10/24", "0", "3.8", "27.2", "67.5", "29.0", "990.8", "0.0", ""
"22/10/25", "0", "3.0", "25.7", "80.6", "27.2", "990.7", "0.0", ""
"22/10/26", "0", "3.9", "26.8", "76.9", "29.0", "990.5", "0.0", ""
"22/10/27", "0", "3.9", "26.4", "75.4", "28.2", "990.4", "0.0", ""
"22/10/28", "0", "3.7", "24.9", "75.0", "25.8", "990.4", "0.0", ""
"22/10/29", "0", "3.4", "24.7", "75.0", "25.5", "990.4", "0.0", ""
"22/10/30", "0", "3.0", "24.5", "76.8", "25.3", "990.1", "0.0", ""
