"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"23/05/01", "87", "2.1", "29.5", "75.8", "35.1", "1008.6", "0.0", ""
"23/05/02", "194", "3.2", "30.7", "70.8", "37.0", "1009.4", "0.0", ""
"23/05/03", "193", "3.7", "30.2", "74.6", "36.7", "1010.0", "9.6", ""
"23/05/04", "198", "5.3", "30.2", "75.1", "36.9", "1007.3", "0.0", ""
"23/05/05", "186", "4.7", "31.5", "71.5", "39.4", "1005.1", "0.0", ""
"23/05/06", "191", "5.1", "31.8", "71.1", "40.3", "1004.0", "0.0", ""
"23/05/07", "183", "4.5", "31.8", "72.0", "40.7", "1004.2", "0.0", ""
"23/05/08", "141", "3.3", "32.0", "72.7", "41.4", "1006.0", "0.0", ""
"23/05/09", "162", "3.5", "30.4", "74.3", "37.1", "1007.3", "0.0", ""
"23/05/10", "30", "1.7", "27.8", "82.9", "32.0", "1008.7", "0.0", ""
"23/05/11", "161", "3.4", "29.5", "77.2", "35.4", "1009.1", "0.0", ""
"23/05/12", "131", "3.1", "27.9", "84.0", "32.6", "1009.3", "0.0", ""
"23/05/13", "187", "4.1", "28.5", "81.0", "33.5", "1009.3", "1.0", ""
"23/05/14", "164", "4.0", "30.5", "70.1", "36.3", "1009.4", "3.6", ""
"23/05/15", "169", "3.7", "29.7", "75.0", "35.4", "1010.1", "9.6", ""
"23/05/16", "192", "3.6", "30.4", "72.7", "36.7", "1010.4", "0.6", ""
"23/05/17", "214", "4.6", "31.1", "70.7", "38.2", "1010.1", "0.0", ""
"23/05/18", "241", "4.5", "30.2", "75.4", "37.1", "1008.8", "0.0", ""
"23/05/19", "239", "4.6", "31.4", "69.2", "38.4", "1007.0", "0.0", ""
"23/05/20", "210", "4.3", "30.9", "72.0", "37.9", "1007.2", "0.0", ""
"23/05/21", "191", "4.4", "31.3", "69.2", "38.2", "1008.3", "0.0", ""
"23/05/22", "199", "3.5", "31.0", "72.5", "38.4", "1008.9", "0.0", ""
"23/05/23", "208", "2.8", "28.4", "86.8", "34.3", "1008.7", "15.8", ""
"23/05/24", "207", "4.1", "30.7", "72.3", "37.5", "1008.3", "0.8", ""
"23/05/25", "211", "3.3", "31.3", "65.8", "37.0", "1009.1", "0.0", ""
"23/05/26", "210", "5.8", "31.5", "68.1", "38.4", "1007.4", "0.0", ""
"23/05/27", "254", "3.7", "31.5", "67.2", "38.1", "1005.7", "0.0", ""
"23/05/28", "142", "2.9", "28.2", "79.2", "32.4", "1006.2", "59.6", ""
"23/05/29", "90", "2.0", "27.0", "89.5", "30.6", "1007.1", "33.0", ""
"23/05/30", "202", "4.8", "30.1", "73.7", "36.1", "1006.6", "0.0", ""
"23/05/31", "224", "5.4", "30.9", "71.1", "37.6", "1006.1", "0.2", ""
"23/06/01", "222", "6.7", "31.1", "70.8", "38.1", "1006.0", "0.0", ""
"23/06/02", "214", "6.1", "31.0", "71.4", "38.0", "1007.0", "0.0", ""
"23/06/03", "207", "5.6", "31.0", "71.3", "37.9", "1007.9", "0.0", ""
"23/06/04", "217", "5.5", "30.7", "70.2", "36.8", "1007.2", "0.0", ""
"23/06/05", "216", "6.5", "30.4", "71.8", "36.4", "1006.4", "0.0", ""
"23/06/06", "208", "7.9", "29.9", "73.7", "35.7", "1006.3", "0.0", ""
"23/06/07", "207", "7.8", "29.7", "74.9", "35.5", "1007.5", "0.8", ""
