Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_lag30,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos,Prec._lag1,Prec._lag2,Prec._lag3,Prec._lag7,Prec._lag14,Prec._rollsum3,Prec._rollmean3,Prec._rollsum7,Prec._rollmean7,Prec._rollsum14,Prec._rollmean14
2012-06-25,1.5,27.4,77.9,30.4,0.0,1.4,,26.0,2012,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.11988119229922782,-0.9927882451625399,,,,,,,,,,,,,0.7547095802227721,-0.6560590289905072,,,,,,,,,,,
2012-06-30,3.0,29.1,68.6,32.6,1005.5,0.0,,22.0,2012,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.03432760051324382,-0.9994106342455052,26.0,,,,,,26.0,,26.0,,26.0,,-0.7071067811865475,-0.7071067811865477,1.4,,,,,1.4,1.4,1.4,1.4,1.4,1.4
2012-07-01,1.7,28.3,73.3,31.7,1005.8,0.0,,36.0,2012,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.01716632975470737,-0.9998526477050269,22.0,26.0,,,,,24.0,2.8284271247461903,24.0,2.8284271247461903,24.0,2.8284271247461903,0.0,1.0,0.0,1.4,,,,1.4,0.7,1.4,0.7,1.4,0.7
2012-07-02,2.5,27.7,72.3,30.5,1005.9,0.0,,36.0,2012,1.2246467991473532e-16,-1.0,0.0,1.0,1.2246467991473532e-16,-1.0,36.0,22.0,26.0,,,,28.0,7.211102550927978,28.0,7.211102550927978,28.0,7.211102550927978,0.0,1.0,0.0,0.0,1.4,,,1.4,0.4666666666666666,1.4,0.4666666666666666,1.4,0.4666666666666666
2012-07-06,2.3,27.4,73.2,29.9,1005.6,0.0,,20.0,2012,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,-0.06861473800213432,-0.9976432316860063,36.0,36.0,22.0,,,,31.333333333333332,8.082903768654761,30.0,7.118052168020874,30.0,7.118052168020874,0.2756373558169992,-0.9612616959383189,0.0,0.0,0.0,,,0.0,0.0,1.4,0.35,1.4,0.35
2012-07-07,2.7,26.8,75.0,28.9,1005.7,3.0,,16.0,2012,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-0.0857305001556945,-0.9963183634476755,20.0,36.0,36.0,,,,30.666666666666668,9.237604307034013,28.0,7.615773105863909,28.0,7.615773105863909,-0.32556815445715676,-0.9455185755993167,0.0,0.0,0.0,,,0.0,0.0,1.4,0.27999999999999997,1.4,0.27999999999999997
2012-07-11,3.2,27.7,70.6,30.2,1007.1,0.2,,13.0,2012,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.15389057670406148,-0.9880878960910772,16.0,20.0,36.0,,,,24.0,10.583005244258363,26.0,8.390470785361213,26.0,8.390470785361213,-0.13917310096006552,-0.9902680687415703,3.0,0.0,0.0,,,3.0,1.0,4.4,0.7333333333333334,4.4,0.7333333333333334
2012-07-12,2.5,29.0,66.2,32.1,1006.4,0.0,,18.0,2012,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-0.17082974322534417,-0.985300562686109,13.0,16.0,20.0,26.0,,,16.333333333333332,3.51188458428425,24.142857142857142,9.099973835650507,24.142857142857142,9.099973835650507,0.12186934340514755,-0.992546151641322,0.2,3.0,0.0,1.4,,3.2,1.0666666666666667,4.6,0.6571428571428571,4.6,0.6571428571428571
2012-07-13,2.4,29.0,72.6,33.1,1006.4,0.0,,32.0,2012,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,-0.1877185654371986,-0.9822228566828407,18.0,13.0,16.0,22.0,,,15.666666666666666,2.5166114784235876,23.0,9.327379053088816,23.375,8.700369450283624,0.7071067811865476,-0.7071067811865475,0.0,0.2,3.0,0.0,,3.2,1.0666666666666667,3.2,0.4571428571428572,4.6,0.575
2012-07-14,1.7,26.2,78.2,27.9,1007.7,0.8,,37.0,2012,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-0.20455206612620058,-0.9788556850953579,32.0,18.0,13.0,36.0,,,21.0,9.848857801796106,24.428571428571427,9.897089519266812,24.333333333333332,8.631338250816034,0.37460659341591224,-0.9271838545667873,0.0,0.0,0.2,0.0,,0.2,0.06666666666666667,3.2,0.4571428571428572,4.6,0.5111111111111111
