epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,23,,,6.593851566314697,0.2628228962421417,9.629463195800781,0.2795437276363373,4.458749294281006
0,23,8.85370922088623,,,,,,
1,47,,,6.182332992553711,0.27482497692108154,8.525172233581543,0.2763857841491699,3.628042697906494
1,47,5.088651180267334,,,,,,
2,49,,5.108172416687012,,,,,
2,71,,,5.771817684173584,0.23809422552585602,8.389656066894531,0.2447936236858368,3.3494679927825928
2,71,4.195478916168213,,,,,,
3,95,,,5.593020439147949,0.24144133925437927,7.932005882263184,0.23742443323135376,3.275832414627075
3,95,3.858182668685913,,,,,,
4,99,,3.719043254852295,,,,,
4,119,,,5.614870071411133,0.23874831199645996,7.983335494995117,0.23860090970993042,3.261690855026245
4,119,3.6352317333221436,,,,,,
5,143,,,5.4800333976745605,0.22740398347377777,7.927611351013184,0.2369149923324585,3.174668550491333
5,143,3.454085111618042,,,,,,
6,149,,4.087560176849365,,,,,
6,167,,,5.965218544006348,0.24002371728420258,8.601070404052734,0.26746082305908203,3.4171385765075684
6,167,3.3355722427368164,,,,,,
7,191,,,5.724749565124512,0.22969089448451996,8.330449104309082,0.24813033640384674,3.3471364974975586
7,191,3.15343976020813,,,,,,
8,199,,2.5476675033569336,,,,,
8,215,,,6.085395336151123,0.24715091288089752,8.669323921203613,0.26817578077316284,3.5633339881896973
8,215,3.044781446456909,,,,,,
9,239,,,5.918309688568115,0.2451276034116745,8.357230186462402,0.2560524344444275,3.392508029937744
9,239,2.885200262069702,,,,,,
10,249,,3.198010206222534,,,,,
10,263,,,5.969980716705322,0.2435276061296463,8.500724792480469,0.26145830750465393,3.4802818298339844
10,263,2.8003625869750977,,,,,,
