Date,Wind Dir,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5
2011-01-03,214.0,0.4,22.7,73.6,23.6,986.0,0.0,,
2011-01-06,77.0,2.8,23.7,68.8,24.7,987.4,0.0,,
2011-01-13,229.0,1.0,21.2,77.0,22.2,986.8,0.0,,
2011-01-14,229.0,1.0,21.0,74.1,22.6,987.2,0.0,,
2011-01-15,12.0,1.4,22.0,70.0,23.5,988.5,0.0,,
2011-01-18,275.0,1.1,21.8,71.1,23.3,987.4,0.0,,
2011-01-20,261.0,1.0,20.8,68.4,23.4,987.3,0.0,,
2011-01-30,60.0,2.1,24.7,60.9,25.8,990.0,0.0,,
2011-02-14,236.0,1.8,24.5,63.0,25.6,986.1,0.0,,
2011-04-05,178.0,1.9,27.9,69.8,30.5,986.6,0.0,,
2011-04-07,187.0,2.1,28.2,67.3,30.7,986.7,0.0,,
2011-04-12,156.0,2.0,26.7,73.3,28.5,986.7,2.8,,
2011-04-15,184.0,1.9,28.3,68.6,31.0,985.0,0.0,,
2011-04-19,201.0,1.8,27.8,67.0,29.9,985.2,0.0,,
2011-04-24,132.0,1.8,28.0,66.5,30.3,985.4,0.0,,
2011-04-25,228.0,1.0,26.3,76.9,28.1,985.8,0.0,,
2011-05-02,228.0,1.5,27.4,75.9,30.1,984.5,0.2,,
2011-05-06,183.0,2.1,27.1,77.5,29.6,984.2,0.2,,
2011-05-14,319.0,1.1,25.6,67.0,26.7,984.5,36.8,,
2011-05-18,223.0,1.7,26.0,79.5,27.6,985.1,2.2,,
2011-05-20,206.0,1.8,25.6,72.9,26.8,984.1,21.6,,
2011-05-22,189.0,1.5,26.6,82.5,29.0,984.2,0.4,,
2011-05-24,199.0,1.6,27.8,79.7,31.5,983.1,0.0,,
2011-05-25,268.0,1.6,26.8,67.0,28.2,982.7,11.2,,
2011-05-26,161.0,1.1,26.2,80.2,28.2,983.4,9.8,,
2011-05-27,156.0,1.2,26.0,76.9,27.6,982.8,17.4,,
2011-05-28,212.0,1.4,26.5,73.4,28.3,983.4,0.6,,
2011-05-29,245.0,1.7,27.6,74.1,30.4,984.5,0.0,,
2011-06-02,280.0,1.3,27.6,71.8,30.1,983.8,1.4,,
2011-06-05,343.0,0.9,26.9,79.6,29.5,983.2,8.4,,
2011-06-11,205.0,2.0,26.1,80.8,27.8,981.9,0.6,,
2011-06-14,211.0,1.9,27.2,70.3,29.2,983.3,12.8,,
2011-06-15,217.0,2.1,25.8,80.1,27.4,982.7,13.4,,
2011-06-18,220.0,1.4,25.1,84.9,26.1,981.2,7.4,,
2011-06-23,221.0,2.3,25.7,90.5,27.2,978.7,41.2,,
2011-06-26,144.0,1.5,23.7,81.6,23.8,981.2,83.6,,
2011-06-27,130.0,0.9,23.9,82.0,24.1,982.2,17.6,,
2011-06-28,228.0,1.3,24.6,87.0,25.0,982.7,18.0,,
2011-06-29,200.0,1.5,26.0,87.0,27.9,983.7,0.6,,
2011-07-22,238.0,1.5,24.2,88.0,24.2,982.1,11.8,,
2011-07-25,133.0,0.8,26.1,87.6,28.2,982.9,6.6,,
2011-07-27,230.0,1.4,26.6,87.6,29.3,981.7,0.0,,
2011-07-30,217.0,1.6,25.1,88.0,26.0,977.8,23.8,,
2011-07-31,189.0,1.7,23.6,88.4,23.0,976.2,27.4,,
2011-08-01,175.0,1.2,24.8,88.1,25.2,978.0,11.8,,
2011-08-02,173.0,1.3,25.3,87.9,26.4,981.6,20.4,,
2011-08-03,181.0,0.7,23.7,88.3,23.3,984.1,36.4,,
2011-08-11,174.0,1.8,23.5,88.2,22.9,980.9,0.0,,
2011-09-03,215.0,1.7,25.6,87.8,27.0,982.1,4.0,,
2011-09-09,228.0,1.3,25.3,87.9,26.4,983.3,9.0,,
2011-09-24,232.0,1.2,24.8,88.1,25.3,984.7,0.0,,
2011-09-26,239.0,1.3,26.7,87.6,29.8,982.4,0.2,,
2011-09-29,254.0,1.1,25.5,87.9,26.7,981.6,1.8,,
2011-10-21,76.0,1.2,25.6,87.9,27.1,985.6,2.6,,
2011-11-01,72.0,1.3,25.2,88.0,26.1,986.1,0.0,,
2011-11-07,149.0,1.0,25.3,87.9,26.4,984.0,0.0,,
2011-11-10,90.0,1.2,23.3,88.4,22.5,986.1,0.0,,
2011-11-11,96.0,1.3,23.5,88.3,22.9,986.8,0.0,,
2011-11-15,45.0,1.5,24.0,88.2,23.8,988.2,0.0,,
2011-11-17,133.0,0.6,24.9,88.0,25.6,985.3,0.0,,
2011-11-23,61.0,3.1,26.3,87.8,28.7,988.3,0.0,,
2011-11-25,81.0,2.4,23.5,88.4,22.9,987.6,0.0,,
2011-11-28,260.0,0.7,24.1,88.3,24.0,984.4,0.0,,
2011-12-13,80.0,1.1,20.5,89.0,19.1,989.1,0.0,,
2011-12-20,65.0,1.7,20.7,89.0,19.2,987.7,0.0,,
2011-12-21,38.0,1.3,22.1,88.7,20.8,987.2,0.0,,
2012-01-01,61.0,1.3,24.8,88.1,25.2,988.3,0.0,,
2012-01-10,22.0,1.8,23.1,88.5,22.2,988.9,0.0,,
2012-01-13,66.0,1.3,25.2,88.1,26.2,986.0,0.0,,
2012-01-24,254.0,1.3,23.6,88.4,22.9,985.6,0.0,,
2012-01-29,280.0,0.8,23.5,88.4,22.9,985.3,0.0,,
2012-02-07,148.0,1.0,23.6,88.4,23.0,985.2,0.0,,
2012-02-20,224.0,1.7,26.3,87.8,28.7,983.7,0.0,,
2012-02-26,274.0,1.3,25.5,87.9,26.9,981.6,0.0,,
2012-03-04,234.0,1.6,25.4,88.0,26.5,983.2,0.0,,
2012-03-07,276.0,1.3,25.7,87.9,27.3,980.3,0.0,,
2012-03-12,118.0,1.3,27.6,87.5,32.1,986.8,0.0,,
2012-03-13,160.0,1.6,28.0,87.4,33.4,986.6,0.0,,
2012-03-25,163.0,2.1,26.9,87.7,30.2,986.5,0.0,,
2012-04-05,196.0,2.3,27.5,87.2,31.8,986.1,0.0,,
2012-04-16,228.0,1.5,30.4,86.7,41.1,982.1,0.0,,
2012-04-20,232.0,2.4,29.9,86.9,39.2,984.2,0.0,,
2012-04-23,236.0,2.3,29.3,87.1,37.3,983.3,0.0,,
2012-04-24,232.0,2.8,29.9,86.9,39.3,983.5,0.0,,
2012-04-26,234.0,2.5,30.6,86.7,41.8,983.4,0.0,,
2012-04-30,241.0,1.9,29.3,86.9,37.3,983.2,0.0,,
2012-05-04,218.0,2.1,27.5,87.3,31.7,981.7,0.0,,
2012-05-05,269.0,1.3,24.9,88.1,25.5,981.4,63.8,,
2012-05-06,206.0,1.4,24.5,88.2,24.7,981.2,99.6,,
2012-05-09,236.0,2.0,27.9,87.1,32.8,985.5,0.0,,
2012-05-15,235.0,2.5,28.7,87.2,35.4,982.2,0.2,,
2012-05-19,257.0,0.9,26.5,83.9,28.9,982.6,1.4,,
