epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,23,,,6.5356831550598145,0.26181545853614807,9.827301025390625,0.26973414421081543,3.8538897037506104
0,23,6.333738803863525,,,,,,
1,47,,,5.536762237548828,0.24152520298957825,8.018545150756836,0.23090843856334686,3.326953172683716
1,47,4.273913383483887,,,,,,
2,49,,5.1203932762146,,,,,
2,71,,,5.629207611083984,0.25618645548820496,7.754543781280518,0.238708958029747,3.038562774658203
2,71,3.742377519607544,,,,,,
3,95,,,6.058475017547607,0.29190441966056824,7.751928329467773,0.25777003169059753,3.1201589107513428
3,95,3.329787015914917,,,,,,
4,99,,2.9637258052825928,,,,,
4,119,,,5.786800861358643,0.27239930629730225,7.658103942871094,0.24879339337348938,3.1286063194274902
4,119,3.028681993484497,,,,,,
5,143,,,6.117862224578857,0.2990238070487976,7.797173023223877,0.2586011588573456,3.1129276752471924
5,143,2.8346378803253174,,,,,,
6,149,,2.338785409927368,,,,,
6,167,,,5.281521320343018,0.2209419161081314,7.575751781463623,0.2174685001373291,2.934507131576538
6,167,2.7866077423095703,,,,,,
7,191,,,5.595498085021973,0.2573022246360779,7.453681468963623,0.233209028840065,2.9549176692962646
7,191,2.7029826641082764,,,,,,
8,199,,2.802536964416504,,,,,
8,215,,,5.526669979095459,0.2593638598918915,7.332225799560547,0.23287105560302734,2.962759256362915
8,215,2.5477592945098877,,,,,,
9,239,,,5.326791286468506,0.23374445736408234,7.382052898406982,0.21737392246723175,2.8980796337127686
9,239,2.5444889068603516,,,,,,
10,249,,2.2176294326782227,,,,,
10,263,,,5.620247840881348,0.26603224873542786,7.366957664489746,0.23576775193214417,3.010932683944702
10,263,2.450935125350952,,,,,,
11,287,,,5.443487644195557,0.25572317838668823,7.2137627601623535,0.22883281111717224,2.9509925842285156
11,287,2.400827646255493,,,,,,
12,299,,2.3452470302581787,,,,,
12,311,,,5.507816791534424,0.25327160954475403,7.483791828155518,0.22464781999588013,2.9331603050231934
12,311,2.362778425216675,,,,,,
13,335,,,5.69688606262207,0.2673034965991974,7.548835277557373,0.23443005979061127,3.0351436138153076
13,335,2.3427317142486572,,,,,,
14,349,,2.2408480644226074,,,,,
14,359,,,5.327841281890869,0.24261748790740967,7.23336124420166,0.21907466650009155,2.896198272705078
14,359,2.2981371879577637,,,,,,
15,383,,,5.357035160064697,0.24999722838401794,7.144412994384766,0.22295613586902618,2.9155633449554443
15,383,2.2806291580200195,,,,,,
16,399,,2.456144332885742,,,,,
16,407,,,5.25655460357666,0.24174019694328308,7.070628643035889,0.21777847409248352,2.868901014328003
16,407,2.2738640308380127,,,,,,
17,431,,,5.160009860992432,0.23263178765773773,7.026430130004883,0.21236668527126312,2.834016799926758
17,431,2.229391098022461,,,,,,
18,449,,2.2472267150878906,,,,,
18,455,,,5.254276752471924,0.24093665182590485,7.0716142654418945,0.21728062629699707,2.8637168407440186
18,455,2.246105194091797,,,,,,
19,479,,,5.208497524261475,0.23772569000720978,7.01814079284668,0.21563008427619934,2.8379242420196533
19,479,2.241741418838501,,,,,,
20,499,,1.9525855779647827,,,,,
20,503,,,5.28183126449585,0.24383118748664856,7.054352760314941,0.21897141635417938,2.8644378185272217
20,503,2.2242937088012695,,,,,,
21,527,,,5.201168060302734,0.2358960062265396,7.007030487060547,0.21465329825878143,2.8432259559631348
21,527,2.1780340671539307,,,,,,
22,549,,2.1816842555999756,,,,,
22,551,,,5.209679126739502,0.23652516305446625,7.018133640289307,0.21494534611701965,2.8499186038970947
22,551,2.211318016052246,,,,,,
