Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_lag30,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos,Prec._lag1,Prec._lag2,Prec._lag3,Prec._lag7,Prec._lag14,Prec._rollsum3,Prec._rollmean3,Prec._rollsum7,Prec._rollmean7,Prec._rollsum14,Prec._rollmean14
2023-02-21,2.3,28.5,54.6,29.5,1011.6,0.0,14520,41.0,2023,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.7694148268839378,0.6387494220515272,44.0,61.0,52.0,21.0,20.0,46.0,52.333333333333336,8.504900548115389,38.714285714285715,14.395766573479,28.428571428571427,14.521677619308303,0.981627183447664,0.19080899537654492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.699999999999974,7.099999999999996,49.69999999999997,3.5499999999999976
2023-02-22,2.3,28.2,54.9,29.2,1011.3,0.0,13526,50.0,2023,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.7802958510707755,0.6254105729852463,41.0,44.0,61.0,26.0,19.0,57.0,48.666666666666664,10.785793124908961,41.57142857142857,12.094863136295267,29.928571428571427,14.667936175493477,0.9902680687415704,-0.13917310096006535,0.0,0.0,0.0,49.7,0.0,0.0,0.0,49.699999999999974,7.099999999999996,49.69999999999997,3.5499999999999976
2023-02-23,1.9,28.4,55.7,29.6,1010.4,0.0,11561,54.0,2023,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.7909456567567772,0.6118864012687243,50.0,41.0,44.0,31.0,18.0,48.0,45.0,4.582575694955848,45.0,10.198039027185557,32.142857142857146,15.220720405760295,0.9876883405951378,0.15643446504023092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69999999999997,3.5499999999999976
2023-02-24,2.5,29.4,41.0,29.1,1011.0,0.0,12569,59.0,2023,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8013610881746766,0.5981809144059165,54.0,50.0,41.0,36.0,16.0,29.0,48.333333333333336,6.658328118479397,48.285714285714285,8.499299691038955,34.714285714285715,15.681584355927994,0.9986295347545738,0.052335956242943966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69999999999997,3.5499999999999976
2023-02-25,4.9,27.6,45.0,27.6,1014.8,0.0,15987,48.0,2023,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.8115390590073611,0.5842981736283684,59.0,54.0,50.0,52.0,16.0,47.0,54.333333333333336,4.509249752822899,51.57142857142857,7.32250282478929,37.785714285714285,15.943064908646514,0.9510565162951535,0.30901699437494745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69999999999997,3.5499999999999976
2023-02-26,4.2,25.9,46.7,26.4,1016.7,0.0,16806,36.0,2023,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.8214765533024142,0.5702422926917871,48.0,59.0,54.0,61.0,18.0,51.0,53.666666666666664,5.507570547286104,51.0,7.438637868140434,40.07142857142857,14.834804635431684,0.9205048534524404,0.3907311284892737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69999999999997,3.5499999999999976
2023-02-27,2.8,26.0,51.6,26.6,1015.6,0.0,12327,43.0,2023,0.49999999999999994,0.8660254037844387,0.0,1.0,0.8311706263658079,0.5560174366570446,36.0,48.0,59.0,44.0,20.0,24.0,47.666666666666664,11.503622617824933,47.42857142857143,7.828519290754411,41.357142857142854,13.4941989978436,0.6819983600624985,0.7313537016191705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69999999999997,3.5499999999999976
2023-02-28,2.4,28.2,43.6,28.1,1014.2,0.0,12540,62.0,2023,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.8406184056344782,0.5416278206559814,43.0,36.0,48.0,41.0,21.0,33.0,42.333333333333336,6.0277137733417065,47.285714285714285,7.910210399946909,43.0,12.012813671562906,0.374606593415912,0.9271838545667874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69999999999997,3.5499999999999976
2023-03-01,2.0,29.5,50.6,30.5,1013.1,0.0,12842,55.0,2023,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.8498170915275278,0.5270777086423722,62.0,43.0,36.0,50.0,26.0,43.0,47.0,13.45362404707371,50.285714285714285,9.031690238899255,45.92857142857143,11.20758181366016,0.9781476007338056,0.20791169081775945,0.0,0.0,0.0,0.0,49.7,0.0,0.0,0.0,0.0,49.69999999999997,3.5499999999999976
2023-03-02,3.0,30.3,38.0,29.8,1013.1,0.0,15562,54.0,2023,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.8587639582758029,0.5123714121284237,55.0,62.0,43.0,54.0,31.0,74.0,53.333333333333336,9.60902353693305,51.0,9.201449161228146,48.0,9.83713529281906,0.9876883405951378,0.15643446504023092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
