epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,23,,,6.819509506225586,0.29589271545410156,9.087748527526855,0.3260040283203125,3.5855448246002197
0,23,5.793980121612549,,,,,,
1,47,,,5.603587627410889,0.24054180085659027,8.088765144348145,0.23764857649803162,3.283238410949707
1,47,4.085104465484619,,,,,,
2,49,,3.6285793781280518,,,,,
2,71,,,6.190577030181885,0.2499406635761261,8.584518432617188,0.27461209893226624,3.328495740890503
2,71,3.5948283672332764,,,,,,
3,95,,,5.950026035308838,0.24601738154888153,8.23401927947998,0.25889110565185547,3.1877641677856445
3,95,3.1951992511749268,,,,,,
4,99,,2.5883262157440186,,,,,
4,119,,,6.292299270629883,0.26744142174720764,8.372171401977539,0.2936190366744995,3.4288880825042725
4,119,2.8304126262664795,,,,,,
5,143,,,5.435256004333496,0.24920666217803955,7.452615737915039,0.22593681514263153,2.936164617538452
5,143,2.849148750305176,,,,,,
6,149,,2.4577476978302,,,,,
6,167,,,5.619752407073975,0.2386576235294342,8.12874984741211,0.22277303040027618,3.184471368789673
6,167,2.6377947330474854,,,,,,
7,191,,,5.313755989074707,0.23123787343502045,7.511427402496338,0.21345621347427368,2.884528160095215
7,191,2.503981828689575,,,,,,
8,199,,2.491189479827881,,,,,
8,215,,,5.650390625,0.23405995965003967,8.101034164428711,0.22239679098129272,3.1148877143859863
8,215,2.4814534187316895,,,,,,
9,239,,,5.542901039123535,0.2279457300901413,8.151318550109863,0.21926751732826233,3.2234864234924316
9,239,2.4107770919799805,,,,,,
10,249,,2.1820170879364014,,,,,
10,263,,,5.361049175262451,0.2183421105146408,7.997988700866699,0.21017472445964813,3.0419633388519287
10,263,2.348419666290283,,,,,,
11,287,,,5.479838848114014,0.21931464970111847,8.109811782836914,0.2161867320537567,3.1191012859344482
11,287,2.296579360961914,,,,,,
12,299,,1.7579536437988281,,,,,
12,311,,,5.746975898742676,0.23864378035068512,8.441019058227539,0.2217065542936325,3.2615838050842285
12,311,2.1993885040283203,,,,,,
