epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,23,,,5.748995780944824,0.26193422079086304,8.147796630859375,0.23777204751968384,3.226139783859253
0,23,5.1398091316223145,,,,,,
1,47,,,5.590253829956055,0.2649920880794525,7.546095848083496,0.23476223647594452,3.1436398029327393
1,47,3.659285306930542,,,,,,
2,49,,3.2147934436798096,,,,,
2,71,,,5.633601188659668,0.25449705123901367,7.683868408203125,0.2349613457918167,3.0687522888183594
2,71,3.2266318798065186,,,,,,
3,95,,,5.639681339263916,0.25447574257850647,7.675564765930176,0.23524481058120728,2.9776110649108887
3,95,2.9383089542388916,,,,,,
4,99,,2.7117786407470703,,,,,
4,119,,,5.328936576843262,0.22667202353477478,7.548341751098633,0.21909452974796295,2.9844369888305664
4,119,2.79280686378479,,,,,,
5,143,,,5.495756149291992,0.24442507326602936,7.528724670410156,0.22336453199386597,2.858652114868164
5,143,2.5985469818115234,,,,,,
6,149,,2.7931478023529053,,,,,
6,167,,,5.488884925842285,0.24648867547512054,7.547257900238037,0.2295854687690735,2.9486374855041504
6,167,2.593003749847412,,,,,,
7,191,,,6.269998073577881,0.2615109086036682,8.828883171081543,0.24711951613426208,3.399787187576294
7,191,2.4106709957122803,,,,,,
8,199,,2.6711530685424805,,,,,
8,215,,,5.654350757598877,0.22624504566192627,8.143954277038574,0.23502212762832642,3.162505865097046
8,215,2.3644216060638428,,,,,,
9,239,,,5.401667594909668,0.21677526831626892,7.828150749206543,0.2185341715812683,3.0309572219848633
9,239,2.329373598098755,,,,,,
10,249,,2.243838310241699,,,,,
10,263,,,5.3374552726745605,0.22849926352500916,7.537848472595215,0.21416769921779633,2.9220330715179443
10,263,2.1613550186157227,,,,,,
