Date,Wind Dir,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5
4/10/2018,180,3.2,30.4,69.7,36,1009.3,0,16207,43
4/11/2018,193,4.5,30.2,79.1,38,1008.5,0,17389,19
4/12/2018,192,4.8,30.3,78.9,38.1,1008.2,0,18160,11
4/13/2018,194,4.8,30.5,79.7,39.2,1008.3,0,17780,9
4/14/2018,191,5,30.6,79.5,39.4,1007.6,0,19379,9
4/15/2018,176,3.7,30.5,77.7,38.6,1007.9,0,19031,8
4/16/2018,167,3.6,30.8,74.8,38.6,1009.2,0,18168,16
4/17/2018,63,3.1,25.5,93.6,26.8,1011.4,29.6,11702,10
4/18/2018,165,2.4,28.7,79.3,33.7,1009.9,0,15726,19
4/19/2018,192,4.5,30.3,77.9,38,1008.4,0,19247,12
4/20/2018,190,4.8,30.3,79,38.4,1008.3,0.4,19071,9
4/21/2018,192,4.9,30.5,78.3,38.9,1008.1,0,19059,11
4/22/2018,196,4.9,30.7,76.9,39,1007.7,0,19648,9
4/23/2018,192,4.5,31.3,76.7,40.6,1006.6,0,18944,13
4/24/2018,185,5.2,31,78.4,40.4,1007,0,19100,11
4/25/2018,181,3.8,30.5,79.3,39.1,1007.1,0,17056,16
4/26/2018,136,3.2,28.8,81.8,34.4,1008.8,2.8,16830,13
4/27/2018,62,2.2,28.1,84.1,33,1009.8,14.4,15415,14
4/28/2018,29,1.5,24,99.1,22.6,1011.1,75.8,8345,12
4/29/2018,107,2.7,27.4,87.4,31.5,1009.3,11.6,12733,15
4/30/2018,128,1.8,25.6,96.4,27,1009.8,92.2,11741,8
5/1/2018,148,2.5,27.3,89.5,31.5,1010.2,1,17452,4
5/2/2018,177,3,28.6,83.6,34.4,1010.3,11.6,18290,4
5/3/2018,81,2.3,28.4,82.6,33.6,1010.2,0.8,18439,9
5/4/2018,174,2.5,29.2,82.2,35.9,1010,0,18354,12
5/5/2018,182,3.2,30,79.4,37.5,1010.5,0,19306,8
5/6/2018,189,3.5,29.6,82.6,37,1009.8,15.2,18977,4
5/7/2018,185,2.9,29.4,85.5,37.2,1007.8,0.4,18571,11
5/8/2018,167,2.6,29.9,83.9,38.5,1007.4,0,18901,19
5/9/2018,173,3.4,30.5,83.7,40.3,1008.5,0,19742,13
5/10/2018,140,3.1,30.2,79.8,38.3,1007,0,19838,10
5/11/2018,57,2.2,27.9,85.4,32.8,1007.3,0.6,16028,14
5/12/2018,191,2.5,30,78.3,37.3,1006.9,0,16961,21
5/13/2018,176,2.2,29.8,79.5,36.9,1007.1,0.2,17802,22
5/14/2018,81,1.7,27.9,86.8,32.8,1006.5,13.8,12865,18
5/15/2018,184,2.5,29.5,84.4,37.2,1006.6,2.8,17895,20
5/16/2018,192,4.2,31.2,74.3,39.5,1006.6,0,19870,10
5/17/2018,179,3.5,30.8,77.3,39.2,1006.7,0.8,19282,10
5/18/2018,142,2.9,29.6,80.4,36.5,1006.4,0.2,18773,11
5/19/2018,182,2.5,30.4,76.2,37.9,1006.2,0,18725,13
5/20/2018,138,2.4,30.5,78.3,38.6,1006.3,0,18034,17
5/21/2018,122,2.3,29.4,82.9,36.6,1007,0.8,17547,16
5/22/2018,92,1.5,26.8,92,30.5,1008.6,42.6,12292,18
5/23/2018,120,2.5,29.1,80,34.9,1007.5,1,17671,18
5/24/2018,184,3.2,27.2,89.5,31.2,1008.4,7.6,18509,11
5/25/2018,182,2.4,29.1,84.1,36,1007.1,0,19387,9
5/26/2018,148,2.5,27.9,89.4,33.2,1008.5,21.8,14552,10
5/27/2018,100,2.7,29.1,82.6,35.5,1008.4,0,17045,13
5/28/2018,104,2.5,30.1,78.4,37.5,1008.2,0,19004,16
5/29/2018,156,3.7,29.4,83.7,36.8,1008.4,0,19047,10
5/30/2018,135,3.1,29.1,84,36,1008.3,0.2,18811,16
5/31/2018,183,2.4,29.4,81.7,36.4,1008.8,0.4,18132,13
6/1/2018,271,2.7,29.8,76.8,36.3,1008.3,0.2,19768,14
6/2/2018,279,2.8,30.1,75.3,36.8,1007.3,0,19882,12
6/3/2018,250,3.5,30.7,72.9,37.7,1005.2,0,19931,11
6/4/2018,234,3.2,30.2,74,36.4,1005.5,0,19880,9
6/5/2018,232,3.6,30.4,74.1,37.1,1007.1,0,19613,10
6/6/2018,255,2.6,28.8,83.7,35.1,1007.5,10,18672,14
6/7/2018,251,2.8,29.2,77,34.5,1006.5,1,19502,13
6/8/2018,200,2.8,28.4,82,33.5,1006,2,19453,13
6/9/2018,203,3.3,28.2,86.5,33.8,1006,11.6,19206,8
6/10/2018,197,4.9,29.2,84.9,36.3,1006.7,4.4,19117,8
6/11/2018,202,6.2,29.8,79,36.9,1007.5,0,19788,8
6/12/2018,199,5.6,30.1,76.6,37,1007.5,0,19804,7
6/13/2018,208,4.9,30.1,79,37.6,1006.6,6,19434,10
6/14/2018,210,4.2,30.1,77.1,37.2,1006,0.6,19838,11
6/15/2018,193,3.2,28.8,86.8,35.7,1005.3,14.8,16844,9
6/16/2018,209,4,28.6,83.3,34.3,1004,2.2,19266,14
6/17/2018,246,3.2,29.7,71.1,34.6,1002.8,0,19894,15
6/18/2018,201,3.6,28.7,80.7,34.1,1003.2,35.8,15654,15
6/19/2018,197,4.8,30,77.8,37.1,1005.2,0,19432,21
6/20/2018,206,4.1,30.1,76.6,37.1,1007.3,0,19885,12
6/21/2018,211,4,29.8,79.1,36.7,1008.2,0,19721,13
6/22/2018,217,3.4,30.3,74.5,36.9,1007.7,0,19034,18
6/23/2018,229,4,30.5,73.6,37.3,1006.7,0,19255,22
6/24/2018,234,3.6,30,73,35.9,1006.7,0,19741,17
6/25/2018,202,2.5,28.7,80,34,1006.4,0.4,19788,13
6/26/2018,150,2.8,28,86.8,33.2,1007.4,7.6,17465,11
6/27/2018,110,1.8,26.3,95.8,29.1,1008.5,24.8,15957,14
6/28/2018,172,2,28.5,81.4,33.7,1008,0,18741,13
6/29/2018,219,2.6,29.4,79.6,35.8,1006.3,0,19242,18
6/30/2018,173,3.5,28.7,76.9,33.2,1006.5,29.4,18367,10
7/1/2018,169,2.9,28.7,79.9,33.8,1006.8,69.8,18436,7
7/2/2018,256,2.5,28.5,82.1,33.8,1006.9,9.2,19474,9
7/3/2018,240,2.6,28.2,83.4,33.1,1006.3,13.6,18994,13
7/4/2018,223,3.6,28.7,79.8,33.9,1005.9,3,19666,13
7/5/2018,214,3.7,29.6,75.9,35.5,1004.5,0,19859,10
7/6/2018,193,3.1,28.2,83.6,33.2,1004.7,2.6,19216,13
7/7/2018,236,2.9,29.6,71.8,34.5,1004.5,0.2,19906,15
7/8/2018,253,2.7,29.6,75.5,35.2,1004.3,0,19908,19
7/9/2018,200,2.4,27.7,82.6,31.6,1005.3,34.6,14512,18
7/10/2018,244,2.8,28.8,79.4,34,1005.5,0.2,19148,25
7/11/2018,290,3.3,28.7,75,32.9,1004.7,0,19908,13
7/12/2018,232,3.1,29,76.2,34,1004,0.2,19915,15
7/13/2018,236,3.4,29.5,73.8,34.7,1003.8,0,19945,13
7/14/2018,228,2.4,28.7,81.6,34.2,1004.3,11.8,18498,17
7/15/2018,270,3,28.9,78.8,34.1,1005.4,0.2,19937,17
7/16/2018,261,2.2,28.2,83.1,33.3,1004.5,2.8,18710,20
