epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,23,,,7.0847392082214355,0.30499032139778137,9.388747215270996,0.351596474647522,3.7105674743652344
0,23,5.457486629486084,,,,,,
1,47,,,5.606781959533691,0.24752940237522125,8.065073013305664,0.2309093475341797,3.2453930377960205
1,47,4.050280570983887,,,,,,
2,49,,3.585806131362915,,,,,
2,71,,,6.290024757385254,0.25624045729637146,8.981021881103516,0.27163612842559814,3.511892318725586
2,71,3.5691404342651367,,,,,,
3,95,,,6.2237749099731445,0.2792271375656128,8.511775970458984,0.26034462451934814,3.436069965362549
3,95,3.209284543991089,,,,,,
4,99,,2.8152973651885986,,,,,
4,119,,,6.004963397979736,0.2732747793197632,8.198272705078125,0.2511110007762909,3.328831911087036
4,119,2.9298617839813232,,,,,,
5,143,,,5.504087924957275,0.2358870804309845,7.683284282684326,0.2371046543121338,3.108147382736206
5,143,2.7320239543914795,,,,,,
6,149,,2.4241926670074463,,,,,
6,167,,,5.451148986816406,0.22777388989925385,7.7022528648376465,0.22962842881679535,2.9942336082458496
6,167,2.6303839683532715,,,,,,
7,191,,,5.721586227416992,0.23016001284122467,8.17623519897461,0.24517427384853363,3.1958200931549072
7,191,2.515735387802124,,,,,,
8,199,,2.2391788959503174,,,,,
8,215,,,5.543399333953857,0.23793071508407593,7.7367706298828125,0.2259187400341034,2.999682903289795
8,215,2.4027650356292725,,,,,,
9,239,,,5.037868022918701,0.21557223796844482,7.167917251586914,0.2077658474445343,2.837078332901001
9,239,2.3222055435180664,,,,,,
10,249,,2.37229323387146,,,,,
10,263,,,5.3926682472229,0.2355547398328781,7.506153106689453,0.21867041289806366,2.9440207481384277
10,263,2.3812544345855713,,,,,,
11,287,,,5.304659366607666,0.22872357070446014,7.397528648376465,0.21300087869167328,2.9157962799072266
11,287,2.279045343399048,,,,,,
12,299,,1.9321534633636475,,,,,
12,311,,,5.107600688934326,0.21660344302654266,7.309967041015625,0.20961639285087585,2.9189815521240234
12,311,2.2097673416137695,,,,,,
13,335,,,5.509263515472412,0.23853765428066254,7.6947503089904785,0.22000114619731903,3.098985195159912
13,335,2.2475788593292236,,,,,,
14,349,,1.9847478866577148,,,,,
14,359,,,5.320570945739746,0.22840182483196259,7.471986293792725,0.215144544839859,3.0366432666778564
14,359,2.0497310161590576,,,,,,
