Date,Wind Dir,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5
2020-03-18,97.0,3.0,30.0,60.0,32.8,986.7,1.4,,71.0
2020-03-20,149.0,2.9,28.9,61.1,31.0,988.8,0.0,,36.0
2020-04-18,100.0,2.1,29.4,59.1,31.6,988.7,0.0,,41.0
2020-04-22,94.0,4.2,29.9,56.2,32.0,987.9,1.2,,28.0
2020-05-14,96.0,2.7,32.0,54.2,35.5,985.4,0.0,,27.0
2020-05-30,85.0,3.0,27.4,80.8,30.7,988.8,17.0,,8.0
2020-06-08,66.0,2.4,28.1,76.4,31.8,984.1,1.8,,6.0
2020-06-11,28.0,3.3,30.1,68.8,35.0,983.7,0.0,,19.0
2020-06-27,76.0,2.2,28.4,76.0,32.3,984.5,0.0,,11.0
2020-07-13,166.0,2.3,27.7,81.3,31.4,984.7,3.0,,11.0
2020-07-14,173.0,2.1,29.0,75.0,33.6,984.7,0.0,,9.0
2020-07-15,95.0,2.3,29.2,76.5,34.6,983.9,0.0,,16.0
2020-07-20,120.0,2.0,28.3,76.3,32.2,985.5,0.2,,7.0
2020-07-22,116.0,3.2,29.4,70.5,33.7,985.6,0.0,,7.0
2020-08-20,169.0,2.1,25.9,87.7,27.7,984.9,85.4,,5.0
2020-08-29,96.0,2.8,28.4,77.4,32.7,983.4,47.8,,12.0
2020-09-09,77.0,2.7,28.4,78.3,32.8,985.8,14.4,,8.0
2020-10-15,5.0,2.9,26.0,84.8,27.9,984.6,22.4,,9.0
2020-10-25,137.0,2.7,26.5,64.1,27.8,988.4,0.2,,40.0
2020-11-11,78.0,2.4,24.5,55.8,25.6,993.5,0.0,,29.0
2020-12-04,72.0,4.9,20.8,55.8,24.7,994.8,0.0,,29.0
2020-12-06,73.0,1.9,20.5,65.4,23.8,994.1,0.0,,57.0
2020-12-09,82.0,1.8,20.9,67.6,23.6,991.6,0.0,,60.0
2020-12-19,84.0,4.5,20.9,58.2,24.5,995.5,0.0,,14.0
2021-01-11,87.0,6.4,17.7,49.4,26.4,998.0,0.0,,33.0
2021-01-13,91.0,1.4,17.9,59.0,25.7,992.9,0.0,,65.0
2021-02-15,41.0,2.2,25.6,59.9,26.5,988.7,0.0,,61.0
2021-02-16,64.0,2.2,26.2,57.1,27.0,989.4,0.0,,69.0
2021-08-09,211.0,2.6,30.6,70.6,36.7,984.0,8.6,,8.0
2021-08-13,164.0,2.3,27.6,81.9,31.3,985.6,3.2,,8.0
2021-08-31,354.0,2.9,27.3,78.1,30.2,989.6,6.0,,5.0
2021-09-08,97.0,3.3,25.8,88.9,27.5,985.8,32.6,,8.0
2021-09-15,69.0,2.9,26.0,88.1,27.9,989.7,17.0,,8.0
2021-10-10,325.0,3.8,27.8,79.0,31.5,983.0,7.2,,6.0
