epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,23,,,5.852789402008057,0.2545279264450073,8.090290069580078,0.24136419594287872,3.5609354972839355
0,23,4.953678607940674,,,,,,
1,47,,,5.3894782066345215,0.24654150009155273,7.560611248016357,0.2302451878786087,2.959900379180908
1,47,3.610417127609253,,,,,,
2,49,,3.7108654975891113,,,,,
2,71,,,5.422052383422852,0.2450607866048813,7.409370422363281,0.22701089084148407,2.89775013923645
2,71,3.2205448150634766,,,,,,
3,95,,,4.993793487548828,0.19765329360961914,7.3498735427856445,0.20646333694458008,2.759965419769287
3,95,2.9125242233276367,,,,,,
4,99,,2.486051559448242,,,,,
4,119,,,6.182155132293701,0.3051922619342804,7.731689929962158,0.26201918721199036,3.329044818878174
4,119,2.709117889404297,,,,,,
5,143,,,4.836170673370361,0.20496955513954163,6.945987701416016,0.19903163611888885,2.735807180404663
5,143,2.5391902923583984,,,,,,
6,149,,2.4852492809295654,,,,,
6,167,,,4.776894569396973,0.20355887711048126,6.901952266693115,0.19673284888267517,2.6760127544403076
6,167,2.3762686252593994,,,,,,
7,191,,,4.809953212738037,0.21159684658050537,6.7474517822265625,0.19771242141723633,2.6322102546691895
7,191,2.3203394412994385,,,,,,
8,199,,2.2032854557037354,,,,,
8,215,,,4.6962809562683105,0.19399668276309967,6.9169464111328125,0.19463500380516052,2.6916887760162354
8,215,2.3625600337982178,,,,,,
9,239,,,5.28195858001709,0.2411750704050064,7.220076084136963,0.2211262285709381,2.8390958309173584
9,239,2.3061556816101074,,,,,,
10,249,,2.420780897140503,,,,,
10,263,,,4.849395751953125,0.19146887958049774,7.253355503082275,0.19757172465324402,2.7243778705596924
10,263,2.2173757553100586,,,,,,
11,287,,,4.820671081542969,0.19133393466472626,7.16376256942749,0.19995568692684174,2.70340895652771
11,287,2.1797850131988525,,,,,,
12,299,,1.8689674139022827,,,,,
12,311,,,4.8840556144714355,0.21307554841041565,6.910497188568115,0.2037346065044403,2.7105398178100586
12,311,2.0731289386749268,,,,,,
