epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,23,,,6.366032600402832,0.29284700751304626,8.699928283691406,0.25634822249412537,3.5515449047088623
0,23,5.911709308624268,,,,,,
1,47,,,5.525458335876465,0.24496322870254517,7.902596950531006,0.227751687169075,3.2758641242980957
1,47,4.149847030639648,,,,,,
2,49,,4.433523178100586,,,,,
2,71,,,6.282792091369629,0.3105672597885132,8.113726615905762,0.2602783143520355,3.3240861892700195
2,71,3.7293713092803955,,,,,,
3,95,,,5.760709285736084,0.2786753475666046,7.581026077270508,0.2432774007320404,3.2240586280822754
3,95,3.418065071105957,,,,,,
4,99,,3.2543506622314453,,,,,
4,119,,,5.3147172927856445,0.24016861617565155,7.302692413330078,0.21908026933670044,2.9033305644989014
4,119,3.094611883163452,,,,,,
5,143,,,5.580636024475098,0.26642367243766785,7.322296142578125,0.23198126256465912,2.9020614624023438
5,143,2.974529266357422,,,,,,
6,149,,3.122764825820923,,,,,
6,167,,,5.188013076782227,0.22763505578041077,7.278398513793945,0.21041707694530487,2.8664677143096924
6,167,2.865525007247925,,,,,,
7,191,,,5.675508975982666,0.2742767930030823,7.432671070098877,0.23780809342861176,3.020188331604004
7,191,2.787848711013794,,,,,,
8,199,,3.1425232887268066,,,,,
8,215,,,5.14171838760376,0.22700844705104828,7.285451889038086,0.21083444356918335,2.8670666217803955
8,215,2.6767780780792236,,,,,,
9,239,,,5.351301193237305,0.23718717694282532,7.553033828735352,0.21728092432022095,2.9411749839782715
9,239,2.632136344909668,,,,,,
10,249,,2.730750799179077,,,,,
10,263,,,5.390425205230713,0.23326830565929413,7.734827518463135,0.21519631147384644,2.941603899002075
10,263,2.5724093914031982,,,,,,
11,287,,,5.545212268829346,0.24737034738063812,7.7769293785095215,0.22314712405204773,2.9810595512390137
11,287,2.561319589614868,,,,,,
