Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T(เก่า),70T(ใหม่),71T,72T(เก่า),73T,74T,75T,76T,77T,78T,79T,80T,81T
19/5/2019,n/a,20,23,23,n/a,22,26,31,29,25,26,34,29,22,31,n/a,22,28,20,25,28,n/a,32,32,30,17,19,17,18,20,24,26,19,43,33,29,34,37,33,25,21,n/a,n/a,41,n/a,20,10,15,41,13,39,33,34,n/a,n/a,19,27,52,n/a,54,25,27,,21,15,n/a
20/5/2019,n/a,17,24,21,n/a,20,26,25,27,21,25,34,30,20,27,n/a,26,25,18,22,22,n/a,27,25,27,16,16,20,19,20,24,19,18,41,34,32,32,34,32,25,19,n/a,n/a,37,n/a,14,11,13,50,14,42,38,36,n/a,n/a,16,28,64,n/a,78,27,22,,17,10,n/a
21/5/2019,n/a,16,20,20,n/a,20,24,33,27,20,24,31,30,20,31,n/a,18,22,17,27,24,n/a,21,25,27,21,19,17,17,17,23,23,16,35,27,20,19,n/a,22,25,18,n/a,n/a,31,n/a,17,11,13,41,13,20,30,17,n/a,n/a,16,24,67,n/a,46,27,21,,17,7,n/a
22/5/2019,n/a,16,16,16,n/a,16,16,30,23,15,20,28,24,15,21,n/a,10,23,19,14,14,n/a,21,25,25,16,14,18,15,18,24,18,15,19,10,6,8,n/a,10,13,17,n/a,n/a,21,n/a,19,10,11,21,16,16,13,9,n/a,n/a,15,n/a,27,n/a,26,16,26,,12,5,n/a
23/5/2019,n/a,16,18,17,n/a,12,21,36,24,18,22,28,36,16,26,n/a,25,22,19,20,14,n/a,22,14,20,18,16,21,16,19,17,18,15,20,15,12,12,12,13,10,15,n/a,n/a,20,n/a,17,13,13,18,n/a,18,18,12,n/a,n/a,11,12,23,n/a,29,18,19,,8,8,n/a
24/5/2019,n/a,15,18,15,n/a,16,20,30,24,19,22,25,24,17,22,n/a,23,21,16,28,12,n/a,17,16,27,15,9,10,12,9,15,16,11,28,20,18,17,18,21,14,16,n/a,n/a,20,n/a,7,14,15,24,8,20,27,19,n/a,n/a,n/a,11,25,n/a,25,22,16,,10,11,n/a
25/5/2019,n/a,18,20,20,n/a,20,20,38,26,20,23,28,23,20,28,n/a,12,22,15,23,18,n/a,21,19,31,16,10,10,12,12,15,17,11,30,22,21,21,18,n/a,18,15,n/a,n/a,24,n/a,9,9,16,22,n/a,20,29,16,n/a,n/a,10,12,26,n/a,22,16,22,,16,9,n/a
26/5/2019,n/a,14,16,15,n/a,15,17,30,21,15,18,24,26,15,24,n/a,10,18,14,16,16,n/a,14,16,25,17,9,11,14,9,11,n/a,7,26,23,17,16,15,20,16,11,n/a,n/a,28,n/a,9,16,25,19,11,18,25,18,n/a,n/a,11,14,21,n/a,18,12,18,,14,16,n/a
27/5/2019,n/a,9,11,14,n/a,13,15,31,18,13,15,22,16,13,23,n/a,7,16,15,n/a,14,n/a,17,12,23,10,8,8,10,9,10,10,7,27,21,17,16,16,20,20,11,n/a,n/a,24,n/a,7,20,33,18,11,17,25,23,n/a,n/a,11,19,30,n/a,20,15,19,,8,16,n/a
28/5/2019,n/a,9,11,12,n/a,11,14,24,19,16,16,23,20,13,15,n/a,10,15,13,16,14,n/a,16,8,24,8,6,10,n/a,12,11,10,8,25,18,14,17,17,17,16,14,n/a,n/a,18,n/a,n/a,18,26,17,15,21,21,26,n/a,n/a,10,17,29,n/a,22,16,13,,10,15,n/a
29/5/2019,n/a,5,7,12,n/a,11,11,19,15,10,13,22,16,10,18,n/a,11,12,15,16,9,n/a,15,9,21,n/a,4,8,9,9,10,11,7,20,12,14,10,12,13,12,16,n/a,n/a,15,n/a,9,13,17,21,14,18,15,12,n/a,n/a,10,14,24,n/a,15,9,10,,7,13,n/a
30/5/2019,n/a,10,6,10,n/a,10,12,19,16,12,12,27,17,12,16,n/a,n/a,13,15,16,10,n/a,16,5,20,4,n/a,8,n/a,8,11,9,7,14,8,7,5,5,8,12,14,n/a,n/a,16,n/a,6,12,14,13,n/a,11,8,6,n/a,n/a,8,n/a,16,n/a,8,8,10,,8,15,n/a
31/5/2019,n/a,11,11,15,n/a,15,14,28,21,15,15,26,19,12,23,n/a,10,16,12,19,12,n/a,15,12,21,n/a,n/a,9,n/a,6,14,n/a,9,17,12,8,8,7,10,7,12,n/a,n/a,16,n/a,13,12,15,7,n/a,9,12,7,n/a,n/a,11,10,8,n/a,7,10,16,,7,9,n/a
1/6/2019,n/a,11,11,14,n/a,9,15,32,20,14,17,25,20,14,25,n/a,10,17,14,16,14,n/a,12,11,20,9,11,8,12,7,14,n/a,10,17,12,10,8,11,10,14,15,n/a,n/a,17,n/a,11,9,15,11,7,10,14,8,n/a,n/a,11,10,12,n/a,9,7,16,,8,6,n/a
2/6/2019,n/a,8,13,10,n/a,8,16,18,15,12,13,21,14,10,24,n/a,6,12,12,14,12,n/a,17,13,19,16,10,9,11,7,13,n/a,10,17,12,7,8,9,7,7,14,n/a,n/a,14,n/a,10,14,11,13,n/a,11,16,4,n/a,n/a,11,6,17,n/a,13,6,16,,5,6,n/a
3/6/2019,n/a,13,13,14,n/a,11,17,19,22,15,17,24,21,11,17,n/a,14,16,17,12,11,n/a,20,n/a,23,13,n/a,15,11,13,17,n/a,11,13,8,5,6,8,7,8,12,n/a,n/a,17,n/a,12,11,11,13,17,8,9,6,n/a,n/a,8,9,15,n/a,9,8,17,,7,6,n/a
4/6/2019,n/a,12,13,14,n/a,16,18,25,21,15,19,24,19,14,18,n/a,10,13,13,13,17,n/a,19,n/a,23,8,13,9,11,6,12,16,9,15,8,7,6,8,6,9,14,n/a,n/a,18,n/a,13,9,12,13,18,10,8,7,n/a,n/a,10,9,17,n/a,9,7,16,,8,7,n/a
5/6/2019,n/a,10,13,14,n/a,10,18,27,20,15,17,27,17,12,19,n/a,10,12,16,22,17,n/a,22,n/a,20,9,11,12,11,11,14,14,11,14,11,8,5,8,7,10,22,n/a,n/a,19,n/a,13,12,12,10,12,14,9,9,n/a,n/a,12,10,15,n/a,8,9,18,,8,8,n/a
6/6/2019,n/a,16,16,18,n/a,17,22,31,24,20,23,32,23,16,21,n/a,16,20,14,15,12,n/a,17,14,22,23,7,14,13,12,16,14,14,15,10,7,8,8,7,18,7,n/a,n/a,20,n/a,11,7,9,11,n/a,12,11,n/a,n/a,n/a,9,9,10,n/a,9,10,13,,8,6,n/a
7/6/2019,n/a,23,19,19,n/a,17,26,25,25,23,25,35,23,20,25,n/a,21,23,16,15,17,n/a,25,14,18,12,7,13,13,13,13,16,13,16,8,7,8,10,11,23,10,n/a,n/a,16,n/a,7,11,10,13,14,12,12,n/a,n/a,n/a,9,10,17,n/a,11,10,12,,11,3,n/a
8/6/2019,n/a,10,12,14,n/a,12,n/a,23,18,13,19,32,14,14,21,n/a,9,14,14,18,14,n/a,21,8,19,12,7,8,9,6,15,11,10,17,10,11,15,14,14,24,9,n/a,n/a,17,n/a,10,10,12,21,17,15,14,n/a,n/a,n/a,7,10,17,n/a,10,11,14,,7,5,n/a
9/6/2019,n/a,12,9,11,n/a,11,n/a,21,16,14,14,23,15,12,18,n/a,6,11,12,10,11,n/a,11,6,15,12,6,5,10,5,9,10,8,16,10,14,15,14,15,11,11,n/a,n/a,15,n/a,7,9,11,16,16,12,15,n/a,n/a,n/a,6,11,17,n/a,10,8,10,,6,5,n/a
10/6/2019,n/a,8,8,10,n/a,7,n/a,25,14,12,11,16,13,11,19,n/a,7,11,12,11,10,n/a,14,6,16,n/a,n/a,15,10,7,11,9,7,12,5,7,11,9,8,n/a,8,n/a,n/a,13,n/a,4,12,17,13,14,14,8,n/a,n/a,n/a,6,9,13,n/a,11,9,11,,6,17,n/a
11/6/2019,n/a,9,10,14,n/a,10,16,33,17,14,16,26,17,12,24,n/a,23,12,11,n/a,10,n/a,17,n/a,22,6,n/a,8,11,7,12,6,7,12,9,3,11,9,8,16,12,n/a,n/a,17,n/a,n/a,21,22,9,20,10,9,7,n/a,n/a,7,8,8,n/a,9,9,11,,9,16,n/a
12/6/2019,n/a,8,9,11,n/a,8,13,26,13,11,12,16,15,9,21,n/a,20,12,13,14,11,n/a,20,7,20,3,8,6,11,8,14,8,8,15,10,11,8,10,9,16,17,n/a,n/a,16,n/a,n/a,13,21,10,16,12,12,8,n/a,n/a,7,11,12,n/a,12,7,15,,10,16,n/a
13/6/2019,n/a,9,12,9,n/a,12,15,21,14,11,12,19,17,11,21,n/a,24,14,13,10,13,n/a,18,12,22,5,7,n/a,11,n/a,14,10,9,13,14,10,8,8,7,15,16,n/a,n/a,17,n/a,10,15,24,10,19,13,11,8,n/a,n/a,10,9,10,n/a,11,7,15,,9,16,n/a
14/6/2019,n/a,8,7,10,n/a,10,11,24,13,10,15,18,15,10,24,n/a,22,13,13,18,11,n/a,17,11,20,5,6,n/a,12,n/a,12,10,7,12,15,11,11,9,9,12,16,n/a,29,18,n/a,8,14,21,10,16,13,11,10,n/a,n/a,9,9,8,n/a,10,9,13,,11,16,n/a
15/6/2019,n/a,10,11,12,n/a,10,11,25,15,12,17,22,15,13,22,n/a,10,14,12,12,9,n/a,13,11,22,6,6,8,8,7,13,11,9,18,20,15,11,9,11,7,11,n/a,15,19,n/a,10,11,20,13,11,13,14,9,n/a,n/a,9,13,15,n/a,12,9,16,,8,10,n/a
16/6/2019,n/a,11,11,15,n/a,12,10,22,17,16,20,30,15,15,22,n/a,8,12,12,13,8,n/a,15,8,17,7,5,8,9,8,11,n/a,7,15,14,11,11,7,8,7,11,n/a,22,16,n/a,7,16,24,10,14,11,11,6,n/a,n/a,8,6,12,n/a,10,6,10,,10,14,n/a
17/6/2019,n/a,8,10,11,n/a,11,9,22,13,10,16,17,13,10,19,n/a,8,10,11,14,7,n/a,9,6,19,4,3,6,8,6,10,n/a,7,11,14,9,11,9,6,8,17,n/a,32,15,n/a,4,14,35,7,14,9,8,4,n/a,n/a,6,n/a,10,n/a,9,7,10,,6,20,n/a
18/6/2019,n/a,8,7,10,n/a,6,9,22,12,10,14,22,14,7,19,n/a,16,11,11,21,9,n/a,12,6,20,3,4,6,10,8,9,7,6,12,15,10,11,7,6,9,10,n/a,29,15,n/a,5,12,22,8,14,8,9,4,n/a,n/a,7,n/a,8,n/a,7,8,10,,9,18,n/a
19/6/2019,n/a,8,7,10,n/a,5,9,26,13,11,16,17,16,8,18,n/a,n/a,10,12,12,13,n/a,16,12,19,3,4,7,10,7,10,8,7,15,14,12,10,8,8,14,13,n/a,22,17,n/a,5,12,22,10,9,9,11,9,n/a,n/a,n/a,7,11,n/a,8,6,11,,11,20,n/a
20/6/2019,n/a,15,13,14,n/a,12,14,34,18,16,21,28,20,15,33,n/a,15,9,16,16,14,n/a,18,14,19,11,6,9,11,8,11,11,10,14,16,12,13,8,9,11,17,n/a,19,21,n/a,8,18,21,10,6,11,13,8,n/a,n/a,10,9,11,n/a,9,9,18,,9,17,n/a
21/6/2019,n/a,19,14,14,n/a,12,16,34,21,18,25,25,23,14,23,n/a,17,20,16,13,13,n/a,20,19,20,14,9,9,10,9,13,14,11,15,15,14,13,11,10,14,14,n/a,14,20,n/a,15,13,14,10,12,13,14,12,n/a,n/a,11,13,7,n/a,10,11,21,,12,10,n/a
22/6/2019,n/a,17,15,16,n/a,15,17,21,19,17,24,29,23,15,23,n/a,16,20,17,15,18,n/a,24,21,25,13,14,15,12,16,19,16,16,16,17,16,16,13,10,18,12,n/a,14,21,n/a,24,12,12,15,9,15,15,12,n/a,n/a,15,12,8,n/a,14,15,25,,12,6,n/a
23/6/2019,n/a,17,14,16,n/a,12,17,21,20,15,23,29,24,15,19,n/a,14,19,17,17,16,n/a,23,17,25,11,11,13,9,14,14,14,11,19,17,19,16,15,14,21,14,n/a,13,23,n/a,16,9,10,15,10,18,16,15,n/a,n/a,13,17,7,n/a,19,16,18,,12,4,n/a
24/6/2019,n/a,14,12,12,n/a,10,14,20,16,11,20,24,19,11,12,n/a,12,14,15,16,13,n/a,49,8,19,7,5,7,9,8,12,9,10,20,16,19,n/a,17,17,20,11,n/a,16,19,n/a,8,13,15,18,12,19,16,19,n/a,n/a,8,12,14,n/a,20,12,14,,9,8,n/a
25/6/2019,n/a,16,11,12,n/a,12,13,32,18,15,20,25,21,11,n/a,17,n/a,17,13,10,13,n/a,n/a,9,19,14,6,5,9,6,8,8,6,17,14,14,14,15,11,13,11,n/a,25,19,n/a,8,12,17,13,9,15,15,10,n/a,n/a,9,11,9,n/a,14,9,16,,7,12,8
26/6/2019,n/a,11,8,9,n/a,9,12,34,14,12,16,20,17,11,18,10,9,10,12,9,9,n/a,n/a,8,17,n/a,n/a,6,9,7,8,5,5,17,13,11,11,11,6,10,11,n/a,17,14,n/a,7,13,23,18,6,9,12,6,n/a,n/a,7,9,8,n/a,10,8,19,,5,7,7
27/6/2019,n/a,17,9,12,n/a,13,14,42,20,17,19,25,n/a,13,21,16,12,16,13,8,8,n/a,n/a,6,17,14,8,7,12,7,12,9,7,12,7,7,10,9,6,10,16,10,21,13,n/a,6,21,21,25,4,8,8,4,n/a,n/a,8,6,10,n/a,7,5,14,,6,12,7
28/6/2019,n/a,16,14,16,n/a,13,18,46,18,17,21,20,n/a,15,21,17,14,14,13,17,12,n/a,n/a,11,22,13,10,7,12,10,12,13,6,12,9,10,10,8,7,11,17,9,30,15,14,11,26,27,15,5,9,7,7,n/a,n/a,8,8,9,n/a,6,7,15,,7,23,9
29/6/2019,n/a,7,7,10,n/a,11,13,25,13,12,17,18,12,9,15,10,9,10,12,10,9,n/a,n/a,7,17,6,7,6,9,8,n/a,8,7,12,7,10,12,8,7,10,20,16,38,15,13,6,23,33,15,6,8,7,6,n/a,n/a,8,5,7,n/a,5,8,14,,7,27,6
30/6/2019,n/a,9,9,13,n/a,8,14,20,14,11,16,25,13,10,13,10,11,11,12,9,10,n/a,n/a,10,16,7,7,9,10,10,13,9,8,13,8,12,9,7,8,12,20,11,33,17,14,7,22,34,12,5,8,8,7,n/a,n/a,7,9,6,n/a,5,7,11,,7,22,8
1/7/2019,n/a,15,15,17,n/a,11,19,33,19,17,25,31,18,16,24,13,14,18,15,13,11,n/a,n/a,12,22,17,14,10,12,13,17,13,12,16,8,14,11,8,9,17,14,11,30,16,17,7,22,33,11,6,9,12,7,n/a,4,7,5,8,n/a,6,8,16,,11,20,10
2/7/2019,n/a,24,17,21,n/a,16,22,34,26,28,29,35,26,19,27,19,22,22,14,16,17,n/a,n/a,13,24,n/a,13,13,11,n/a,17,14,10,23,19,17,12,15,13,20,19,14,34,18,20,14,28,40,12,9,10,18,11,n/a,7,10,10,10,n/a,n/a,10,18,,13,26,17
3/7/2019,n/a,20,16,17,n/a,14,20,32,20,21,26,34,25,13,15,19,16,25,18,11,8,n/a,n/a,7,22,n/a,11,9,11,13,18,17,11,20,15,14,10,11,13,12,15,6,31,13,12,7,36,35,11,8,13,13,8,n/a,7,2,7,9,n/a,8,8,10,,10,18,14
4/7/2019,n/a,20,15,16,n/a,14,20,33,21,19,24,28,23,15,8,16,17,16,16,12,10,n/a,n/a,9,18,15,14,10,12,12,14,12,9,22,14,11,10,9,9,10,16,8,24,13,15,13,28,26,16,6,11,11,3,n/a,5,6,7,13,n/a,9,7,15,,7,18,8
5/7/2019,n/a,14,13,14,n/a,10,17,30,17,11,21,29,17,11,8,15,11,12,13,25,11,n/a,13,n/a,17,6,8,9,9,8,n/a,9,8,11,8,8,9,7,6,12,21,15,40,14,12,4,33,35,11,4,9,8,3,n/a,n/a,7,9,11,n/a,6,5,10,,9,26,6
6/7/2019,n/a,21,19,21,n/a,9,25,32,22,19,31,35,22,18,14,16,18,20,16,21,11,n/a,23,10,22,11,12,13,13,12,n/a,12,12,13,6,7,12,8,7,11,26,14,32,17,17,9,n/a,30,11,4,10,7,7,n/a,6,7,n/a,11,n/a,6,6,14,,12,24,9
7/7/2019,n/a,17,16,16,n/a,8,18,30,24,17,26,34,17,15,7,11,12,17,17,10,11,n/a,n/a,15,21,14,11,9,15,14,n/a,15,10,14,8,11,9,7,9,12,19,10,25,15,16,10,23,24,8,5,11,10,7,n/a,9,10,9,7,n/a,6,7,20,,10,23,12
8/7/2019,n/a,16,14,15,n/a,12,15,35,18,15,24,21,16,15,12,10,12,13,15,16,14,n/a,n/a,13,24,13,11,9,12,8,n/a,12,11,16,11,10,9,12,9,13,17,11,31,16,16,13,18,22,10,6,12,14,5,n/a,7,9,12,9,n/a,8,10,21,,9,19,13
9/7/2019,n/a,16,13,16,n/a,16,15,29,20,16,25,23,20,16,22,12,13,16,16,17,16,n/a,21,15,24,10,10,9,11,13,15,12,12,19,12,12,11,13,13,15,20,12,25,19,18,13,15,19,12,7,14,13,8,n/a,9,10,13,10,n/a,9,8,17,,10,13,15
10/7/2019,n/a,20,17,18,n/a,12,16,36,23,20,27,26,23,17,26,13,19,18,16,15,13,n/a,20,11,22,12,11,9,11,13,17,11,10,17,11,13,9,11,12,15,21,12,21,18,n/a,11,15,20,12,7,16,13,7,n/a,8,12,14,11,n/a,11,9,19,,12,14,14
11/7/2019,n/a,19,14,17,n/a,14,18,35,19,16,24,26,28,15,28,17,21,22,16,19,17,n/a,22,14,25,17,12,10,15,11,15,16,11,16,11,8,9,8,8,17,23,12,23,20,19,12,11,15,10,7,12,11,7,n/a,6,13,12,11,n/a,8,10,23,,12,18,12
12/7/2019,n/a,16,14,14,n/a,11,15,31,20,15,24,24,22,14,24,16,16,19,16,16,17,n/a,25,15,26,14,14,10,19,15,16,15,15,17,12,13,12,10,10,17,20,11,22,20,19,17,10,14,10,7,14,12,6,n/a,7,11,11,11,n/a,9,10,21,,12,15,13
13/7/2019,n/a,17,13,14,n/a,12,16,32,20,16,23,24,19,13,24,18,17,17,16,14,15,n/a,18,14,21,16,12,9,12,11,16,14,11,16,10,10,10,10,9,19,23,15,27,19,22,14,12,20,11,5,14,11,7,n/a,6,11,11,8,n/a,10,7,21,,10,13,15
14/7/2019,n/a,12,13,13,n/a,10,13,22,17,12,19,22,16,12,25,11,12,18,14,9,10,n/a,14,11,18,11,13,8,12,7,13,13,12,12,7,8,11,9,6,10,15,7,18,16,14,15,17,20,7,4,10,8,4,n/a,4,12,9,6,n/a,6,6,20,,10,9,11
15/7/2019,n/a,14,9,13,n/a,11,12,26,17,13,20,24,17,13,19,15,13,14,13,10,12,n/a,15,8,16,15,9,9,11,8,9,12,6,14,9,10,12,8,8,14,13,5,16,14,16,14,12,13,7,5,10,10,4,n/a,5,10,9,6,n/a,6,6,16,,8,7,10
16/7/2019,n/a,14,9,12,n/a,8,12,24,18,13,21,24,17,10,23,12,11,n/a,15,8,10,n/a,16,11,18,11,7,5,12,5,8,11,8,15,8,9,12,9,8,11,13,3,16,17,13,10,14,13,13,6,11,10,5,n/a,7,9,10,9,n/a,9,6,17,,9,7,9
17/7/2019,n/a,12,9,12,n/a,9,10,25,17,11,19,20,15,10,15,10,8,12,11,8,11,n/a,19,11,14,9,5,6,12,5,9,14,7,14,8,12,15,9,9,15,10,5,14,17,15,10,16,14,13,7,13,11,6,n/a,7,6,9,11,n/a,8,8,12,,9,10,7
18/7/2019,n/a,13,9,11,n/a,5,12,28,15,11,17,20,16,10,17,11,9,20,12,8,11,n/a,14,10,13,8,7,6,11,7,10,9,6,14,11,13,14,10,12,19,8,5,15,21,18,10,24,26,11,6,16,12,12,n/a,9,9,12,9,n/a,10,9,12,,9,9,6
19/7/2019,n/a,13,8,12,n/a,8,12,29,16,11,20,21,15,10,20,12,10,21,12,10,11,n/a,14,9,10,11,9,6,13,7,9,7,6,15,10,14,13,10,13,15,7,6,26,19,17,8,13,23,12,8,16,10,10,n/a,9,9,14,8,n/a,10,10,12,,9,16,9
20/7/2019,n/a,12,11,12,n/a,13,14,24,17,13,22,28,16,12,18,16,7,20,11,17,11,n/a,12,8,10,13,8,5,11,5,9,7,6,16,10,13,n/a,9,11,16,9,5,39,17,14,9,20,27,11,10,15,12,9,n/a,7,n/a,15,7,n/a,9,8,10,,8,17,6
21/7/2019,n/a,6,6,7,n/a,5,8,16,10,6,13,13,13,6,12,9,5,12,12,6,7,n/a,13,10,8,5,6,6,12,4,10,6,7,13,8,12,10,9,11,13,11,7,27,17,13,6,21,29,9,6,15,11,10,n/a,8,n/a,7,8,n/a,9,6,8,,7,17,4
22/7/2019,n/a,12,n/a,11,n/a,8,12,22,14,10,19,22,18,11,19,14,8,17,13,12,11,n/a,18,10,13,9,12,8,10,12,11,6,9,12,7,10,13,6,6,15,12,8,28,17,13,9,20,28,7,3,9,9,6,n/a,5,n/a,7,6,n/a,5,6,13,,8,22,11
23/7/2019,n/a,17,11,14,n/a,12,15,34,18,15,20,28,19,14,22,17,14,27,12,11,n/a,n/a,19,12,12,14,13,9,11,11,15,13,9,14,9,10,9,9,5,13,14,9,28,19,18,10,15,21,7,4,9,11,7,n/a,6,9,10,8,n/a,4,9,14,,8,20,12
24/7/2019,n/a,22,16,16,n/a,12,20,n/a,23,17,26,24,22,15,24,19,20,29,18,14,n/a,n/a,18,10,12,13,12,7,13,9,10,13,13,13,9,10,9,7,5,9,20,14,23,17,15,10,12,16,6,3,7,10,6,n/a,6,7,7,8,n/a,5,6,15,,8,13,12
25/7/2019,n/a,17,10,14,n/a,8,14,35,17,13,20,25,19,16,20,16,15,25,20,11,n/a,n/a,14,6,12,17,12,6,12,8,11,10,9,13,9,8,11,5,6,6,19,12,31,14,12,10,17,20,6,3,7,9,7,n/a,6,6,6,4,n/a,3,4,13,,7,16,9
26/7/2019,n/a,16,17,15,n/a,16,21,37,21,16,26,30,26,16,20,21,18,31,23,13,12,n/a,25,8,12,14,14,8,12,9,13,15,14,14,10,9,7,6,6,8,23,13,25,13,14,13,16,23,5,4,7,12,9,n/a,6,9,5,6,n/a,4,7,14,,8,18,11
27/7/2019,n/a,12,10,14,n/a,11,16,28,17,11,22,24,22,12,18,19,13,29,20,15,15,n/a,19,16,16,13,14,11,13,11,15,13,12,15,12,11,7,6,7,11,19,11,32,15,16,n/a,16,28,5,4,8,13,9,n/a,6,8,6,5,n/a,3,9,18,,7,19,11
28/7/2019,n/a,9,14,11,n/a,10,15,21,17,11,20,23,20,13,15,14,12,24,17,14,15,n/a,22,17,12,11,n/a,10,10,13,13,9,10,14,11,10,n/a,7,7,14,14,12,25,19,19,15,18,27,5,5,11,12,6,n/a,7,11,8,6,n/a,5,8,18,,8,17,10
29/7/2019,n/a,8,6,7,n/a,12,11,20,13,6,12,20,16,8,9,7,8,17,13,6,8,n/a,13,11,8,10,n/a,6,10,7,8,8,7,14,8,9,17,7,6,8,17,13,28,19,14,9,26,30,5,4,11,11,8,n/a,6,5,10,6,n/a,5,6,14,,6,19,6
30/7/2019,n/a,9,8,10,n/a,14,13,21,15,10,16,18,18,9,15,9,11,22,16,11,10,n/a,15,9,10,13,13,7,11,11,11,13,8,14,9,12,11,8,7,8,19,11,23,18,13,9,32,31,6,5,8,9,9,n/a,6,8,10,7,n/a,5,8,16,,9,18,7
31/7/2019,n/a,11,11,12,n/a,14,16,n/a,17,13,18,18,20,11,22,10,11,23,16,10,10,n/a,13,10,10,12,12,9,13,10,12,17,7,17,12,11,10,6,9,7,16,13,26,16,16,9,26,27,5,6,6,15,8,n/a,4,8,8,6,n/a,4,9,16,,7,19,9
1/8/2019,n/a,11,10,13,n/a,11,14,30,16,11,20,17,19,12,20,9,10,22,16,9,10,n/a,13,10,12,13,11,8,13,6,12,11,7,13,10,8,9,5,6,8,16,9,23,14,15,n/a,23,27,4,4,6,11,5,n/a,5,5,7,7,n/a,3,5,14,,8,18,8
2/8/2019,n/a,11,8,11,n/a,11,12,25,15,11,17,19,20,9,17,9,10,27,18,10,9,n/a,21,7,9,15,12,10,15,8,12,15,7,13,9,10,9,6,7,10,17,14,31,13,13,10,27,37,5,4,6,12,6,n/a,6,6,5,11,n/a,5,6,11,,7,22,7
3/8/2019,n/a,10,8,12,n/a,11,13,23,14,10,17,19,19,11,16,10,10,23,14,11,10,n/a,21,12,n/a,11,11,7,14,6,9,15,8,12,7,10,13,9,6,15,17,12,30,14,15,6,32,41,5,4,8,9,8,n/a,6,8,n/a,3,n/a,5,6,14,,n/a,21,8
4/8/2019,n/a,7,7,10,n/a,10,11,16,12,7,13,22,18,10,14,6,6,20,11,7,7,n/a,12,8,10,9,10,7,12,7,8,11,6,16,11,9,11,6,7,18,11,9,40,16,13,6,33,44,4,4,6,11,7,n/a,5,9,8,8,n/a,3,6,11,,7,34,5
5/8/2019,n/a,6,7,11,n/a,9,13,26,14,8,14,16,18,9,14,7,9,22,12,9,10,n/a,13,5,11,6,9,7,13,10,8,11,6,11,8,9,n/a,6,7,16,12,9,43,17,14,7,44,44,4,3,7,8,7,n/a,5,10,11,5,n/a,4,7,12,,9,35,6
6/8/2019,n/a,11,8,12,n/a,9,14,32,16,12,17,22,20,10,15,12,13,25,14,12,8,n/a,12,7,10,11,10,8,n/a,11,9,9,8,13,7,9,n/a,8,7,11,10,10,38,16,13,8,42,43,5,4,7,10,12,n/a,8,8,11,7,n/a,4,8,14,,7,32,8
7/8/2019,n/a,15,9,13,n/a,8,15,38,16,14,18,17,23,12,19,13,11,23,14,9,10,n/a,17,11,9,13,10,7,10,8,10,9,6,14,9,8,12,6,7,8,13,11,32,16,14,7,40,39,6,4,8,11,7,n/a,6,8,8,8,n/a,5,7,14,,8,25,8
8/8/2019,n/a,13,10,12,n/a,10,13,31,15,11,15,19,21,10,18,12,13,26,18,8,7,n/a,14,10,8,16,11,7,9,9,9,12,10,14,9,12,10,8,9,8,16,9,22,14,13,8,31,29,6,5,7,12,7,n/a,6,8,7,7,n/a,6,6,12,,6,16,7
9/8/2019,n/a,14,11,13,n/a,13,16,39,19,13,18,20,20,12,20,11,14,23,14,9,6,n/a,16,7,10,15,8,7,9,9,9,10,7,18,13,12,8,6,9,7,12,6,17,18,11,4,28,27,6,6,6,15,7,n/a,8,7,12,11,n/a,5,6,12,,7,14,6
10/8/2019,n/a,5,7,9,n/a,8,11,21,11,6,13,17,14,7,16,10,10,22,9,11,8,n/a,16,5,n/a,n/a,6,6,11,7,9,n/a,6,15,12,10,8,8,6,10,7,6,16,14,10,8,9,12,5,6,5,14,5,n/a,6,7,6,5,n/a,3,5,10,,7,6,5
11/8/2019,n/a,4,7,9,n/a,8,13,15,12,6,12,15,17,7,14,8,10,21,9,7,13,n/a,12,5,10,4,n/a,7,11,7,10,n/a,7,13,9,9,8,6,7,13,10,7,17,15,13,n/a,21,22,4,5,5,11,6,n/a,4,10,4,8,n/a,4,8,11,,10,18,6
12/8/2019,n/a,5,6,9,n/a,8,12,15,12,6,11,17,16,9,10,6,8,22,11,13,12,n/a,17,9,10,5,9,8,11,7,10,9,9,16,11,12,9,8,10,10,10,9,31,19,14,n/a,20,34,6,6,8,16,11,n/a,8,9,6,8,n/a,4,10,n/a,,8,24,8
13/8/2019,n/a,8,11,11,n/a,11,16,27,15,9,18,21,19,12,18,10,10,23,14,17,14,n/a,19,11,12,7,12,8,12,9,12,9,10,18,15,12,8,11,12,12,18,8,36,19,15,12,25,30,8,7,12,16,11,n/a,9,8,8,9,n/a,6,11,15,,12,25,9
14/8/2019,n/a,16,17,17,n/a,15,19,30,21,17,23,23,23,18,23,14,15,25,17,15,13,n/a,17,11,13,11,13,8,11,11,12,13,9,20,17,13,10,8,11,11,12,6,23,17,18,13,18,22,10,6,10,15,9,n/a,9,10,10,12,n/a,7,10,20,,9,12,11
