Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,24T,26T,27T,30T,32T,35T,36T,40T,44T,46T,62T,63T,75T,76T,77T,79T,80T
7/8/2017,N/A,19,16,18,22,14,N/A,13,15,23,8,15,12,13,15,12,3,N/A,N/A,10,23,N/A,N/A,8,9,10
8/8/2017,N/A,16,15,18,21,15,N/A,13,21,22,5,16,14,11,14,11,5,N/A,N/A,6,14,7,N/A,9,8,8
9/8/2017,7,25,15,17,22,13,N/A,14,15,32,6,15,17,N/A,12,12,3,12,N/A,5,13,5,N/A,11,8,6
10/8/2017,N/A,N/A,16,18,22,13,N/A,10,15,27,10,14,29,16,14,12,3,14,N/A,4,11,6,5,9,8,7
11/8/2017,7,N/A,9,15,19,12,N/A,11,18,29,11,15,25,15,16,12,5,10,N/A,3,9,6,4,12,14,5
12/8/2017,8,N/A,9,13,14,10,N/A,10,15,27,6,10,25,12,13,12,5,9,N/A,N/A,10,7,5,10,6,6
13/8/2017,8,N/A,11,14,15,10,N/A,10,14,31,5,9,19,15,14,11,5,9,N/A,3,10,8,5,14,6,6
14/8/2017,11,N/A,13,18,19,13,N/A,15,14,39,N/A,14,17,13,19,13,6,11,N/A,5,10,7,6,14,8,5
15/8/2017,6,N/A,12,16,14,14,N/A,12,11,33,N/A,11,14,13,16,12,3,8,N/A,N/A,11,7,6,11,8,3
16/8/2017,10,N/A,12,18,19,14,N/A,15,12,23,N/A,15,8,11,15,12,4,11,N/A,5,11,5,7,9,7,6
17/8/2017,7,10,10,16,16,12,N/A,15,11,28,N/A,22,9,10,15,12,3,8,N/A,9,13,5,6,6,6,7
18/8/2017,13,16,15,23,23,16,N/A,16,16,16,N/A,21,14,14,13,11,4,15,N/A,17,16,9,4,12,6,8
19/8/2017,14,22,13,18,N/A,16,N/A,15,20,35,N/A,17,16,N/A,14,12,5,17,N/A,11,19,8,5,16,10,10
20/8/2017,8,12,8,13,N/A,10,N/A,8,11,20,N/A,12,12,N/A,12,10,2,16,N/A,14,28,7,3,13,5,17
21/8/2017,9,13,10,15,N/A,11,N/A,11,12,23,N/A,14,10,N/A,12,12,3,28,N/A,14,24,7,4,12,7,15
22/8/2017,14,14,15,18,20,14,N/A,15,13,22,N/A,17,10,12,14,12,6,23,N/A,11,24,N/A,4,19,7,12
23/8/2017,11,15,10,16,18,11,N/A,12,14,23,N/A,15,9,10,11,12,N/A,20,N/A,10,23,10,5,15,6,14
24/8/2017,14,15,14,19,21,14,N/A,12,9,22,6,19,11,12,15,15,N/A,25,N/A,6,23,N/A,4,16,9,18
25/8/2017,10,11,13,17,20,13,N/A,10,8,17,8,10,10,11,20,N/A,3,26,N/A,6,29,8,N/A,14,7,21
26/8/2017,13,15,15,18,18,15,N/A,15,16,31,5,17,12,12,12,11,6,17,N/A,8,21,8,5,13,6,8
27/8/2017,10,18,N/A,14,13,11,N/A,10,16,17,4,13,8,9,10,9,6,16,N/A,7,19,10,5,12,6,8
28/8/2017,11,20,N/A,17,21,13,N/A,12,14,16,6,14,11,11,12,11,9,8,N/A,7,14,9,7,12,6,5
29/8/2017,18,23,N/A,23,30,19,N/A,19,22,18,9,18,14,16,14,12,6,17,N/A,5,16,7,6,14,12,7
30/8/2017,14,24,19,23,28,19,N/A,16,17,21,12,18,13,18,12,11,5,11,N/A,9,15,7,6,20,13,9
31/8/2017,11,16,14,19,23,15,N/A,15,14,19,11,15,13,15,11,10,4,14,N/A,6,16,7,6,19,10,15
1/9/2017,13,10,15,19,22,16,N/A,15,17,22,9,13,11,16,N/A,N/A,5,15,N/A,5,12,7,5,21,8,11
2/9/2017,13,9,11,20,22,13,N/A,13,19,24,10,19,10,12,10,11,7,17,N/A,8,18,7,4,27,7,8
3/9/2017,12,10,7,14,16,10,N/A,11,13,29,6,15,14,12,12,11,7,13,N/A,11,13,10,5,16,6,5
4/9/2017,10,6,7,14,15,9,N/A,9,10,24,6,9,10,13,14,12,7,11,N/A,4,11,11,8,17,5,7
5/9/2017,9,10,9,16,16,13,N/A,11,10,28,5,13,8,12,12,N/A,9,12,N/A,4,14,10,11,13,6,8
6/9/2017,9,11,10,19,20,15,N/A,13,11,20,4,7,9,11,13,N/A,6,14,N/A,5,14,9,11,16,6,12
7/9/2017,8,9,8,16,15,11,N/A,11,16,38,N/A,9,8,15,11,4,6,19,N/A,6,15,8,11,22,12,12
8/9/2017,11,11,15,17,16,18,N/A,11,12,56,N/A,12,10,16,11,8,5,17,N/A,10,20,8,10,26,15,9
9/9/2017,10,10,13,15,16,14,N/A,9,14,54,N/A,17,13,17,14,8,9,26,N/A,11,18,7,10,28,15,8
10/9/2017,14,23,19,22,24,20,N/A,13,22,33,N/A,14,14,17,15,10,9,16,N/A,N/A,11,8,9,20,9,8
11/9/2017,20,32,25,29,33,28,N/A,23,24,44,N/A,30,13,17,16,9,7,7,N/A,N/A,14,8,10,23,10,8
12/9/2017,21,24,28,29,30,26,N/A,19,22,36,N/A,15,13,19,17,7,8,12,N/A,5,18,10,11,15,12,11
13/9/2017,23,27,30,29,32,29,N/A,23,21,50,N/A,22,20,21,15,10,9,12,N/A,5,12,10,13,22,11,6
14/9/2017,18,19,21,23,26,23,N/A,17,28,49,N/A,15,20,20,16,10,11,12,N/A,4,10,9,11,26,8,5
15/9/2017,17,16,16,21,21,17,N/A,13,17,32,N/A,18,12,13,16,10,12,10,N/A,2,9,12,11,19,7,5
16/9/2017,9,13,10,15,18,10,N/A,13,14,28,N/A,7,8,11,16,13,8,9,N/A,5,14,9,10,10,6,5
17/9/2017,6,6,8,11,11,8,N/A,7,8,29,N/A,8,14,9,13,5,5,12,N/A,6,17,9,8,9,7,8
18/9/2017,11,9,11,18,18,12,N/A,10,18,25,N/A,11,13,12,11,7,5,16,N/A,5,16,8,7,16,5,12
19/9/2017,13,16,13,16,24,13,N/A,14,19,42,N/A,12,12,14,13,8,6,10,N/A,4,14,9,8,22,7,6
20/9/2017,17,15,15,25,31,18,N/A,25,25,64,N/A,21,13,20,13,9,7,13,N/A,3,11,10,10,15,10,7
21/9/2017,28,30,30,35,42,33,N/A,39,27,38,N/A,26,12,32,16,10,6,8,N/A,4,9,9,11,10,9,4
22/9/2017,20,15,21,25,30,20,N/A,26,25,N/A,N/A,21,17,21,15,9,7,12,N/A,4,11,N/A,12,11,7,5
23/9/2017,15,18,19,25,28,20,N/A,18,20,30,N/A,22,11,17,19,14,12,13,N/A,7,15,10,14,11,7,5
24/9/2017,16,18,19,22,28,19,N/A,18,21,25,N/A,12,8,11,21,14,11,8,N/A,8,16,9,11,15,6,5
25/9/2017,7,11,10,14,19,10,N/A,8,10,22,N/A,9,9,12,20,16,9,12,N/A,8,19,8,10,7,5,8
26/9/2017,4,5,12,13,15,10,N/A,9,10,23,7,5,9,12,17,8,10,11,N/A,7,21,8,10,10,6,6
27/9/2017,11,6,17,24,23,14,N/A,15,18,22,8,14,11,14,15,10,9,9,N/A,5,17,9,10,8,5,9
28/9/2017,8,9,9,16,19,11,N/A,12,18,37,8,10,15,14,19,11,12,12,N/A,9,16,N/A,12,11,7,8
29/9/2017,16,17,N/A,22,26,19,N/A,21,26,24,8,20,16,21,14,10,5,N/A,N/A,3,11,N/A,14,12,9,4
30/9/2017,23,22,N/A,30,34,25,N/A,29,25,30,12,22,15,19,15,12,8,N/A,N/A,N/A,10,N/A,13,13,14,6
1/10/2017,21,32,30,30,36,26,N/A,28,25,29,17,13,10,16,20,14,11,N/A,N/A,N/A,15,N/A,9,18,22,10
2/10/2017,16,21,20,23,28,17,N/A,23,25,33,10,21,16,16,20,13,9,N/A,N/A,4,14,N/A,9,16,12,8
3/10/2017,15,9,17,22,28,18,N/A,24,22,22,11,26,11,N/A,16,10,N/A,N/A,N/A,7,15,N/A,12,18,7,10
4/10/2017,9,14,14,19,24,12,N/A,20,17,22,7,16,8,N/A,13,7,N/A,N/A,N/A,8,16,4,10,14,5,8
5/10/2017,10,13,17,19,23,13,N/A,18,15,23,10,9,14,15,11,8,N/A,N/A,N/A,7,17,6,10,9,8,8
6/10/2017,21,22,26,26,32,N/A,N/A,26,N/A,30,10,31,17,21,14,9,N/A,N/A,N/A,7,18,7,10,N/A,8,8
7/10/2017,18,26,23,27,33,22,N/A,27,26,33,9,24,20,18,14,10,N/A,N/A,N/A,9,13,7,11,N/A,8,7
8/10/2017,17,26,22,28,38,26,N/A,32,26,35,12,32,23,28,12,8,N/A,N/A,N/A,4,12,7,12,N/A,8,6
9/10/2017,15,16,14,22,26,20,N/A,24,20,38,15,37,19,24,12,8,N/A,N/A,N/A,5,14,8,11,N/A,13,5
10/10/2017,19,26,23,27,31,21,N/A,30,26,40,N/A,23,20,25,15,11,8,N/A,N/A,N/A,11,9,N/A,16,15,8
11/10/2017,9,17,16,21,23,14,N/A,21,24,41,N/A,N/A,11,23,13,8,5,N/A,N/A,4,11,7,8,18,10,6
12/10/2017,23,31,29,34,47,24,N/A,37,27,48,N/A,N/A,17,25,14,7,8,N/A,N/A,4,11,8,N/A,13,15,7
13/10/2017,38,45,42,44,55,34,N/A,53,41,35,N/A,N/A,23,26,14,7,8,N/A,N/A,N/A,10,8,13,15,19,4
14/10/2017,17,11,15,20,23,16,N/A,25,27,40,N/A,N/A,18,17,16,12,7,N/A,N/A,5,12,9,11,18,9,7
15/10/2017,13,12,15,20,29,11,N/A,20,16,34,N/A,N/A,10,8,14,10,7,N/A,N/A,9,16,10,6,21,5,9
16/10/2017,11,6,11,16,24,9,N/A,18,13,21,N/A,N/A,9,11,14,6,6,N/A,N/A,7,17,10,8,19,4,12
17/10/2017,13,12,13,21,28,13,N/A,21,18,27,8,N/A,12,12,15,9,5,N/A,N/A,10,21,10,9,15,6,15
18/10/2017,15,16,20,25,33,16,N/A,30,21,32,13,N/A,13,16,15,8,6,N/A,13,10,26,9,6,14,7,14
19/10/2017,16,12,19,25,28,17,N/A,30,28,36,9,20,22,N/A,20,9,8,N/A,12,10,22,9,10,15,8,14
20/10/2017,11,12,14,19,22,14,N/A,15,29,43,8,20,29,N/A,16,12,6,N/A,18,12,22,9,12,19,8,15
21/10/2017,25,24,31,32,41,22,N/A,36,33,51,9,19,28,N/A,16,11,8,N/A,19,16,21,9,14,24,8,11
22/10/2017,14,15,20,25,27,16,N/A,24,22,30,8,18,12,N/A,19,11,6,N/A,20,10,20,10,11,16,8,12
23/10/2017,12,14,14,19,26,12,N/A,18,18,N/A,12,25,12,N/A,17,N/A,6,N/A,20,12,20,8,11,17,11,14
24/10/2017,10,11,15,20,26,11,N/A,24,20,N/A,19,32,13,17,17,N/A,12,N/A,23,7,21,10,13,17,17,12
25/10/2017,18,21,25,27,N/A,20,N/A,27,27,N/A,14,41,19,N/A,20,12,12,N/A,29,N/A,19,16,22,24,17,9
26/10/2017,27,40,36,35,N/A,24,N/A,41,35,N/A,22,45,27,22,21,12,18,N/A,24,7,17,13,20,23,28,7
27/10/2017,32,39,36,45,N/A,24,N/A,47,31,N/A,26,51,26,26,19,11,14,N/A,25,6,20,N/A,21,30,29,9
28/10/2017,32,33,38,37,53,26,N/A,41,37,N/A,35,69,30,36,20,13,16,N/A,35,N/A,16,N/A,21,43,37,7
29/10/2017,42,42,51,49,61,34,N/A,54,49,N/A,55,70,33,47,22,17,21,11,40,4,15,N/A,28,45,48,9
30/10/2017,40,43,51,46,N/A,36,N/A,52,48,N/A,57,63,32,46,37,22,29,14,38,7,17,N/A,38,48,49,14
31/10/2017,33,37,45,42,N/A,33,N/A,46,40,N/A,44,58,27,41,38,24,29,23,39,15,30,31,45,39,42,25
1/11/2017,35,37,47,43,58,32,N/A,46,37,N/A,43,59,25,35,35,27,29,20,41,14,28,28,38,33,45,22
2/11/2017,33,39,44,43,N/A,31,N/A,47,39,N/A,42,63,18,35,32,22,25,N/A,34,N/A,19,23,36,32,39,9
3/11/2017,32,36,43,40,N/A,32,N/A,46,41,N/A,47,65,22,40,31,23,25,7,42,N/A,11,31,35,43,38,7
4/11/2017,44,45,57,51,N/A,39,N/A,59,51,N/A,50,N/A,30,47,44,33,33,7,35,N/A,7,37,N/A,47,47,5
5/11/2017,24,23,35,33,N/A,25,N/A,35,32,N/A,35,N/A,17,25,39,25,31,15,33,3,12,32,N/A,26,35,19
6/11/2017,38,38,49,48,N/A,32,N/A,51,41,N/A,33,N/A,18,38,36,26,30,N/A,32,6,14,27,33,39,27,13
7/11/2017,28,N/A,38,38,N/A,25,N/A,41,37,N/A,31,N/A,29,42,31,20,22,N/A,27,5,19,22,18,38,26,14
8/11/2017,25,N/A,37,36,42,25,N/A,35,27,N/A,38,N/A,21,28,21,16,16,N/A,19,N/A,13,15,20,24,29,10
9/11/2017,18,N/A,26,29,36,19,N/A,26,29,N/A,30,N/A,20,20,20,12,15,N/A,17,N/A,12,11,17,20,22,7
10/11/2017,18,N/A,24,28,30,18,N/A,25,26,N/A,23,N/A,16,22,17,12,10,N/A,13,N/A,14,10,18,15,21,6
11/11/2017,12,N/A,20,21,26,14,N/A,22,25,N/A,22,N/A,N/A,21,19,10,12,N/A,17,4,12,N/A,17,18,19,8
12/11/2017,18,N/A,24,26,32,17,N/A,28,28,N/A,18,N/A,N/A,29,18,10,12,N/A,18,N/A,10,N/A,22,22,19,5
13/11/2017,24,N/A,33,33,36,20,N/A,33,38,N/A,15,N/A,N/A,24,21,16,16,N/A,24,N/A,13,11,21,25,15,8
14/11/2017,29,N/A,34,39,48,23,N/A,39,35,N/A,N/A,N/A,N/A,38,23,18,14,N/A,23,5,13,12,26,23,27,6
15/11/2017,24,N/A,31,38,43,21,N/A,43,38,N/A,N/A,N/A,N/A,40,23,18,15,N/A,19,N/A,12,14,24,24,29,4
16/11/2017,18,N/A,21,24,27,15,N/A,23,25,N/A,N/A,N/A,25,31,24,18,19,N/A,12,5,17,11,22,20,21,8
17/11/2017,25,N/A,30,32,40,19,N/A,34,37,53,22,N/A,45,37,26,18,13,N/A,17,6,18,10,16,24,22,9
18/11/2017,42,N/A,45,45,56,25,N/A,54,43,54,21,40,37,40,19,17,14,N/A,17,11,16,10,21,50,22,11
19/11/2017,28,N/A,36,37,45,25,N/A,37,37,52,17,30,27,38,22,18,16,N/A,13,8,18,13,20,39,15,9
20/11/2017,14,N/A,19,23,28,16,N/A,24,19,37,11,27,15,12,24,N/A,15,N/A,11,7,16,15,16,11,13,12
21/11/2017,11,N/A,17,19,24,13,N/A,17,19,N/A,10,N/A,13,N/A,23,N/A,14,N/A,10,6,N/A,9,14,12,13,7
22/11/2017,19,N/A,22,27,34,16,N/A,26,25,24,15,N/A,14,20,20,N/A,11,N/A,11,5,N/A,N/A,24,17,16,8
23/11/2017,10,15,17,17,23,12,N/A,19,19,20,21,N/A,11,14,23,18,14,N/A,9,N/A,13,10,22,13,19,5
24/11/2017,10,20,18,20,26,13,N/A,17,16,15,21,N/A,8,14,25,17,11,N/A,N/A,N/A,14,11,20,15,21,7
25/11/2017,20,23,29,29,35,20,N/A,30,21,31,23,N/A,10,20,24,14,N/A,N/A,N/A,N/A,14,14,19,18,21,6
26/11/2017,21,23,29,31,35,21,N/A,30,26,26,23,N/A,11,21,21,12,N/A,N/A,N/A,N/A,8,N/A,21,19,22,5
27/11/2017,17,23,26,28,35,N/A,N/A,25,27,26,21,N/A,13,22,25,17,N/A,N/A,N/A,N/A,13,N/A,22,22,27,7
28/11/2017,23,24,34,33,42,N/A,N/A,31,38,28,24,N/A,19,29,32,23,N/A,N/A,18,N/A,10,N/A,21,25,25,5
29/11/2017,22,25,24,27,41,29,N/A,26,29,23,22,N/A,19,30,27,15,N/A,N/A,20,N/A,9,12,21,20,23,4
30/11/2017,N/A,23,27,30,40,29,N/A,25,27,24,21,N/A,18,24,25,17,N/A,N/A,18,4,11,11,21,16,26,3
1/12/2017,N/A,28,34,30,42,30,N/A,32,28,27,24,N/A,19,26,24,15,N/A,9,18,N/A,13,N/A,25,16,24,8
2/12/2017,N/A,24,31,31,42,27,N/A,35,31,24,N/A,N/A,12,23,26,13,N/A,10,16,N/A,11,13,20,12,25,7
3/12/2017,N/A,27,25,26,35,20,N/A,30,20,31,N/A,N/A,12,N/A,26,15,N/A,8,20,N/A,10,N/A,25,9,25,5
4/12/2017,N/A,19,22,27,35,18,N/A,28,22,29,25,N/A,11,N/A,27,N/A,N/A,N/A,18,6,14,15,30,13,24,6
5/12/2017,11,19,24,20,32,17,N/A,26,22,21,N/A,N/A,10,N/A,29,N/A,N/A,N/A,19,N/A,13,17,27,14,23,5
6/12/2017,20,28,31,33,47,22,N/A,36,27,32,N/A,N/A,18,29,33,23,N/A,N/A,23,N/A,11,N/A,34,17,31,7
7/12/2017,23,36,34,35,53,24,N/A,37,34,44,N/A,N/A,23,27,37,28,N/A,N/A,32,7,15,N/A,36,31,36,8
8/12/2017,26,29,39,38,50,28,N/A,46,36,52,44,N/A,30,28,39,29,N/A,12,21,8,17,22,37,18,35,10
9/12/2017,17,23,28,25,37,21,N/A,31,30,41,40,N/A,16,25,41,N/A,N/A,11,31,8,17,22,40,27,34,10
10/12/2017,39,38,54,50,60,40,N/A,58,48,53,47,N/A,28,44,36,N/A,N/A,15,36,15,21,21,35,44,43,13
11/12/2017,50,61,68,69,88,48,N/A,81,58,68,49,N/A,35,56,26,N/A,N/A,22,41,13,26,23,39,35,42,20
12/12/2017,25,34,42,38,44,29,N/A,47,38,66,40,N/A,31,44,30,14,N/A,26,33,21,27,24,27,52,38,20
13/12/2017,16,26,33,32,33,24,N/A,38,29,42,25,27,21,33,26,15,22,19,46,18,28,23,N/A,40,25,19
14/12/2017,20,26,34,34,36,24,N/A,44,27,48,21,28,18,29,22,13,20,22,42,16,24,N/A,25,37,26,18
15/12/2017,28,40,46,42,44,31,N/A,52,42,69,33,53,25,34,30,15,24,28,31,17,25,16,28,44,33,21
16/12/2017,25,28,38,38,42,27,N/A,48,35,32,43,59,22,25,29,19,27,23,12,14,24,17,32,24,39,15
17/12/2017,9,18,17,15,20,12,N/A,22,20,16,29,24,11,19,33,23,23,12,18,11,21,11,29,20,26,12
18/12/2017,29,29,39,33,38,24,N/A,40,36,36,41,48,20,37,30,20,20,7,32,8,17,19,31,38,40,10
19/12/2017,38,30,54,42,48,35,N/A,51,38,41,51,57,22,40,35,22,28,14,50,9,23,30,41,38,N/A,13
20/12/2017,41,39,59,51,55,39,N/A,54,42,43,66,72,22,42,38,25,37,21,43,14,30,34,39,43,49,18
21/12/2017,47,55,59,53,57,35,N/A,58,55,47,64,70,21,41,39,27,35,20,46,13,27,40,49,37,49,20
22/12/2017,50,58,64,58,69,36,N/A,61,66,50,53,74,34,63,39,26,40,19,42,7,22,30,52,55,56,22
23/12/2017,54,61,68,62,75,38,N/A,70,77,64,58,96,52,78,40,34,41,15,34,N/A,14,N/A,60,55,57,21
24/12/2017,44,51,62,59,67,36,N/A,65,62,44,44,78,37,63,34,24,34,10,25,11,17,18,40,31,44,10
25/12/2017,20,25,30,30,39,21,N/A,37,35,29,47,46,14,30,29,20,24,12,35,12,23,30,45,37,35,13
26/12/2017,51,N/A,62,60,70,35,N/A,72,57,51,55,73,40,49,43,32,38,13,50,6,17,42,44,52,56,18
27/12/2017,38,N/A,46,45,52,25,N/A,56,48,32,23,45,32,N/A,35,26,21,9,29,10,16,29,21,27,15,19
28/12/2017,18,21,26,29,37,18,N/A,30,30,17,11,28,30,34,16,10,6,8,18,7,17,N/A,9,23,8,10
29/12/2017,14,15,20,24,31,15,N/A,24,23,19,12,24,24,29,19,15,11,9,17,11,15,11,10,25,15,9
30/12/2017,14,22,22,24,31,16,N/A,26,24,16,14,29,21,20,20,17,12,9,11,12,17,12,14,25,20,8
31/12/2017,15,18,24,23,28,14,N/A,26,24,12,16,34,15,N/A,21,14,12,10,11,15,18,12,15,15,19,9
