Date,61T,54T,24T,26T,27T,30T,36T,40T,46T,44T
24/2/2014,N/A,N/A,54,N/A,38,11,41,81,58,N/A
25/2/2014,N/A,N/A,52,N/A,25,11,N/A,65,74,N/A
26/2/2014,N/A,N/A,49,N/A,29,11,N/A,77,72,N/A
27/2/2014,N/A,N/A,48,N/A,26,11,N/A,83,60,N/A
28/2/2014,N/A,N/A,44,N/A,23,9,N/A,76,69,N/A
1/3/2014,N/A,N/A,47,N/A,23,9,N/A,77,66,N/A
2/3/2014,N/A,N/A,46,N/A,23,12,N/A,77,64,N/A
3/3/2014,N/A,N/A,57,N/A,26,9,N/A,70,62,N/A
4/3/2014,N/A,N/A,N/A,N/A,28,11,N/A,66,72,N/A
5/3/2014,N/A,N/A,45,N/A,30,12,N/A,109,82,N/A
6/3/2014,N/A,N/A,43,N/A,30,12,N/A,123,82,N/A
7/3/2014,N/A,N/A,48,N/A,24,11,N/A,114,72,N/A
8/3/2014,N/A,N/A,45,N/A,24,9,61,86,68,N/A
9/3/2014,N/A,N/A,56,N/A,22,8,62,84,79,N/A
10/3/2014,N/A,N/A,50,N/A,25,10,78,92,43,N/A
11/3/2014,N/A,44,41,N/A,19,7,79,77,51,N/A
12/3/2014,N/A,44,41,N/A,21,10,77,68,66,N/A
13/3/2014,N/A,58,56,N/A,27,11,73,65,63,N/A
14/3/2014,N/A,44,63,N/A,28,8,96,81,65,N/A
15/3/2014,N/A,39,57,N/A,22,11,104,66,34,N/A
16/3/2014,N/A,50,66,N/A,21,11,93,61,57,N/A
17/3/2014,N/A,40,80,N/A,22,12,107,62,60,N/A
18/3/2014,N/A,28,50,N/A,15,9,137,65,84,N/A
19/3/2014,N/A,28,N/A,N/A,21,7,109,N/A,64,N/A
20/3/2014,N/A,36,N/A,N/A,23,10,106,N/A,40,N/A
21/3/2014,N/A,54,46,N/A,30,12,188,106,31,N/A
22/3/2014,N/A,47,63,N/A,24,12,159,42,18,N/A
23/3/2014,N/A,63,44,N/A,N/A,13,47,30,28,N/A
24/3/2014,N/A,64,61,N/A,N/A,16,66,35,29,N/A
25/3/2014,N/A,48,59,N/A,22,10,62,37,38,N/A
26/3/2014,N/A,39,52,N/A,18,9,74,55,60,N/A
27/3/2014,N/A,44,45,N/A,18,9,111,70,59,N/A
28/3/2014,N/A,43,47,N/A,21,9,116,74,59,N/A
29/3/2014,N/A,43,43,N/A,16,9,97,68,52,N/A
30/3/2014,N/A,31,30,N/A,7,4,84,65,49,N/A
31/3/2014,N/A,28,36,N/A,5,5,89,43,39,N/A
1/4/2014,N/A,33,39,N/A,12,6,115,73,47,N/A
2/4/2014,N/A,44,39,N/A,15,6,119,74,24,N/A
3/4/2014,N/A,40,40,N/A,15,7,127,83,38,N/A
4/4/2014,N/A,36,50,N/A,11,8,92,53,31,N/A
5/4/2014,N/A,48,49,N/A,20,11,42,27,20,N/A
6/4/2014,N/A,50,34,N/A,9,8,52,35,28,N/A
7/4/2014,N/A,31,46,N/A,12,6,69,38,32,N/A
8/4/2014,N/A,56,56,N/A,31,8,57,51,43,N/A
9/4/2014,N/A,68,59,N/A,41,13,39,54,53,N/A
10/4/2014,N/A,76,71,N/A,47,16,51,60,69,N/A
11/4/2014,N/A,72,68,N/A,45,13,N/A,50,60,N/A
12/4/2014,N/A,70,51,N/A,38,14,55,35,47,N/A
13/4/2014,N/A,72,42,N/A,36,12,56,36,38,N/A
14/4/2014,N/A,60,46,N/A,26,17,43,37,25,N/A
15/4/2014,N/A,43,26,N/A,20,10,31,13,29,N/A
16/4/2014,N/A,37,34,N/A,21,9,38,16,21,N/A
17/4/2014,N/A,39,39,N/A,21,10,35,20,35,N/A
18/4/2014,N/A,38,40,N/A,16,7,42,25,40,N/A
19/4/2014,N/A,38,43,N/A,13,6,42,30,45,N/A
20/4/2014,N/A,34,36,N/A,9,8,47,35,47,N/A
21/4/2014,N/A,33,37,N/A,9,13,50,34,38,N/A
22/4/2014,N/A,33,43,N/A,9,14,39,30,40,N/A
23/4/2014,N/A,41,42,N/A,20,17,42,29,41,N/A
24/4/2014,N/A,34,35,N/A,20,15,48,31,28,N/A
25/4/2014,N/A,39,40,N/A,16,16,46,35,31,N/A
26/4/2014,N/A,33,45,N/A,9,13,34,28,25,N/A
27/4/2014,N/A,31,37,N/A,N/A,15,33,20,38,N/A
28/4/2014,N/A,38,37,N/A,N/A,13,37,22,18,N/A
29/4/2014,N/A,42,33,N/A,13,9,36,18,20,N/A
30/4/2014,N/A,38,35,N/A,11,10,39,13,18,N/A
1/5/2014,N/A,35,31,N/A,12,7,38,21,21,N/A
2/5/2014,N/A,49,34,N/A,28,10,34,24,19,N/A
3/5/2014,N/A,41,35,N/A,14,7,31,15,18,N/A
4/5/2014,N/A,42,34,N/A,11,60,33,16,23,N/A
5/5/2014,N/A,39,44,N/A,6,61,39,24,39,N/A
6/5/2014,N/A,50,36,N/A,16,65,31,15,18,N/A
7/5/2014,N/A,38,33,N/A,31,64,27,8,25,N/A
8/5/2014,N/A,N/A,32,N/A,31,61,30,8,22,N/A
9/5/2014,N/A,N/A,28,N/A,7,59,24,7,14,N/A
10/5/2014,N/A,N/A,22,N/A,12,37,32,N/A,14,N/A
11/5/2014,N/A,N/A,21,N/A,18,15,27,N/A,13,N/A
12/5/2014,N/A,N/A,22,N/A,12,13,28,N/A,14,N/A
13/5/2014,N/A,N/A,20,N/A,10,10,20,N/A,11,N/A
14/5/2014,N/A,N/A,24,N/A,10,12,25,N/A,9,N/A
15/5/2014,N/A,N/A,25,N/A,10,10,27,7,23,N/A
16/5/2014,N/A,N/A,27,N/A,9,15,27,10,23,N/A
17/5/2014,N/A,24,29,N/A,9,13,25,13,19,N/A
18/5/2014,N/A,21,28,N/A,9,12,25,7,8,N/A
19/5/2014,N/A,19,29,N/A,10,N/A,15,N/A,10,N/A
20/5/2014,N/A,18,24,N/A,9,9,23,N/A,13,N/A
21/5/2014,N/A,19,21,N/A,14,6,22,N/A,15,N/A
22/5/2014,N/A,17,27,N/A,10,8,23,7,15,N/A
23/5/2014,N/A,15,27,N/A,12,8,21,8,15,N/A
24/5/2014,N/A,30,30,N/A,24,8,23,7,18,N/A
25/5/2014,N/A,31,41,N/A,11,13,31,10,23,N/A
26/5/2014,N/A,33,39,N/A,14,12,21,11,17,N/A
27/5/2014,N/A,27,34,N/A,7,11,33,7,10,N/A
28/5/2014,N/A,35,23,N/A,15,8,32,N/A,13,N/A
29/5/2014,N/A,35,29,N/A,13,8,20,N/A,13,N/A
30/5/2014,N/A,25,43,N/A,6,9,19,7,16,N/A
31/5/2014,N/A,28,28,N/A,13,6,22,10,15,N/A
1/6/2014,N/A,30,29,N/A,9,7,16,N/A,14,N/A
2/6/2014,N/A,34,28,N/A,7,11,19,4,10,N/A
3/6/2014,N/A,27,25,N/A,7,6,17,5,9,N/A
4/6/2014,N/A,28,20,N/A,8,6,27,8,11,N/A
5/6/2014,N/A,24,21,N/A,14,9,26,8,11,N/A
6/6/2014,N/A,24,22,N/A,N/A,7,10,6,9,N/A
7/6/2014,N/A,22,24,N/A,6,23,19,6,10,N/A
8/6/2014,N/A,21,26,N/A,10,19,23,6,8,N/A
9/6/2014,N/A,24,20,N/A,11,19,19,5,7,N/A
10/6/2014,N/A,24,17,N/A,13,14,17,5,7,N/A
11/6/2014,N/A,24,20,N/A,8,16,21,6,11,N/A
12/6/2014,N/A,21,22,N/A,8,16,26,9,11,N/A
13/6/2014,N/A,22,23,N/A,5,15,17,8,14,N/A
14/6/2014,N/A,23,17,N/A,6,17,18,7,9,N/A
15/6/2014,N/A,19,22,N/A,7,18,22,9,10,N/A
16/6/2014,N/A,N/A,20,N/A,6,17,23,4,10,N/A
17/6/2014,N/A,N/A,20,N/A,6,19,20,6,9,N/A
18/6/2014,N/A,N/A,21,N/A,13,N/A,20,5,11,N/A
19/6/2014,N/A,31,29,N/A,13,N/A,17,8,15,N/A
20/6/2014,N/A,33,31,N/A,21,29,21,15,22,N/A
21/6/2014,N/A,37,39,N/A,22,34,24,16,18,N/A
22/6/2014,N/A,34,27,N/A,23,27,17,13,20,N/A
23/6/2014,N/A,33,24,N/A,17,N/A,23,13,19,N/A
24/6/2014,N/A,25,25,N/A,13,7,24,8,16,N/A
25/6/2014,N/A,24,22,N/A,7,14,18,6,14,N/A
26/6/2014,N/A,34,25,N/A,14,16,18,7,13,N/A
27/6/2014,N/A,40,31,N/A,24,16,19,14,12,N/A
28/6/2014,N/A,31,31,N/A,18,14,31,15,14,N/A
29/6/2014,N/A,29,26,N/A,18,13,25,16,16,N/A
30/6/2014,N/A,31,33,N/A,17,14,19,8,9,N/A
1/7/2014,N/A,31,26,N/A,14,10,22,8,11,N/A
2/7/2014,N/A,29,24,N/A,18,8,26,6,15,N/A
3/7/2014,N/A,25,21,N/A,11,6,19,4,12,19
4/7/2014,N/A,28,21,N/A,10,9,25,9,9,17
5/7/2014,N/A,26,19,N/A,13,6,16,10,13,17
6/7/2014,N/A,27,17,N/A,9,5,26,10,16,18
7/7/2014,N/A,24,17,N/A,9,5,20,10,11,9
8/7/2014,N/A,20,23,N/A,N/A,6,27,9,10,11
9/7/2014,N/A,24,17,N/A,5,6,21,5,7,13
10/7/2014,N/A,22,17,N/A,4,7,18,N/A,7,15
11/7/2014,N/A,24,20,N/A,9,9,18,N/A,10,12
12/7/2014,N/A,19,25,N/A,6,9,17,N/A,14,16
13/7/2014,N/A,26,24,N/A,11,8,17,4,9,25
14/7/2014,N/A,39,26,N/A,11,14,18,N/A,6,32
15/7/2014,N/A,26,18,N/A,7,11,24,N/A,8,25
16/7/2014,N/A,28,18,N/A,14,6,10,N/A,9,15
17/7/2014,N/A,25,23,N/A,12,7,19,4,7,19
18/7/2014,N/A,23,21,N/A,13,7,15,N/A,9,22
19/7/2014,N/A,25,18,N/A,8,8,30,N/A,8,36
