Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,21T,24T,25T,26T,27T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,44T,46T,62T,63T,57T,58T,67T,68T,69T,70T(เก่า),71T,72T(เก่า),73T,75T,76T,77T,79T,80T
12/6/2018,7,n/a,n/a,7,13,n/a,11,9,10,n/a,16,n/a,n/a,n/a,9,n/a,n/a,11,n/a,7,6,n/a,9,n/a,12,n/a,n/a,9,9,n/a,n/a,n/a,7,n/a,n/a,29,15,33,38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,11,9,28
13/6/2018,10,n/a,n/a,7,15,n/a,13,11,10,n/a,15,n/a,n/a,n/a,10,n/a,n/a,15,n/a,8,8,n/a,10,n/a,13,n/a,n/a,11,12,n/a,n/a,n/a,8,n/a,n/a,29,16,32,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,12,12,10,22
14/6/2018,11,n/a,n/a,10,14,n/a,14,12,11,n/a,17,n/a,n/a,n/a,11,n/a,n/a,20,n/a,9,10,n/a,5,n/a,13,n/a,n/a,15,16,n/a,n/a,n/a,11,n/a,n/a,26,15,27,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,12,12,9,23
15/6/2018,9,n/a,n/a,14,16,n/a,18,15,13,n/a,19,n/a,n/a,n/a,13,n/a,n/a,15,n/a,8,11,n/a,7,n/a,14,n/a,n/a,14,15,n/a,n/a,n/a,13,n/a,n/a,27,15,32,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,12,9,28
16/6/2018,14,n/a,n/a,14,17,n/a,17,16,15,n/a,20,n/a,n/a,n/a,19,n/a,n/a,16,n/a,9,14,n/a,6,n/a,n/a,n/a,n/a,19,22,n/a,n/a,n/a,13,n/a,n/a,26,15,26,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,13,11,11,16
17/6/2018,15,n/a,n/a,12,17,n/a,20,16,14,n/a,20,n/a,n/a,n/a,12,n/a,n/a,15,n/a,8,n/a,n/a,8,n/a,n/a,n/a,n/a,29,29,n/a,n/a,n/a,20,n/a,n/a,9,19,12,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,12,12,11,5
18/6/2018,15,n/a,n/a,18,19,n/a,22,23,19,n/a,26,n/a,n/a,n/a,21,n/a,n/a,17,n/a,16,n/a,n/a,13,n/a,16,n/a,n/a,34,34,n/a,n/a,n/a,21,n/a,n/a,12,25,14,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19,17,17,20,5
19/6/2018,21,n/a,n/a,21,23,n/a,24,23,22,n/a,27,n/a,n/a,n/a,26,n/a,n/a,15,n/a,15,19,n/a,10,n/a,18,n/a,n/a,28,34,n/a,n/a,n/a,18,n/a,n/a,8,24,18,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,14,14,5
20/6/2018,12,n/a,n/a,10,16,n/a,15,13,14,n/a,19,n/a,n/a,n/a,12,n/a,n/a,23,n/a,12,12,n/a,10,n/a,13,n/a,n/a,20,21,n/a,n/a,n/a,12,n/a,n/a,9,21,10,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,14,16,11,6
21/6/2018,13,n/a,n/a,13,17,n/a,15,16,14,n/a,20,n/a,n/a,n/a,15,n/a,n/a,16,n/a,12,10,n/a,10,n/a,15,n/a,n/a,14,16,n/a,n/a,n/a,9,n/a,n/a,14,18,11,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,10,14,14,11
22/6/2018,18,n/a,n/a,22,22,n/a,22,21,21,n/a,26,n/a,n/a,n/a,16,n/a,n/a,25,n/a,17,18,n/a,11,n/a,17,n/a,n/a,15,15,n/a,n/a,n/a,11,n/a,n/a,16,21,14,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,14,21,16,13
23/6/2018,22,n/a,n/a,19,23,n/a,22,24,22,n/a,28,n/a,n/a,n/a,18,n/a,n/a,24,n/a,15,21,n/a,14,n/a,19,n/a,n/a,14,14,n/a,n/a,n/a,10,n/a,n/a,10,21,17,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,12,24,17,13
24/6/2018,17,n/a,n/a,14,20,n/a,19,17,18,n/a,25,n/a,n/a,n/a,21,n/a,n/a,21,n/a,11,16,n/a,10,n/a,18,n/a,n/a,12,14,n/a,n/a,n/a,11,n/a,n/a,17,15,14,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a,21,8,11
25/6/2018,13,n/a,n/a,7,14,n/a,15,13,14,n/a,20,n/a,n/a,n/a,14,n/a,n/a,23,n/a,9,15,n/a,7,n/a,13,n/a,n/a,15,16,n/a,n/a,n/a,10,n/a,n/a,10,17,12,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a,16,9,8
26/6/2018,11,n/a,n/a,15,15,n/a,18,18,14,n/a,23,n/a,n/a,n/a,15,n/a,n/a,26,n/a,14,n/a,n/a,9,n/a,16,n/a,n/a,13,12,n/a,n/a,n/a,9,n/a,n/a,16,16,13,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,14,11,11
27/6/2018,14,n/a,n/a,14,17,n/a,19,18,17,n/a,25,n/a,n/a,n/a,19,n/a,n/a,19,n/a,15,22,n/a,6,n/a,16,n/a,n/a,10,11,n/a,n/a,n/a,7,n/a,n/a,11,17,12,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,16,8,10
28/6/2018,13,n/a,n/a,13,18,n/a,19,19,20,n/a,23,n/a,n/a,n/a,19,n/a,n/a,24,n/a,11,25,n/a,11,n/a,15,n/a,n/a,11,9,n/a,n/a,n/a,6,n/a,n/a,18,13,16,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,11,6,14
29/6/2018,18,n/a,n/a,15,20,n/a,21,21,23,n/a,23,n/a,n/a,n/a,16,n/a,n/a,20,n/a,8,18,n/a,8,n/a,12,n/a,n/a,11,12,n/a,n/a,n/a,n/a,n/a,n/a,18,14,16,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,15,6,11
30/6/2018,10,n/a,n/a,12,16,n/a,14,18,17,n/a,19,n/a,n/a,n/a,10,n/a,n/a,15,n/a,7,13,n/a,4,n/a,11,n/a,n/a,13,16,n/a,n/a,n/a,n/a,n/a,n/a,16,16,10,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a,14,7,16
1/7/2018,7,n/a,n/a,9,13,n/a,16,13,15,n/a,19,n/a,n/a,n/a,11,n/a,n/a,14,n/a,6,12,n/a,8,n/a,10,n/a,n/a,12,15,n/a,n/a,n/a,5,n/a,n/a,17,14,18,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a,10,9,11
2/7/2018,9,n/a,n/a,8,11,n/a,14,12,13,n/a,18,n/a,n/a,n/a,12,n/a,n/a,15,n/a,7,10,n/a,5,n/a,10,n/a,n/a,15,11,n/a,n/a,n/a,8,n/a,n/a,19,15,13,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a,13,7,10
3/7/2018,13,n/a,n/a,11,14,n/a,15,14,14,n/a,20,n/a,n/a,n/a,14,n/a,n/a,10,n/a,11,15,n/a,7,n/a,11,n/a,n/a,16,13,n/a,n/a,n/a,11,n/a,n/a,20,13,12,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a,10,7,10
4/7/2018,13,n/a,n/a,10,12,n/a,14,11,13,n/a,21,n/a,n/a,n/a,15,n/a,n/a,15,n/a,6,14,n/a,6,n/a,9,n/a,n/a,15,12,n/a,n/a,n/a,9,n/a,n/a,24,12,14,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a,10,6,16
5/7/2018,10,n/a,n/a,9,15,n/a,16,14,12,n/a,19,n/a,n/a,n/a,9,n/a,n/a,15,n/a,8,15,n/a,6,n/a,10,n/a,n/a,13,34,n/a,n/a,n/a,7,n/a,n/a,18,17,15,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a,11,7,11
6/7/2018,13,n/a,n/a,13,15,n/a,16,13,14,n/a,20,n/a,n/a,n/a,12,n/a,n/a,13,n/a,5,14,n/a,7,n/a,11,n/a,n/a,14,n/a,n/a,n/a,n/a,6,n/a,n/a,16,17,20,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,4,10,7,n/a
7/7/2018,15,n/a,n/a,16,16,n/a,20,17,17,n/a,22,n/a,n/a,n/a,14,n/a,n/a,15,n/a,9,19,n/a,8,n/a,14,n/a,n/a,13,10,n/a,n/a,n/a,6,n/a,n/a,22,16,21,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,8,12,10,18
8/7/2018,19,n/a,n/a,20,22,n/a,23,23,22,n/a,25,n/a,n/a,n/a,23,n/a,n/a,24,n/a,15,20,n/a,10,n/a,16,n/a,n/a,15,16,n/a,n/a,n/a,10,n/a,n/a,n/a,21,16,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,9,21,16,16
9/7/2018,18,n/a,n/a,16,18,n/a,20,21,19,n/a,28,n/a,n/a,n/a,20,n/a,n/a,21,n/a,14,21,n/a,8,n/a,15,n/a,n/a,15,15,n/a,n/a,n/a,9,n/a,n/a,9,21,16,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,9,19,12,7
10/7/2018,25,n/a,n/a,n/a,22,n/a,24,23,22,n/a,31,n/a,n/a,n/a,21,n/a,n/a,20,n/a,16,21,n/a,12,n/a,n/a,n/a,n/a,12,17,n/a,n/a,n/a,9,n/a,n/a,12,16,12,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,9,17,11,5
11/7/2018,13,n/a,n/a,n/a,13,n/a,16,14,12,n/a,21,n/a,n/a,n/a,21,n/a,n/a,n/a,n/a,10,17,n/a,5,n/a,9,n/a,n/a,10,12,n/a,n/a,n/a,9,n/a,n/a,10,21,13,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,8,10,7,7
12/7/2018,15,n/a,n/a,12,15,n/a,17,15,15,n/a,20,n/a,n/a,n/a,15,n/a,n/a,13,n/a,10,17,n/a,5,n/a,11,n/a,n/a,12,11,n/a,n/a,n/a,9,n/a,n/a,15,17,17,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,12,10,8,14
13/7/2018,13,n/a,n/a,12,15,n/a,16,15,15,n/a,20,n/a,n/a,n/a,10,n/a,n/a,11,n/a,9,16,n/a,5,n/a,10,n/a,n/a,10,14,n/a,n/a,n/a,6,n/a,n/a,30,19,26,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,10,13,9,23
14/7/2018,17,n/a,n/a,16,21,n/a,24,23,20,n/a,26,n/a,n/a,n/a,14,n/a,n/a,16,n/a,16,18,n/a,9,n/a,14,n/a,n/a,11,19,n/a,n/a,n/a,6,n/a,n/a,25,18,30,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,8,14,13,17
15/7/2018,17,n/a,n/a,15,n/a,n/a,19,19,18,n/a,21,n/a,n/a,n/a,13,n/a,n/a,14,n/a,14,11,n/a,11,n/a,14,n/a,n/a,12,n/a,n/a,n/a,n/a,7,n/a,n/a,24,18,32,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,10,15,10,20
16/7/2018,20,n/a,n/a,16,n/a,n/a,21,21,18,n/a,26,n/a,n/a,n/a,20,n/a,n/a,16,n/a,15,17,n/a,13,n/a,13,n/a,n/a,n/a,8,n/a,n/a,n/a,9,n/a,n/a,23,19,32,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,9,n/a,10,21
17/7/2018,23,n/a,n/a,n/a,n/a,n/a,23,23,18,n/a,28,n/a,n/a,n/a,16,n/a,n/a,10,n/a,13,15,n/a,5,n/a,11,n/a,n/a,n/a,11,n/a,n/a,n/a,9,n/a,n/a,23,13,26,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,13,n/a,11,17
18/7/2018,13,n/a,n/a,n/a,15,n/a,16,16,12,n/a,18,n/a,n/a,n/a,9,n/a,n/a,11,n/a,11,10,n/a,6,n/a,9,n/a,n/a,n/a,11,n/a,n/a,n/a,5,n/a,n/a,17,13,21,21,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,13,9,n/a,12
19/7/2018,12,n/a,n/a,10,18,n/a,15,13,13,n/a,21,n/a,n/a,n/a,12,n/a,n/a,17,n/a,16,6,n/a,8,n/a,13,n/a,n/a,11,10,n/a,n/a,n/a,5,n/a,n/a,30,18,32,33,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,9,13,11,30
20/7/2018,11,n/a,n/a,12,19,n/a,17,16,15,n/a,26,n/a,n/a,12,13,n/a,n/a,17,n/a,17,8,n/a,11,n/a,14,n/a,n/a,13,13,n/a,n/a,n/a,6,n/a,n/a,23,19,33,28,5,n/a,7,4,n/a,n/a,n/a,n/a,n/a,n/a,10,17,13,19
21/7/2018,16,n/a,n/a,18,18,n/a,20,19,17,n/a,25,n/a,n/a,14,14,n/a,n/a,20,n/a,18,14,n/a,9,n/a,16,n/a,n/a,19,24,n/a,n/a,n/a,8,n/a,n/a,11,24,17,18,6,8,7,10,n/a,n/a,n/a,n/a,n/a,n/a,11,17,11,9
22/7/2018,15,n/a,n/a,n/a,18,n/a,19,19,15,n/a,23,n/a,n/a,14,31,n/a,n/a,19,n/a,16,11,n/a,11,n/a,15,n/a,n/a,18,19,n/a,n/a,n/a,10,n/a,n/a,10,21,21,17,8,5,7,7,n/a,n/a,n/a,n/a,n/a,6,11,n/a,14,8
23/7/2018,19,n/a,n/a,15,20,n/a,23,21,19,n/a,27,n/a,n/a,n/a,19,n/a,n/a,19,n/a,17,18,n/a,10,n/a,17,n/a,n/a,15,16,n/a,n/a,n/a,7,n/a,n/a,13,19,23,24,7,5,7,7,n/a,n/a,n/a,n/a,n/a,5,10,14,14,11
24/7/2018,25,n/a,n/a,21,22,n/a,28,24,19,n/a,29,n/a,n/a,23,22,n/a,n/a,16,n/a,20,26,n/a,13,n/a,18,n/a,n/a,16,16,n/a,n/a,n/a,10,n/a,n/a,17,20,17,31,8,5,8,9,n/a,n/a,n/a,n/a,n/a,5,12,19,12,12
25/7/2018,19,n/a,n/a,20,22,n/a,22,20,19,24,27,n/a,n/a,15,16,n/a,n/a,21,n/a,34,22,24,9,15,17,n/a,n/a,18,20,n/a,n/a,n/a,11,n/a,n/a,26,22,15,23,6,5,9,11,n/a,n/a,n/a,n/a,n/a,4,15,17,16,17
26/7/2018,17,n/a,n/a,14,21,n/a,21,20,19,23,25,n/a,n/a,12,15,n/a,n/a,18,n/a,15,23,28,12,24,19,n/a,n/a,16,23,n/a,n/a,n/a,9,n/a,n/a,20,25,17,30,10,4,10,11,n/a,n/a,n/a,n/a,n/a,5,14,n/a,14,15
27/7/2018,19,n/a,n/a,18,22,n/a,22,21,18,26,28,n/a,n/a,17,16,n/a,n/a,20,n/a,18,23,30,10,24,19,n/a,n/a,19,20,n/a,n/a,n/a,9,n/a,n/a,16,24,13,20,7,4,9,12,n/a,n/a,n/a,n/a,n/a,4,11,n/a,17,12
28/7/2018,14,n/a,n/a,16,15,n/a,18,15,14,22,23,n/a,n/a,13,16,n/a,n/a,18,n/a,14,19,30,12,25,21,n/a,n/a,15,15,n/a,n/a,n/a,11,n/a,n/a,15,21,11,18,10,5,11,10,n/a,n/a,n/a,n/a,n/a,5,9,15,17,6
29/7/2018,14,n/a,n/a,17,18,n/a,20,17,18,22,24,n/a,n/a,14,15,n/a,n/a,15,n/a,16,22,25,9,17,16,n/a,n/a,17,21,n/a,n/a,n/a,10,n/a,n/a,9,22,9,15,9,8,8,13,n/a,n/a,n/a,n/a,n/a,7,11,13,11,5
30/7/2018,15,n/a,n/a,15,18,n/a,20,19,19,21,24,n/a,n/a,14,17,n/a,n/a,15,n/a,17,26,21,6,17,14,n/a,n/a,20,20,n/a,n/a,n/a,10,n/a,n/a,11,20,9,11,9,7,7,15,n/a,n/a,n/a,n/a,n/a,6,10,12,9,4
31/7/2018,17,n/a,n/a,12,20,n/a,21,20,19,23,26,n/a,n/a,12,14,n/a,n/a,20,n/a,13,21,18,8,19,16,n/a,n/a,17,16,n/a,n/a,n/a,9,n/a,n/a,9,20,6,9,25,7,n/a,10,n/a,n/a,n/a,n/a,n/a,6,14,14,10,6
1/8/2018,18,n/a,n/a,18,15,n/a,21,18,14,17,23,n/a,n/a,14,13,n/a,n/a,17,n/a,10,23,24,8,18,15,n/a,n/a,18,16,n/a,n/a,n/a,12,n/a,n/a,19,24,12,20,32,11,12,14,n/a,n/a,n/a,n/a,n/a,8,15,13,10,16
2/8/2018,17,n/a,n/a,13,19,n/a,23,22,17,21,22,n/a,n/a,14,15,n/a,n/a,20,n/a,14,23,28,5,11,14,n/a,n/a,22,n/a,n/a,n/a,n/a,12,n/a,n/a,15,21,16,20,41,10,13,17,n/a,n/a,n/a,n/a,n/a,12,11,15,9,10
3/8/2018,16,n/a,n/a,16,17,n/a,21,16,16,18,24,n/a,n/a,13,13,n/a,n/a,16,n/a,12,25,30,6,10,14,n/a,n/a,21,20,n/a,n/a,n/a,12,n/a,n/a,18,18,14,18,38,9,11,15,n/a,n/a,n/a,n/a,n/a,10,8,15,9,9
4/8/2018,12,n/a,n/a,11,17,n/a,18,15,14,22,20,n/a,n/a,10,13,n/a,n/a,23,n/a,17,16,30,8,10,15,n/a,n/a,24,20,n/a,n/a,n/a,12,n/a,n/a,21,22,11,23,42,10,14,13,n/a,n/a,n/a,n/a,n/a,10,10,n/a,13,12
5/8/2018,10,n/a,n/a,11,15,n/a,17,14,13,20,19,n/a,n/a,10,12,n/a,n/a,21,n/a,17,15,25,10,10,15,n/a,n/a,18,21,n/a,n/a,n/a,13,n/a,n/a,23,27,15,32,42,8,13,11,n/a,n/a,n/a,n/a,n/a,9,14,14,12,15
6/8/2018,13,n/a,n/a,13,16,n/a,18,16,15,20,24,n/a,n/a,11,12,n/a,n/a,19,n/a,20,16,21,11,12,15,n/a,n/a,20,n/a,n/a,n/a,n/a,16,n/a,n/a,14,27,14,25,46,9,15,13,n/a,n/a,n/a,n/a,n/a,9,15,10,12,9
7/8/2018,15,n/a,n/a,14,20,n/a,22,18,20,27,29,n/a,n/a,14,15,n/a,n/a,15,n/a,17,19,18,n/a,10,20,n/a,n/a,19,13,n/a,n/a,n/a,14,n/a,n/a,24,23,25,31,25,10,16,15,n/a,n/a,n/a,n/a,n/a,9,15,11,15,20
8/8/2018,25,n/a,n/a,18,21,n/a,30,28,21,33,30,n/a,n/a,21,22,n/a,n/a,n/a,n/a,18,29,22,n/a,13,21,n/a,n/a,19,18,n/a,n/a,n/a,11,n/a,n/a,23,19,18,25,41,10,13,15,n/a,n/a,n/a,n/a,n/a,9,15,13,14,15
9/8/2018,18,n/a,n/a,15,18,n/a,20,17,16,23,23,n/a,n/a,17,18,n/a,n/a,16,n/a,14,26,18,4,22,15,n/a,n/a,18,18,n/a,n/a,n/a,10,n/a,n/a,n/a,19,18,25,26,8,10,15,n/a,n/a,n/a,n/a,n/a,7,12,15,11,12
10/8/2018,18,n/a,n/a,13,18,n/a,19,17,15,25,25,n/a,n/a,16,13,n/a,n/a,17,n/a,16,24,18,6,17,14,n/a,n/a,15,15,n/a,n/a,n/a,6,n/a,n/a,11,21,14,13,57,5,5,15,n/a,n/a,n/a,n/a,n/a,5,10,16,7,6
11/8/2018,11,n/a,n/a,11,13,n/a,15,13,10,20,17,n/a,n/a,8,11,n/a,n/a,19,n/a,13,12,21,10,n/a,14,n/a,n/a,15,14,n/a,n/a,n/a,8,n/a,n/a,11,19,10,15,58,6,8,9,n/a,n/a,n/a,n/a,n/a,6,9,12,8,7
12/8/2018,11,n/a,n/a,9,13,n/a,14,11,10,16,18,n/a,n/a,9,12,n/a,n/a,15,n/a,14,14,20,10,17,14,n/a,n/a,15,15,n/a,n/a,n/a,9,n/a,n/a,14,18,15,17,74,5,10,8,n/a,n/a,n/a,n/a,n/a,7,10,12,10,9
13/8/2018,12,n/a,n/a,14,15,n/a,15,14,14,20,20,n/a,n/a,12,12,n/a,n/a,15,n/a,18,15,21,10,19,17,n/a,n/a,13,10,n/a,n/a,n/a,9,n/a,n/a,21,22,20,22,72,4,7,7,n/a,n/a,n/a,n/a,n/a,6,12,n/a,15,18
14/8/2018,11,n/a,n/a,11,15,n/a,16,13,14,18,19,n/a,n/a,10,15,n/a,n/a,16,n/a,14,14,n/a,10,16,15,n/a,n/a,15,11,n/a,n/a,n/a,10,n/a,n/a,28,24,30,29,41,4,9,10,n/a,n/a,n/a,n/a,n/a,7,13,n/a,11,20
15/8/2018,12,n/a,n/a,11,15,n/a,16,13,13,22,18,n/a,n/a,10,18,n/a,n/a,15,n/a,13,14,n/a,10,11,14,n/a,n/a,16,20,n/a,n/a,n/a,9,n/a,n/a,24,22,32,34,36,4,10,15,n/a,n/a,n/a,n/a,n/a,7,10,12,9,18
16/8/2018,14,n/a,n/a,13,14,n/a,18,14,14,19,19,n/a,n/a,11,12,n/a,n/a,20,n/a,11,17,n/a,9,17,13,n/a,n/a,14,n/a,n/a,n/a,n/a,9,n/a,n/a,23,17,31,29,48,n/a,8,10,n/a,n/a,n/a,n/a,n/a,7,6,13,7,19
17/8/2018,13,n/a,n/a,9,12,n/a,17,14,11,19,17,n/a,n/a,8,9,n/a,n/a,12,n/a,9,15,19,9,14,11,n/a,n/a,17,22,n/a,n/a,n/a,7,n/a,n/a,30,18,32,31,37,3,6,9,n/a,n/a,n/a,n/a,n/a,5,9,11,8,26
18/8/2018,8,n/a,n/a,8,10,n/a,11,9,7,14,16,n/a,n/a,7,8,n/a,n/a,14,n/a,10,n/a,16,9,15,12,n/a,n/a,11,10,n/a,n/a,n/a,7,n/a,n/a,12,19,16,18,n/a,3,5,5,n/a,n/a,n/a,n/a,n/a,n/a,8,9,9,7
19/8/2018,5,n/a,n/a,6,10,n/a,11,8,9,18,18,n/a,n/a,6,11,n/a,n/a,14,n/a,12,10,17,7,13,12,n/a,n/a,14,8,n/a,n/a,n/a,8,n/a,n/a,24,17,29,26,n/a,7,7,9,n/a,n/a,n/a,n/a,n/a,6,12,11,12,23
20/8/2018,8,n/a,n/a,13,13,n/a,15,11,12,19,21,n/a,n/a,10,11,n/a,n/a,16,n/a,17,14,15,10,19,14,n/a,n/a,18,14,n/a,n/a,n/a,13,n/a,n/a,30,19,34,36,n/a,8,11,12,n/a,n/a,n/a,n/a,n/a,8,13,12,16,26
21/8/2018,19,n/a,n/a,18,23,n/a,26,22,23,32,26,n/a,n/a,16,17,n/a,n/a,14,n/a,21,25,15,11,28,18,n/a,n/a,18,14,n/a,n/a,n/a,15,n/a,n/a,16,21,24,22,28,6,9,14,n/a,n/a,n/a,n/a,n/a,9,13,20,17,13
22/8/2018,19,n/a,n/a,18,21,n/a,23,20,19,32,25,n/a,n/a,16,18,n/a,n/a,17,n/a,16,23,13,9,22,20,n/a,n/a,16,14,n/a,n/a,n/a,14,n/a,n/a,9,18,18,17,37,8,7,12,n/a,n/a,n/a,n/a,n/a,6,12,14,16,7
23/8/2018,18,n/a,n/a,19,22,n/a,25,23,20,34,24,n/a,n/a,17,19,n/a,n/a,18,n/a,20,24,14,10,26,20,n/a,n/a,17,14,n/a,n/a,n/a,12,n/a,n/a,12,23,25,19,n/a,9,6,12,n/a,n/a,n/a,n/a,n/a,6,10,n/a,18,10
24/8/2018,17,n/a,n/a,13,19,n/a,21,17,17,29,27,n/a,n/a,15,12,n/a,n/a,12,n/a,15,20,15,8,20,12,n/a,n/a,15,11,n/a,n/a,n/a,6,n/a,n/a,16,16,19,30,10,4,7,7,n/a,n/a,n/a,n/a,n/a,8,8,12,10,12
25/8/2018,12,n/a,n/a,11,15,n/a,16,15,13,29,18,n/a,n/a,7,16,n/a,n/a,15,n/a,11,n/a,13,8,15,10,n/a,n/a,15,10,n/a,n/a,n/a,6,n/a,n/a,21,19,15,26,25,4,4,9,n/a,n/a,n/a,n/a,n/a,5,9,10,8,13
26/8/2018,11,n/a,n/a,10,14,n/a,15,13,14,26,19,n/a,n/a,9,17,n/a,n/a,10,n/a,13,14,19,7,19,10,n/a,n/a,15,10,n/a,n/a,n/a,6,n/a,n/a,22,15,16,26,39,4,5,9,n/a,n/a,n/a,n/a,n/a,4,9,11,7,16
27/8/2018,13,n/a,n/a,8,15,n/a,16,16,14,27,21,n/a,n/a,11,13,n/a,n/a,8,n/a,15,17,15,9,13,15,n/a,n/a,12,8,n/a,n/a,n/a,6,n/a,n/a,19,12,15,29,n/a,3,6,9,n/a,n/a,n/a,n/a,n/a,n/a,6,12,7,15
28/8/2018,15,n/a,n/a,15,16,n/a,20,19,17,27,22,n/a,n/a,12,14,n/a,n/a,9,n/a,11,18,20,10,n/a,14,n/a,n/a,13,8,n/a,n/a,n/a,8,n/a,n/a,14,16,13,15,32,3,5,8,n/a,n/a,n/a,n/a,n/a,6,5,16,9,9
29/8/2018,20,n/a,n/a,19,19,n/a,25,23,21,31,22,n/a,n/a,14,15,n/a,n/a,11,n/a,12,22,23,11,n/a,16,n/a,n/a,16,11,n/a,n/a,n/a,8,n/a,n/a,10,15,10,18,17,4,6,10,n/a,n/a,n/a,n/a,n/a,5,7,16,10,5
30/8/2018,13,n/a,n/a,10,11,n/a,14,13,11,23,17,n/a,n/a,9,11,n/a,n/a,12,n/a,9,15,21,7,22,11,n/a,n/a,21,21,n/a,n/a,n/a,12,n/a,n/a,10,19,8,14,40,6,9,13,n/a,n/a,n/a,n/a,n/a,7,10,15,5,4
31/8/2018,14,n/a,n/a,11,12,n/a,16,13,12,15,19,n/a,n/a,9,10,n/a,n/a,13,n/a,11,18,13,7,19,11,n/a,n/a,18,19,n/a,n/a,n/a,7,n/a,n/a,11,23,8,9,n/a,4,8,10,n/a,n/a,n/a,n/a,n/a,7,9,14,6,4
1/9/2018,14,n/a,n/a,12,16,n/a,20,17,15,33,19,n/a,n/a,10,13,n/a,n/a,12,n/a,13,17,19,10,20,13,n/a,n/a,15,10,n/a,n/a,n/a,9,n/a,n/a,16,18,12,18,42,5,11,9,n/a,n/a,n/a,n/a,n/a,5,10,15,7,12
2/9/2018,14,n/a,n/a,12,15,n/a,19,15,16,36,21,n/a,n/a,12,15,n/a,n/a,17,n/a,13,n/a,18,6,n/a,11,n/a,n/a,15,12,n/a,n/a,n/a,9,n/a,n/a,15,21,11,15,42,5,10,11,n/a,n/a,n/a,n/a,n/a,7,11,19,8,12
3/9/2018,10,n/a,n/a,10,13,n/a,16,15,14,31,18,n/a,n/a,8,12,n/a,n/a,17,n/a,14,n/a,13,7,18,10,n/a,n/a,15,18,n/a,n/a,n/a,8,n/a,n/a,13,19,12,14,46,6,6,15,n/a,n/a,n/a,n/a,n/a,4,12,16,9,7
4/9/2018,11,n/a,n/a,7,12,n/a,15,12,11,33,18,n/a,n/a,9,16,n/a,n/a,7,n/a,11,n/a,10,7,18,11,n/a,n/a,14,13,n/a,n/a,n/a,8,n/a,n/a,12,16,9,12,33,4,8,12,n/a,n/a,n/a,n/a,n/a,n/a,10,11,9,7
