Date,59T ,61T,54T ,24T ,26T ,27T,30T ,32T,36T ,40T,46T,44T 
28/3/2015,N/A,41,59,86,48,52,39,N/A,23,18,27,14
29/3/2015,N/A,23,43,59,30,19,28,N/A,26,29,41,14
30/3/2015,N/A,14,30,71,25,11,14,N/A,42,28,48,13
31/3/2015,N/A,13,29,60,26,12,16,N/A,41,28,40,15
1/4/2015,N/A,19,32,69,33,17,17,N/A,52,42,27,17
2/4/2015,N/A,21,37,67,28,20,32,N/A,91,61,33,18
3/4/2015,N/A,27,42,92,30,26,27,N/A,84,57,39,24
4/4/2015,N/A,25,44,93,37,28,22,N/A,84,87,51,31
5/4/2015,N/A,22,33,85,35,22,N/A,N/A,115,73,46,19
6/4/2015,N/A,18,29,80,41,14,20,N/A,90,67,44,18
7/4/2015,N/A,20,30,76,29,14,26,N/A,95,85,51,18
8/4/2015,N/A,17,28,83,23,17,21,N/A,69,71,43,N/A
9/4/2015,N/A,22,43,94,27,32,26,N/A,48,52,42,N/A
10/4/2015,17,13,23,83,27,12,20,16,41,N/A,47,13
11/4/2015,21,13,28,75,28,12,23,15,56,40,22,18
12/4/2015,24,19,34,63,25,24,36,18,33,28,18,25
13/4/2015,36,30,39,61,41,48,34,23,20,N/A,40,N/A
14/4/2015,48,39,53,73,54,52,48,38,30,N/A,56,N/A
15/4/2015,57,48,70,83,52,53,67,49,42,N/A,65,N/A
16/4/2015,41,37,51,104,54,36,38,34,55,59,66,N/A
17/4/2015,27,19,35,79,37,20,28,20,45,62,60,N/A
18/4/2015,17,11,24,62,28,10,21,12,58,65,40,N/A
19/4/2015,15,N/A,23,61,27,12,14,10,60,51,40,N/A
20/4/2015,23,N/A,28,61,29,17,23,17,52,N/A,44,N/A
21/4/2015,28,20,36,71,31,23,34,25,56,N/A,60,N/A
22/4/2015,25,19,39,73,22,24,23,29,54,51,33,N/A
23/4/2015,24,16,35,58,25,22,33,23,30,23,27,N/A
24/4/2015,34,26,45,71,27,30,36,25,26,18,21,N/A
25/4/2015,29,22,47,52,24,27,53,25,19,22,18,N/A
26/4/2015,35,27,51,64,27,38,43,29,11,16,19,N/A
27/4/2015,26,18,42,61,26,20,30,19,8,14,27,N/A
28/4/2015,18,15,30,61,30,16,23,15,10,N/A,23,N/A
29/4/2015,16,7,27,66,24,N/A,18,14,10,15,25,N/A
30/4/2015,20,14,33,60,21,N/A,15,16,11,20,27,N/A
1/5/2015,15,7,26,55,15,11,20,14,13,30,25,N/A
2/5/2015,13,15,22,48,14,15,13,12,20,35,21,N/A
3/5/2015,16,16,24,44,18,27,15,12,17,38,19,N/A
4/5/2015,18,15,31,49,20,10,15,15,16,N/A,21,N/A
5/5/2015,17,15,23,51,20,12,13,13,13,N/A,22,N/A
6/5/2015,17,13,29,49,20,15,13,12,16,N/A,21,N/A
7/5/2015,16,6,22,49,20,8,11,13,46,N/A,24,N/A
