Date,05T,59T,61T ,52T ,54T ,08T ,24T ,26T ,27T ,30T ,32T,35T,36T ,40T,46T,44T ,75T,76T,77T 
21/12/2016,66,40,N/A,76,N/A,59,N/A,43,84,37,49,33,23,18,47,6,11,25,29
22/12/2016,38,24,N/A,39,N/A,33,N/A,52,72,31,25,N/A,24,20,39,N/A,11,35,24
23/12/2016,29,16,N/A,26,N/A,21,N/A,43,58,15,20,N/A,25,22,36,9,14,39,22
24/12/2016,38,24,N/A,36,N/A,34,N/A,47,59,24,22,37,27,23,38,7,12,35,26
25/12/2016,50,34,N/A,56,N/A,50,58,41,73,35,25,38,25,24,43,9,11,38,34
26/12/2016,59,37,N/A,64,N/A,54,58,37,77,33,29,38,23,27,51,17,13,37,30
27/12/2016,32,20,29,34,N/A,27,38,39,47,25,24,38,26,23,28,11,12,28,26
28/12/2016,29,17,27,30,N/A,24,27,32,36,15,16,39,29,19,38,13,9,28,23
29/12/2016,49,31,45,50,N/A,42,33,42,56,22,27,35,25,18,57,10,11,29,45
30/12/2016,49,29,49,51,N/A,48,26,50,47,24,31,32,16,19,62,11,15,35,34
31/12/2016,46,27,41,50,N/A,45,22,41,41,28,30,32,17,23,53,9,19,36,28
