Date,54T,36T,30T,24T,44T
6/10/2012,33,10,16,42,18
7/10/2012,36,16,20,47,13
8/10/2012,26,30,15,25,13
9/10/2012,N/A,29,8,24,14
10/10/2012,N/A,23,14,44,12
11/10/2012,N/A,24,21,65,16
12/10/2012,N/A,33,27,68,19
13/10/2012,N/A,26,29,78,21
14/10/2012,N/A,21,27,70,23
15/10/2012,N/A,30,21,48,21
16/10/2012,N/A,34,25,N/A,12
17/10/2012,N/A,34,20,62,18
18/10/2012,N/A,23,20,46,12
19/10/2012,46,24,25,55,15
20/10/2012,48,23,30,61,13
21/10/2012,47,18,37,55,9
22/10/2012,38,16,30,40,11
23/10/2012,38,17,19,36,10
24/10/2012,32,24,14,29,9
25/10/2012,32,20,13,41,12
26/10/2012,40,22,22,50,13
27/10/2012,33,19,25,48,13
28/10/2012,50,19,20,52,15
29/10/2012,41,23,14,49,11
30/10/2012,N/A,24,12,42,11
31/10/2012,38,17,14,37,13
1/11/2012,32,19,16,39,8
2/11/2012,31,29,27,56,9
3/11/2012,31,29,31,51,13
4/11/2012,31,19,38,55,11
5/11/2012,31,N/A,33,58,14
6/11/2012,32,N/A,18,63,11
7/11/2012,32,N/A,24,43,14
8/11/2012,33,N/A,18,35,14
9/11/2012,34,22,17,47,12
10/11/2012,33,21,19,49,11
11/11/2012,32,22,20,44,N/A
12/11/2012,33,26,14,35,11
13/11/2012,33,26,21,42,14
14/11/2012,33,19,18,48,16
15/11/2012,32,21,28,41,21
16/11/2012,31,22,25,39,19
17/11/2012,34,21,18,32,19
18/11/2012,33,23,8,19,23
19/11/2012,N/A,23,12,37,17
20/11/2012,33,18,12,53,19
21/11/2012,33,14,16,51,16
22/11/2012,35,21,18,58,17
23/11/2012,35,22,18,52,13
24/11/2012,32,N/A,14,43,23
25/11/2012,34,20,10,26,20
26/11/2012,31,21,13,35,11
27/11/2012,33,15,18,38,16
28/11/2012,32,N/A,12,40,16
29/11/2012,33,N/A,21,38,12
30/11/2012,31,26,22,63,18
1/12/2012,29,21,28,56,12
2/12/2012,30,10,30,58,18
3/12/2012,31,12,30,55,17
4/12/2012,32,18,25,65,18
5/12/2012,32,16,24,43,18
6/12/2012,32,24,22,53,17
7/12/2012,33,N/A,25,70,21
8/12/2012,31,25,22,77,16
9/12/2012,32,32,21,65,N/A
10/12/2012,N/A,28,23,57,14
11/12/2012,N/A,27,23,69,17
12/12/2012,N/A,30,27,N/A,13
13/12/2012,N/A,42,34,60,13
14/12/2012,N/A,N/A,30,72,9
15/12/2012,N/A,N/A,28,80,8
16/12/2012,N/A,N/A,31,69,11
17/12/2012,68,31,27,78,10
18/12/2012,74,31,27,82,12
19/12/2012,59,39,30,62,7
20/12/2012,46,40,29,69,6
21/12/2012,52,34,32,N/A,8
22/12/2012,59,35,32,N/A,5
23/12/2012,38,45,24,N/A,6
24/12/2012,33,43,17,40,N/A
25/12/2012,55,40,35,61,N/A
26/12/2012,70,40,48,74,10
27/12/2012,67,47,43,69,13
28/12/2012,61,40,42,62,N/A
29/12/2012,47,29,33,55,N/A
30/12/2012,45,40,27,32,N/A
31/12/2012,26,33,20,27,N/A
