Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,46T,47T,72T(เก่า),72T(ใหม่),82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T(ใหม่),76T,86T,92T,42T,43T,44T,62T,63T,78T,80T,89T,93T
23/9/2021,12,9,9,11,10,8,14,19,14,14,12,23,12,10,7,18,13,9,7,14,13,16,7,7,14,10,7,6,2,4,N/A,10,N/A,3,9,7,7,5,4,5,10,4,8,5,11,6,6,9,6,15,9,12,6,8,4,5,8,10,5,11,6,7,7,5,8,6,8,5,7,14,16,19,11,14,10,13,12,8
24/9/2021,12,9,10,9,9,7,13,17,12,14,15,20,15,12,11,24,17,7,6,12,15,8,10,6,10,10,9,6,3,3,N/A,12,N/A,5,7,6,6,4,6,7,11,6,10,7,9,11,6,10,7,15,9,12,7,10,5,5,8,6,5,10,5,8,9,5,8,7,5,4,7,15,16,22,15,16,16,19,17,12
25/9/2021,14,11,9,10,10,8,14,22,13,17,14,23,14,11,10,22,15,7,6,14,16,9,9,6,N/A,10,8,5,3,4,N/A,9,N/A,3,8,5,5,4,3,7,12,5,9,5,9,7,5,10,4,16,8,13,8,9,5,5,10,4,7,10,5,9,7,8,7,7,6,4,7,14,13,17,15,15,15,13,18,14
26/9/2021,12,5,7,7,8,5,13,13,11,13,7,21,10,6,6,18,11,5,4,11,9,14,6,6,N/A,7,5,4,2,4,N/A,7,N/A,3,8,6,6,3,3,5,9,4,8,4,7,6,6,7,3,8,7,N/A,5,8,4,4,N/A,8,4,11,4,6,N/A,3,7,5,4,3,7,10,11,11,6,9,8,13,10,6
27/9/2021,15,9,10,12,13,8,14,20,14,16,14,19,13,10,9,22,15,10,8,10,18,10,16,9,17,19,9,7,4,7,14,11,N/A,N/A,7,10,7,6,5,9,12,8,10,6,12,10,11,11,5,10,9,11,5,8,3,4,8,14,6,9,5,7,N/A,6,8,6,6,4,9,13,11,13,5,8,8,10,8,6
28/9/2021,21,17,15,14,13,12,16,25,19,21,20,29,20,17,17,30,18,15,12,21,32,15,16,11,20,22,19,10,10,7,17,13,N/A,N/A,7,17,12,8,7,15,21,10,18,17,19,16,15,13,8,14,10,12,6,11,5,4,10,9,6,8,5,9,7,8,8,6,7,6,N/A,13,12,10,4,9,7,13,10,8
29/9/2021,42,31,26,27,28,24,22,43,35,42,34,43,40,29,29,41,25,24,21,41,43,19,26,11,22,N/A,27,14,10,9,19,13,N/A,N/A,6,17,15,12,11,19,18,14,24,21,23,18,21,18,9,21,11,15,10,12,8,5,12,15,10,10,5,10,7,11,10,9,8,8,N/A,13,12,17,8,9,N/A,9,10,6
30/9/2021,22,16,18,21,20,18,19,27,24,25,22,37,23,15,16,28,18,18,15,27,19,25,21,N/A,22,N/A,21,16,11,13,25,17,N/A,N/A,5,24,14,12,17,24,23,13,24,20,19,15,20,21,14,22,12,16,11,14,7,8,12,21,10,10,6,11,9,12,12,10,11,8,12,N/A,10,16,10,9,N/A,13,13,6
1/10/2021,13,8,13,11,13,10,15,19,15,15,13,24,15,N/A,8,19,15,11,13,19,8,20,11,N/A,26,12,16,15,6,14,22,18,N/A,N/A,6,n/a,15,12,11,15,18,10,15,14,15,14,15,14,9,19,10,16,9,14,8,7,13,21,8,10,4,10,8,9,11,10,9,10,11,N/A,13,14,7,9,N/A,12,12,9
2/10/2021,15,8,11,10,13,10,14,20,14,15,11,24,15,N/A,9,22,11,7,9,17,14,16,12,14,20,11,14,7,7,11,22,17,N/A,N/A,6,n/a,12,12,12,10,12,6,9,8,12,9,9,14,8,20,8,14,8,12,5,6,12,13,10,11,5,11,8,9,9,9,6,9,12,N/A,14,17,9,11,10,17,14,10
3/10/2021,19,15,17,16,15,15,18,20,21,20,20,31,20,14,14,29,N/A,12,9,15,16,13,15,9,17,11,10,6,7,11,19,17,N/A,N/A,N/A,18,13,8,9,14,17,12,15,11,16,12,12,17,9,18,9,13,6,11,7,5,11,12,8,10,5,11,7,8,13,10,8,9,13,15,13,21,10,15,12,15,12,12
4/10/2021,24,13,14,17,15,13,17,27,22,24,25,31,20,17,15,33,N/A,16,14,19,27,16,16,15,24,16,13,8,13,13,24,20,N/A,N/A,8,15,13,13,14,18,23,16,18,18,14,14,13,14,11,18,11,15,9,14,7,6,14,14,10,15,7,13,9,10,15,13,10,12,11,15,12,18,14,14,14,17,8,10
5/10/2021,26,18,17,19,17,16,18,31,26,26,30,35,25,21,20,34,N/A,17,13,26,30,19,21,15,23,17,19,12,16,13,23,17,N/A,N/A,9,7,11,9,12,18,30,23,29,24,N/A,21,15,19,10,18,14,16,11,14,8,7,14,12,12,13,10,14,9,15,11,15,13,14,12,16,12,17,6,8,8,11,9,8
6/10/2021,15,12,11,12,12,9,15,23,19,18,18,27,16,13,12,27,N/A,9,8,12,19,11,10,8,14,11,8,5,7,5,16,12,N/A,N/A,9,8,9,6,7,16,21,14,20,12,N/A,17,16,16,5,15,7,16,10,15,8,7,15,12,12,13,10,11,10,14,11,12,12,11,12,14,13,15,6,8,9,15,10,7
7/10/2021,21,20,15,15,15,15,17,30,23,23,N/A,29,23,18,18,32,20,14,11,17,30,15,15,11,21,15,11,9,10,7,21,16,N/A,N/A,7,16,18,19,15,10,18,11,15,11,12,11,11,15,8,16,10,16,11,13,7,N/A,12,9,13,15,8,12,11,13,10,10,10,9,11,14,14,12,7,9,8,11,7,6
8/10/2021,38,29,20,29,28,26,22,47,32,40,N/A,44,37,28,30,36,22,26,N/A,28,21,31,21,22,31,19,15,8,13,17,26,23,N/A,N/A,7,19,25,25,20,20,21,11,16,13,14,17,14,23,13,25,11,19,13,16,11,N/A,15,12,15,18,9,20,16,15,16,20,9,13,15,14,12,10,10,10,10,17,7,7
9/10/2021,13,7,9,9,10,8,14,19,13,14,12,22,12,8,8,18,13,9,N/A,19,14,20,12,13,27,12,13,7,10,10,28,24,N/A,N/A,7,19,30,20,15,8,11,5,10,6,6,7,6,15,7,17,5,24,17,17,11,13,17,21,20,22,10,21,16,17,19,21,11,21,21,14,12,16,14,13,12,12,7,8
10/10/2021,14,6,9,9,10,9,13,20,13,14,N/A,22,10,4,7,15,9,9,9,11,8,12,8,8,16,10,9,6,5,4,27,16,N/A,N/A,6,11,17,13,14,6,11,4,10,6,7,6,3,9,6,14,7,24,16,19,12,11,16,16,18,17,13,16,13,17,17,16,10,19,18,15,14,14,14,12,12,15,8,9
11/10/2021,11,6,10,9,10,6,13,17,12,12,N/A,15,10,6,6,17,10,7,6,13,9,9,9,7,16,7,10,6,4,4,20,13,N/A,N/A,6,12,6,6,6,8,9,6,9,8,10,7,7,N/A,6,14,9,14,7,11,6,5,9,10,7,11,9,9,N/A,8,9,9,10,11,10,15,N/A,19,15,15,12,11,7,7
12/10/2021,12,7,8,9,9,7,13,18,12,13,9,18,10,8,7,17,11,7,9,14,9,13,11,8,21,9,9,6,N/A,5,18,16,N/A,N/A,6,10,8,8,9,8,9,5,9,6,9,6,6,N/A,5,17,7,11,5,8,4,4,8,8,6,8,8,9,7,7,7,7,8,8,7,15,N/A,19,18,18,14,19,8,12
13/10/2021,12,6,7,6,6,5,12,13,10,11,8,14,8,4,4,16,N/A,6,6,12,7,12,7,9,15,7,8,6,N/A,6,20,12,N/A,N/A,5,18,12,11,12,6,8,5,10,7,8,6,4,9,6,14,8,12,8,11,7,7,11,8,10,13,10,10,9,12,11,10,8,9,N/A,16,16,16,16,15,12,15,7,9
14/10/2021,15,8,8,10,9,9,14,18,13,15,11,20,12,8,8,19,N/A,8,7,14,13,9,8,7,12,8,11,5,N/A,5,17,12,N/A,N/A,5,13,4,5,7,7,13,7,10,5,8,5,6,10,7,14,9,17,12,15,9,7,13,11,13,19,11,12,8,15,11,15,8,10,N/A,16,18,18,19,17,14,22,10,13
15/10/2021,14,10,10,11,11,10,15,23,15,16,16,22,13,13,9,21,13,11,9,18,20,11,N/A,8,11,6,11,5,7,4,14,8,N/A,N/A,5,5,5,4,3,9,10,7,9,9,11,7,8,13,4,12,9,12,7,11,4,5,8,7,8,11,10,9,6,8,7,7,6,6,7,18,20,25,18,20,17,19,11,18
16/10/2021,14,10,9,12,13,11,15,21,15,16,13,21,14,12,11,22,17,9,8,15,15,20,12,10,12,9,10,7,7,9,13,9,N/A,N/A,5,4,4,3,4,10,17,9,12,10,12,10,8,9,N/A,14,10,9,4,9,4,4,7,12,4,7,7,8,6,6,6,7,4,4,7,17,18,20,10,13,15,22,16,17
17/10/2021,11,6,6,7,7,7,11,12,10,11,12,15,9,6,6,18,12,6,7,8,14,9,7,7,14,7,7,4,5,4,14,10,N/A,N/A,5,3,4,4,3,7,10,6,10,5,6,6,7,8,3,10,7,10,5,9,6,5,8,4,7,11,4,9,7,8,8,7,4,5,7,17,15,13,11,11,9,14,7,13
18/10/2021,13,7,8,9,9,8,14,12,13,14,17,21,13,9,9,22,16,8,8,9,17,7,9,6,10,6,9,4,6,3,15,8,N/A,N/A,6,5,7,4,5,5,10,7,9,8,8,9,7,6,5,10,8,13,6,11,6,5,11,5,10,12,8,12,9,11,10,9,6,7,8,16,19,17,9,11,10,18,8,10
19/10/2021,21,14,14,15,17,15,18,26,21,23,27,32,21,15,15,29,26,14,14,16,31,N/A,19,11,N/A,13,15,8,14,6,17,14,N/A,N/A,N/A,6,7,9,5,15,15,11,16,13,16,13,14,11,10,15,9,13,9,12,5,6,11,9,11,14,9,12,7,12,10,10,5,6,7,15,15,11,9,11,11,12,7,6
20/10/2021,28,23,21,20,19,18,21,37,27,29,31,37,29,24,21,41,36,17,14,20,33,18,21,12,N/A,16,22,12,16,10,25,18,N/A,6,8,7,10,8,13,26,39,25,30,30,29,17,30,35,10,22,15,14,10,11,6,N/A,11,17,8,10,10,12,8,10,11,10,9,10,11,15,14,18,6,10,6,14,11,7
21/10/2021,33,25,22,24,26,23,22,32,33,33,31,46,31,26,20,36,30,22,16,33,26,24,21,15,N/A,14,22,14,20,19,22,16,N/A,6,7,8,9,11,13,22,35,18,28,21,26,25,24,27,8,17,13,12,8,11,9,N/A,12,19,8,12,10,12,8,8,12,10,11,14,11,15,12,15,9,10,6,12,14,8
22/10/2021,22,15,14,15,17,14,18,25,22,25,19,30,24,17,14,30,23,13,12,20,20,17,15,15,N/A,13,11,8,7,18,16,13,N/A,4,7,5,5,6,4,14,21,12,17,15,14,10,14,14,7,16,10,12,5,13,5,N/A,9,16,6,10,10,10,7,7,8,7,7,8,8,N/A,13,18,9,11,8,15,12,8
23/10/2021,17,11,10,11,11,10,16,16,16,18,17,24,16,11,12,25,20,11,8,16,21,16,15,10,N/A,9,10,7,6,7,17,9,N/A,5,7,5,8,6,6,8,15,9,13,10,12,9,10,10,5,13,9,N/A,5,10,4,4,10,12,5,9,7,10,6,7,9,6,N/A,5,6,N/A,14,21,8,8,8,14,7,10
24/10/2021,16,8,11,10,11,10,15,17,14,16,17,19,14,9,12,24,16,14,11,13,21,14,16,9,N/A,12,18,9,9,12,18,14,N/A,8,7,8,13,12,10,9,16,9,11,9,10,7,10,10,7,15,9,10,7,11,6,5,11,11,6,11,8,10,7,8,11,9,N/A,7,10,N/A,15,16,6,11,8,14,8,9
25/10/2021,19,10,12,14,14,11,16,22,17,19,19,22,15,14,12,25,22,17,14,17,25,18,20,12,N/A,14,21,12,9,14,21,19,N/A,9,7,18,22,16,11,10,17,11,14,12,10,9,13,13,12,17,10,15,10,14,6,6,13,16,9,13,7,15,8,15,13,12,N/A,11,10,N/A,12,20,8,12,9,14,8,10
26/10/2021,22,17,17,18,19,18,18,37,23,24,25,27,23,22,17,32,33,23,18,26,36,24,26,17,33,18,25,13,14,19,27,23,N/A,11,8,25,23,23,20,15,N/A,20,18,23,18,17,17,20,19,23,16,19,15,17,7,7,14,20,10,14,10,14,8,18,12,12,N/A,13,12,N/A,15,17,8,12,10,12,10,7
27/10/2021,26,20,19,21,19,20,20,23,24,28,30,30,25,23,20,34,34,23,20,22,31,N/A,26,22,36,22,25,16,11,21,31,27,N/A,16,8,19,27,27,19,19,23,17,22,19,20,16,21,21,20,24,21,23,16,17,7,6,14,20,11,14,13,13,8,19,14,13,12,18,18,N/A,14,14,8,14,9,15,11,5
28/10/2021,28,24,22,24,23,23,21,27,26,27,31,31,28,27,21,37,35,23,19,25,35,21,25,18,37,19,23,15,10,19,26,23,N/A,17,6,8,13,15,19,20,22,13,22,18,15,15,21,25,10,24,14,15,12,15,7,8,12,19,13,14,N/A,15,14,15,13,13,13,17,13,16,20,16,7,11,9,14,20,11
29/10/2021,21,18,17,18,18,16,19,25,22,22,25,29,22,16,14,29,26,19,18,19,24,18,23,14,29,12,22,10,6,13,16,17,N/A,6,7,9,8,6,9,16,19,11,14,15,16,10,17,18,12,19,13,18,13,16,7,8,14,14,17,18,N/A,17,12,12,12,16,7,7,10,11,22,12,14,12,8,14,23,10
30/10/2021,28,24,22,23,20,22,N/A,29,26,29,35,39,27,24,20,40,32,24,16,26,41,20,19,14,30,13,30,9,N/A,14,17,15,N/A,6,7,6,8,5,11,29,37,22,29,25,22,20,26,37,11,20,13,15,9,14,8,7,12,10,13,13,N/A,N/A,9,9,12,12,11,8,9,10,14,13,10,12,9,9,14,8
31/10/2021,18,11,13,11,11,10,N/A,18,16,18,20,26,16,14,13,26,17,12,10,13,28,11,15,10,31,13,17,5,13,10,16,16,N/A,8,6,8,7,7,8,11,19,14,16,15,12,11,13,13,8,14,10,14,7,11,6,8,12,10,9,13,15,N/A,8,9,11,10,10,8,9,9,14,13,7,9,7,8,11,7
1/11/2021,20,13,12,13,15,12,N/A,23,19,21,22,27,18,N/A,15,29,21,13,11,18,N/A,14,14,14,39,15,15,6,14,11,17,15,N/A,5,6,8,7,6,8,15,23,15,19,17,16,12,14,18,12,16,11,12,6,14,6,6,11,13,8,10,12,9,9,7,10,10,7,6,11,10,13,12,8,9,9,7,9,7
2/11/2021,21,15,17,17,17,16,N/A,26,22,22,23,34,22,17,20,30,24,15,13,23,N/A,14,21,15,36,12,13,7,12,11,18,16,N/A,7,6,9,8,8,7,15,23,14,18,17,13,12,18,23,10,14,12,12,6,13,7,7,12,12,7,11,14,8,7,9,12,8,12,7,11,8,11,17,11,13,9,9,8,8
3/11/2021,20,14,14,15,16,14,N/A,28,21,21,25,29,21,16,15,32,25,13,13,19,30,15,16,15,41,13,16,6,13,11,22,16,N/A,8,7,9,11,10,11,26,30,18,22,20,17,17,19,22,10,13,12,15,8,14,7,6,11,17,7,11,12,11,7,10,12,9,11,10,14,11,11,12,8,12,10,8,9,9
4/11/2021,27,17,17,17,21,15,18,34,24,30,21,30,27,20,22,34,25,14,15,32,39,19,26,21,40,17,22,8,23,14,23,20,N/A,11,6,14,17,14,15,16,19,15,19,19,15,15,16,17,12,17,15,16,12,15,7,7,11,18,7,10,13,13,9,11,15,10,16,15,12,11,12,12,12,12,11,8,7,9
5/11/2021,25,18,17,17,21,16,18,37,22,26,22,27,26,21,19,32,23,18,16,31,36,20,24,21,38,16,25,9,22,21,26,24,N/A,10,4,17,17,15,22,14,24,14,22,18,21,14,18,19,13,18,10,17,9,16,6,8,12,19,8,10,11,16,10,12,16,14,16,14,15,9,8,9,10,11,9,7,6,6
6/11/2021,31,20,23,23,22,24,22,43,29,32,32,43,29,21,21,35,25,29,25,33,33,27,27,24,44,17,23,10,19,20,28,24,N/A,9,5,18,20,19,16,13,24,17,20,16,18,15,18,17,11,24,12,17,12,17,8,8,14,21,11,12,12,16,9,14,17,15,14,16,15,8,7,14,8,9,9,7,10,5
7/11/2021,28,16,14,18,20,15,18,35,27,29,20,35,26,20,17,35,21,16,14,31,33,16,25,13,38,17,24,10,18,19,33,18,N/A,11,5,17,17,14,20,21,27,18,23,24,22,15,18,14,12,17,13,18,14,19,8,9,16,23,10,13,12,17,10,17,20,14,15,18,16,8,8,10,10,8,7,9,9,7
8/11/2021,21,16,18,18,18,15,18,24,22,22,23,31,24,18,16,33,N/A,15,14,20,34,17,21,15,22,15,25,8,21,14,19,17,N/A,11,N/A,8,9,8,10,18,24,15,22,17,17,14,19,14,9,18,10,20,15,22,10,10,18,17,12,15,13,16,11,18,18,17,16,16,18,12,8,13,12,12,9,8,11,7
9/11/2021,17,11,13,13,14,10,16,22,16,17,17,22,18,12,13,29,N/A,11,9,14,22,12,21,11,18,13,20,7,13,12,19,12,N/A,8,5,9,16,8,7,8,12,8,13,10,12,7,11,11,7,13,10,23,16,22,9,10,17,15,15,14,12,16,10,21,16,12,14,16,16,8,9,10,12,11,8,8,10,6
10/11/2021,22,12,20,17,16,17,18,27,22,23,25,29,22,19,16,32,22,16,13,16,31,13,19,17,25,14,20,8,16,16,22,18,N/A,12,5,12,17,14,13,10,14,11,14,12,15,14,14,11,13,17,11,19,15,19,10,8,15,20,14,15,12,16,10,23,14,13,12,12,16,6,10,10,6,9,N/A,7,7,4
11/11/2021,26,17,23,24,22,20,21,29,27,28,31,33,25,N/A,22,33,25,22,19,21,35,20,24,18,25,17,25,12,23,24,27,23,N/A,15,6,14,25,18,19,14,20,13,17,16,19,14,17,17,17,20,15,20,14,20,9,8,18,23,13,15,12,17,10,16,17,15,12,16,17,7,6,9,6,9,N/A,8,6,7
12/11/2021,27,20,23,25,25,21,22,31,28,28,30,31,29,N/A,26,35,24,21,19,27,35,24,30,21,31,22,28,11,28,27,28,27,N/A,17,6,14,24,24,16,13,19,15,19,15,17,16,19,19,17,24,15,20,14,19,10,8,N/A,25,11,14,12,17,14,17,18,14,14,19,20,7,11,9,5,8,9,6,4,5
13/11/2021,26,18,22,26,23,19,20,27,25,26,31,30,24,26,16,32,24,22,20,22,34,20,28,19,26,20,29,11,24,22,35,24,N/A,17,6,17,30,25,23,15,21,15,19,18,19,17,19,22,17,22,13,19,12,21,11,10,N/A,24,13,21,13,20,13,19,22,15,17,23,21,5,8,15,4,7,6,8,6,5
14/11/2021,28,22,25,30,27,23,22,31,N/A,29,35,33,29,25,20,35,26,26,28,26,32,28,32,27,35,25,36,14,33,29,32,29,N/A,20,7,20,29,26,20,18,23,15,20,17,18,15,21,22,21,30,12,21,17,27,15,12,21,26,15,18,14,26,16,22,27,20,19,29,24,7,12,16,5,10,8,7,8,7
15/11/2021,30,21,25,27,27,24,25,39,N/A,29,30,34,30,28,24,38,N/A,26,22,30,41,27,34,23,35,22,36,13,32,26,29,23,N/A,19,6,15,30,21,23,17,19,14,22,18,22,18,20,22,20,24,13,25,21,28,15,15,22,31,19,22,12,25,15,23,27,20,20,29,24,7,7,16,8,12,11,10,8,10
16/11/2021,23,13,17,15,18,14,17,33,20,23,20,24,19,17,16,31,N/A,20,17,29,33,24,32,22,38,19,36,18,24,26,27,19,N/A,18,5,10,19,17,16,20,22,18,21,20,15,15,18,15,8,18,12,24,19,23,12,12,20,27,19,23,13,20,13,21,21,20,21,23,24,5,8,11,7,11,10,6,5,8
17/11/2021,15,11,13,13,14,9,15,21,18,15,15,22,17,14,12,25,18,13,12,16,25,14,19,19,33,20,25,16,16,25,20,18,N/A,13,5,11,14,N/A,10,9,17,11,14,13,11,9,13,14,10,17,8,23,16,21,10,8,17,23,15,20,13,16,9,21,21,18,19,17,20,6,7,8,7,9,7,6,5,7
18/11/2021,18,15,16,14,18,13,16,30,18,18,17,25,19,15,17,29,22,17,17,27,35,18,26,18,27,16,22,17,18,21,20,16,N/A,9,5,7,10,N/A,9,9,20,11,17,13,13,10,15,15,9,25,11,24,19,21,10,9,17,22,17,22,13,16,10,19,17,18,18,16,20,5,6,11,7,8,8,6,5,5
19/11/2021,30,16,17,18,20,16,17,42,22,30,19,32,19,16,15,33,19,17,15,40,36,22,32,20,32,18,28,18,20,24,21,15,N/A,10,5,11,24,13,14,12,19,13,17,12,17,12,11,17,11,16,10,27,21,21,8,10,16,22,17,16,12,17,11,18,18,16,19,20,19,7,6,13,9,9,8,8,7,5
20/11/2021,31,26,19,27,22,21,19,42,31,32,29,34,28,20,20,36,27,23,20,38,32,27,24,23,45,16,26,21,17,19,33,22,N/A,13,4,18,26,23,20,20,23,17,20,18,18,16,24,35,13,21,11,22,20,21,11,9,17,28,13,13,12,17,11,21,19,16,16,24,20,9,6,13,9,10,8,7,8,6
21/11/2021,26,27,24,24,24,20,21,37,29,27,33,36,28,19,17,35,27,23,26,32,27,36,24,29,69,24,23,17,15,26,41,24,N/A,16,4,17,20,23,21,25,22,12,22,17,22,25,24,37,13,21,12,16,9,20,9,9,17,29,14,15,12,16,14,18,20,17,20,25,20,13,11,17,13,12,10,7,13,8
22/11/2021,31,25,19,22,25,19,20,36,27,30,24,36,29,22,23,40,26,19,16,32,34,15,N/A,19,53,24,25,18,9,30,28,21,N/A,17,4,13,8,13,13,23,23,15,22,18,24,22,24,31,14,19,14,21,14,24,12,11,18,26,17,19,13,21,13,18,25,19,19,28,23,9,10,13,10,14,11,9,11,8
23/11/2021,17,18,12,13,17,11,16,21,17,17,16,24,17,13,12,28,18,12,10,17,24,11,17,16,27,14,19,13,8,18,14,13,N/A,8,6,6,5,8,5,12,14,12,14,13,11,11,14,13,8,15,9,22,17,24,14,11,18,16,19,22,14,18,14,22,19,18,16,20,20,6,9,11,14,10,11,7,8,8
24/11/2021,17,18,16,13,15,12,16,18,17,17,22,22,17,14,12,25,19,15,13,18,31,14,17,12,22,12,20,13,8,14,19,14,N/A,9,8,8,16,12,10,7,14,9,13,11,11,11,11,11,10,15,11,18,11,24,16,13,19,14,16,17,16,15,12,16,16,12,14,18,18,8,7,8,10,9,9,7,7,4
25/11/2021,26,28,23,22,22,21,20,30,28,26,33,32,24,22,18,34,23,22,19,24,32,19,21,16,26,16,25,15,11,23,24,19,N/A,17,9,15,27,24,15,15,16,11,16,13,16,13,20,16,15,18,11,21,15,22,15,7,18,20,13,15,10,15,12,22,20,16,16,22,18,7,7,9,7,10,10,6,7,5
26/11/2021,29,29,23,26,25,23,23,36,30,28,36,36,27,25,21,36,27,24,21,26,38,23,31,20,35,21,27,23,15,29,24,22,N/A,19,9,19,24,25,15,16,18,14,18,16,20,18,20,19,19,27,16,23,18,23,12,10,16,27,9,11,12,16,12,22,23,19,16,26,19,7,7,9,10,10,10,6,7,5
27/11/2021,27,28,21,23,22,22,21,28,29,26,32,29,28,25,20,34,29,23,20,26,36,27,33,22,33,25,32,21,20,26,30,29,N/A,18,9,26,38,34,20,18,16,19,22,21,21,17,23,24,23,31,19,21,12,21,10,11,16,20,8,11,13,15,9,17,20,13,19,25,24,12,13,11,12,14,11,7,7,9
28/11/2021,32,33,26,28,24,25,23,34,32,31,35,34,32,26,24,37,33,26,24,26,36,25,31,25,30,24,31,18,N/A,27,39,31,N/A,26,10,22,36,32,25,27,26,23,27,26,27,26,27,26,28,32,26,15,9,20,13,9,14,23,11,13,12,16,13,17,19,16,18,25,19,21,23,10,10,12,12,7,18,13
29/11/2021,27,30,22,24,23,23,22,31,29,27,33,30,28,25,22,35,31,23,19,26,36,22,31,26,34,22,31,19,N/A,32,38,27,N/A,26,8,27,33,38,21,20,27,22,26,24,22,20,21,23,19,25,18,21,14,23,13,10,18,26,14,16,15,24,16,19,23,20,21,31,22,16,19,12,9,9,10,6,11,9
30/11/2021,28,34,25,26,26,23,24,31,32,30,34,31,31,29,23,39,32,25,23,24,35,25,27,23,33,23,34,15,36,33,39,29,N/A,35,9,36,40,43,27,20,22,14,22,20,25,21,26,23,27,33,17,19,13,24,17,13,21,25,13,17,13,20,15,21,28,22,22,23,23,4,7,11,13,11,7,7,5,8
1/12/2021,35,36,28,30,29,28,27,38,35,35,35,36,34,33,26,44,38,32,29,32,41,32,34,30,37,30,41,17,43,34,44,33,N/A,38,10,30,35,36,32,24,32,24,27,27,29,26,33,26,30,36,23,22,15,24,17,13,21,33,18,20,13,25,21,22,28,26,25,36,28,6,7,11,14,12,9,6,8,5
2/12/2021,35,35,26,32,29,28,26,36,36,35,38,35,33,29,27,41,35,30,27,36,46,33,34,24,35,25,39,18,41,35,36,28,N/A,35,14,20,31,34,29,23,26,21,27,24,26,25,27,25,25,36,25,25,17,30,22,19,25,31,22,24,17,30,23,26,29,31,33,40,30,6,8,11,10,10,7,6,N/A,4
3/12/2021,35,35,28,32,29,26,26,39,35,35,38,36,31,27,26,43,31,31,26,35,45,29,36,24,36,25,35,18,43,36,37,29,N/A,36,18,25,32,42,30,17,21,18,22,19,23,20,27,23,27,28,18,25,18,33,20,18,27,34,27,27,17,29,21,27,30,30,32,37,33,16,17,15,12,13,9,12,15,10
4/12/2021,33,37,24,28,30,27,25,35,34,34,40,36,34,28,28,42,35,33,27,37,46,31,38,26,41,29,41,19,50,35,43,34,N/A,34,23,28,42,40,40,21,28,21,27,26,25,26,30,26,27,33,20,26,21,35,21,19,27,31,25,23,18,29,21,29,35,28,30,39,32,15,16,17,15,15,12,11,9,12
5/12/2021,37,39,28,39,29,28,27,40,36,37,44,39,35,33,29,47,39,34,28,37,47,32,47,29,38,35,42,21,54,40,44,38,N/A,41,24,23,35,39,47,28,34,24,31,31,29,27,32,33,29,37,21,27,21,35,20,20,24,37,22,24,19,29,23,31,33,31,31,46,31,20,21,17,17,19,12,10,17,13
6/12/2021,39,39,28,36,30,32,29,40,37,39,45,38,34,32,29,49,36,38,32,40,51,34,46,28,39,30,44,21,57,44,47,41,N/A,44,24,27,49,51,46,26,27,21,29,26,25,23,33,28,29,34,20,29,27,36,21,21,31,44,31,33,20,38,25,34,36,36,37,55,33,22,20,18,19,18,14,10,17,14
7/12/2021,48,46,31,45,35,40,33,50,44,47,52,51,42,36,35,54,39,44,36,46,56,40,52,32,47,34,45,21,67,N/A,46,45,N/A,44,23,28,46,44,43,25,32,26,30,32,27,22,34,30,30,38,25,36,35,47,25,25,36,47,33,38,25,40,25,41,39,39,37,57,35,14,14,15,17,17,10,10,14,9
8/12/2021,46,41,32,36,35,38,31,49,39,47,48,44,38,34,34,47,38,43,36,44,57,35,48,29,41,34,45,22,62,45,40,41,N/A,42,26,21,45,40,46,28,28,23,29,30,25,26,28,29,29,34,25,38,35,45,29,27,35,43,31,32,31,37,25,42,46,38,41,56,40,16,14,14,16,16,8,10,13,8
9/12/2021,33,32,24,33,26,25,26,35,32,33,41,39,30,32,25,41,32,28,23,29,42,26,41,22,29,20,41,16,48,37,27,30,N/A,29,18,11,20,15,31,20,29,18,24,25,21,15,24,28,19,24,19,31,26,46,24,N/A,32,42,28,31,26,33,21,41,36,38,38,53,32,17,16,20,18,20,9,9,15,11
10/12/2021,34,32,22,30,25,25,23,37,33,35,35,38,31,30,27,42,29,27,22,32,43,20,28,19,37,18,33,14,32,29,24,19,N/A,24,9,14,25,17,13,14,22,18,18,18,18,14,20,20,19,24,16,24,20,40,19,18,27,30,26,31,18,29,17,32,26,32,26,36,22,18,13,15,16,15,10,8,17,12
11/12/2021,36,34,25,31,28,24,25,43,31,37,35,40,34,30,26,42,32,29,25,33,45,28,38,20,31,21,29,12,26,27,32,23,N/A,26,14,19,28,20,24,16,24,18,20,21,18,16,27,23,21,28,14,24,21,38,16,17,25,24,31,38,17,30,15,30,23,31,31,28,23,15,14,15,16,16,9,9,14,13
12/12/2021,29,27,22,29,20,22,23,40,25,28,35,30,24,23,17,35,26,26,23,34,43,25,35,20,33,22,36,16,33,26,30,23,N/A,25,9,14,19,23,16,18,26,21,25,24,22,17,27,23,21,27,18,25,22,29,16,13,25,22,28,35,18,27,16,26,25,31,27,23,23,16,14,16,17,20,10,9,15,12
