Date,54T,36T,30T
30/6/2011,35,22,13
1/7/2011,24,16,9
2/7/2011,30,13,8
3/7/2011,28,10,10
4/7/2011,32,12,12
5/7/2011,37,14,18
6/7/2011,31,12,13
7/7/2011,34,10,23
8/7/2011,31,16,23
9/7/2011,32,17,13
10/7/2011,28,11,5
11/7/2011,25,11,7
12/7/2011,32,15,9
13/7/2011,26,12,9
14/7/2011,26,13,10
15/7/2011,16,9,5
16/7/2011,18,7,10
17/7/2011,25,10,10
18/7/2011,29,11,14
19/7/2011,24,11,10
20/7/2011,30,12,15
21/7/2011,24,12,11
22/7/2011,20,13,9
23/7/2011,22,16,7
24/7/2011,21,17,8
25/7/2011,24,15,7
26/7/2011,15,14,11
27/7/2011,19,14,8
28/7/2011,12,17,11
29/7/2011,17,15,6
30/7/2011,15,13,5
31/7/2011,20,11,6
1/8/2011,19,9,12
2/8/2011,13,10,13
3/8/2011,18,12,13
4/8/2011,30,13,13
5/8/2011,36,18,13
6/8/2011,28,17,10
7/8/2011,26,13,9
8/8/2011,24,15,8
9/8/2011,27,14,7
10/8/2011,31,18,9
11/8/2011,22,16,6
12/8/2011,24,12,8
13/8/2011,24,12,10
14/8/2011,29,18,11
15/8/2011,35,14,13
16/8/2011,42,13,7
17/8/2011,44,11,11
18/8/2011,33,12,9
19/8/2011,22,9,8
20/8/2011,22,10,7
21/8/2011,11,7,9
22/8/2011,13,10,14
23/8/2011,18,9,6
24/8/2011,21,10,8
25/8/2011,35,10,11
26/8/2011,33,7,12
27/8/2011,28,9,12
28/8/2011,21,10,7
29/8/2011,23,12,8
30/8/2011,25,9,11
31/8/2011,28,8,10
1/9/2011,28,9,9
2/9/2011,22,8,9
3/9/2011,23,11,7
4/9/2011,27,9,6
5/9/2011,31,7,8
6/9/2011,41,8,10
7/9/2011,33,7,8
8/9/2011,26,11,7
9/9/2011,29,10,13
10/9/2011,38,13,8
11/9/2011,35,13,5
12/9/2011,26,9,7
13/9/2011,21,7,9
14/9/2011,23,6,8
15/9/2011,23,9,8
16/9/2011,27,11,12
17/9/2011,25,13,8
18/9/2011,25,9,9
19/9/2011,32,12,9
20/9/2011,22,8,10
21/9/2011,22,N/A,12
22/9/2011,27,N/A,16
23/9/2011,41,10,9
24/9/2011,28,7,7
25/9/2011,35,9,8
26/9/2011,40,7,15
27/9/2011,37,9,17
28/9/2011,26,6,11
29/9/2011,26,11,12
30/9/2011,17,8,11
1/10/2011,15,10,15
2/10/2011,20,8,13
3/10/2011,21,16,17
4/10/2011,21,10,20
5/10/2011,27,12,17
6/10/2011,14,13,13
7/10/2011,16,13,12
8/10/2011,25,10,14
9/10/2011,36,10,23
10/10/2011,39,11,21
11/10/2011,36,14,15
12/10/2011,N/A,14,12
13/10/2011,35,17,6
14/10/2011,30,17,7
15/10/2011,45,18,10
16/10/2011,33,10,9
17/10/2011,36,9,13
18/10/2011,49,10,14
19/10/2011,57,14,29
20/10/2011,64,19,21
21/10/2011,56,23,15
22/10/2011,45,20,18
23/10/2011,50,20,19
24/10/2011,58,20,22
25/10/2011,46,20,17
26/10/2011,46,16,13
27/10/2011,45,20,22
28/10/2011,30,16,17
29/10/2011,28,16,13
30/10/2011,33,12,13
31/10/2011,43,16,21
1/11/2011,42,15,20
2/11/2011,41,18,19
3/11/2011,50,18,27
4/11/2011,49,18,35
5/11/2011,55,13,40
6/11/2011,46,16,34
7/11/2011,54,19,38
8/11/2011,47,19,34
9/11/2011,52,N/A,31
10/11/2011,52,N/A,28
11/11/2011,59,13,32
12/11/2011,41,19,27
13/11/2011,35,15,25
14/11/2011,42,19,28
15/11/2011,45,14,27
16/11/2011,48,14,32
17/11/2011,52,16,33
18/11/2011,59,19,33
19/11/2011,62,N/A,44
20/11/2011,41,N/A,27
21/11/2011,64,N/A,28
22/11/2011,39,32,17
23/11/2011,28,22,12
24/11/2011,38,11,21
25/11/2011,58,15,32
26/11/2011,46,18,27
27/11/2011,45,21,24
28/11/2011,50,20,N/A
29/11/2011,N/A,20,N/A
30/11/2011,N/A,20,N/A
1/12/2011,44,20,28
2/12/2011,45,17,25
3/12/2011,32,23,21
4/12/2011,36,24,21
5/12/2011,44,28,23
6/12/2011,59,25,34
7/12/2011,53,20,19
8/12/2011,43,20,16
9/12/2011,40,19,15
10/12/2011,38,17,15
11/12/2011,38,17,18
12/12/2011,63,21,31
13/12/2011,N/A,25,37
14/12/2011,N/A,24,41
15/12/2011,N/A,23,39
16/12/2011,58,22,18
17/12/2011,52,21,21
18/12/2011,53,22,24
19/12/2011,N/A,18,24
20/12/2011,N/A,15,36
21/12/2011,N/A,18,39
22/12/2011,52,16,32
23/12/2011,55,22,29
24/12/2011,47,24,31
25/12/2011,60,26,48
26/12/2011,N/A,31,52
27/12/2011,N/A,33,69
28/12/2011,N/A,32,56
29/12/2011,N/A,28,38
30/12/2011,N/A,22,26
31/12/2011,N/A,21,25
